language,total number of speakers(million),native speakers,secondary speakers
Mandarin,1090,897,193
English,983,371,611
Hindi/Urdu,544,329,215
Arabic,422,290,132
Spanish,527,436,91
Russian,267,153,113
Portuguese,229,218,11
Bengali,261,242,19
French,229,76,153
Malay,281,77,204
Janpanese,129,128,1
German,129,76,52
Javanese,84,84,0
Telugu,92,80,12
Punjabi,148,148,0
Korean,77,77,0
