language,total number of speakers(million),native speakers,secondary speakers
Mandarin,1090,900,190
English,942,339,603
Hindi/Urdu,286,257,29
Arabic,385,295,90
Spanish,570,427,94
Russian,275,160,115
Portuguese,262,230,32
Bengali,210,190,20
French,220,80,140
Malay,281,77,204
Janpanese,130,130,0
German,210,95,115
Javanese,84,84,0
Telugu,82,80,12
Italian,85,65,20
Punjabi,155,146,9
Persian,110,60,50
Tamil,84,74,5
