language,total number of speakers(million),native speakers,secondary speakers
Mandarin,1120,1100,20
English,480,330,150
Spanish,320,300,20
Russian,285,160,125
French,265,75,190
Sindhi,130,130,0
Hindi/Urdu,250,250,0
Arabic,221,200,21
Portuguese,188,160,28
Bengali,185,185,0
Janpanese,133,125,0
Punjabi,130,130,0
German,109,100,9
