Country,"imports( migrant(s)/1,000 population)"
Afghanistan,3870.0
Albania,2473.0
Algeria,22530.0
American Samoa,308.8
Andorra,1077.0
Angola,8164.999999999999
Anguilla,129.9
Antigua and Barbuda,378.0
Argentina,28800.0
Armenia,1500.0
Aruba,875.0
Australia,119600.0
Austria,118800.0
Azerbaijan,4656.0
"Bahamas, The",1820.0
Bahrain,7830.0
Bangladesh,12970.0
Barbados,1476.0
Belarus,16940.0
Belgium,264500.0
Belize,622.4
Benin,1043.0
Bermuda,982.0
Bhutan,196.0
Bolivia,1845.0
Bosnia and Herzegovina,6800.0
Botswana,3370.0
Brazil,78020.0
British Virgin Islands,187.0
Brunei,1641.0
Bulgaria,16780.0
Burkina Faso,992.0
Burma,3454.0
Burundi,200.0
Cambodia,3538.0
Cameroon,2514.0
Canada,317700.0
Cape Verde,500.0
Cayman Islands,866.9
Central African Republic,203.0
Chad,749.1
Chile,30090.0
China,631800.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,18000.0
Comoros,115.0
"Congo, Democratic Republic of the",1319.0
"Congo, Republic of the",806.5
Cook Islands,81.04
Costa Rica,9690.0
Cote d'Ivoire,4759.0
Croatia,18930.0
Cuba,6916.0
Cyprus,5552.0
Czech Republic,76590.0
Denmark,74690.0
Djibouti,987.0
Dominica,234.0
Dominican Republic,9747.0
East Timor,202.0
Ecuador,8436.0
Egypt,24100.0
El Salvador,6678.0
Equatorial Guinea,1864.0
Eritrea,676.5
Estonia,9189.0
Ethiopia,2722.0
European Union,1402000.0
Falkland Islands (Islas Malvinas),90.0
Faroe Islands,639.0
Fiji,1462.0
Finland,56450.0
France,473300.0
French Guiana,625.0
French Polynesia,1706.0
Gabon,1533.0
"Gambia, The",197.0
Gaza Strip,1952.0
Georgia,2500.0
Germany,801000.0
Ghana,4273.0
Gibraltar,2967.0
Greece,48200.0
Greenland,601.0
Grenada,276.0
Guadeloupe,1766.0
Guam,701.0
Guatemala,7744.0
Guernsey,NA
Guinea,680.0
Guinea-Bissau,176.0
Guyana,681.6
Haiti,1471.0
Honduras,4161.0
Hong Kong,291600.0
Hungary,64830.0
Iceland,4582.0
India,113100.0
Indonesia,62020.0
Iran,42500.0
Iraq,19570.0
Ireland,65470.0
Isle of Man,NA
Israel,43190.0
Italy,369200.0
Jamaica,4093.0
Japan,451100.0
Jersey,NA
Jordan,8681.0
Kazakhstan,17510.0
Kenya,5126.0
Kiribati,62.0
"Korea, North",2819.0
"Korea, South",256000.0
Kuwait,12230.0
Kyrgyzstan,937.4
Laos,541.0
Latvia,8189.999999999999
Lebanon,8855.0
Lesotho,1166.0
Liberia,4839.0
Libya,10820.0
Liechtenstein,917.3
Lithuania,15500.0
Luxembourg,18740.0
Macau,3478.0
Macedonia,3196.0
Madagascar,1400.0
Malawi,645.0
Malaysia,118700.0
Maldives,567.0
Mali,1858.0
Malta,3859.0
Marshall Islands,54.7
Martinique,2307.0
Mauritania,1124.0
Mauritius,2507.0
Mayotte,256.7
Mexico,223700.0
"Micronesia, Federated States of",132.7
Moldova,2230.0
Monaco,636.6
Mongolia,1010.9999999999999
Montenegro,601.7
Montserrat,17.0
Morocco,18150.0
Mozambique,2041.0
Namibia,2350.0
Nauru,20.0
Nepal,2000.0
Netherlands,326600.0
Netherlands Antilles,4383.0
New Caledonia,1636.0
New Zealand,24570.0
Nicaragua,2865.0
Niger,588.0
Nigeria,25950.0
Niue,9.038
Norfolk Island,17.9
Northern Mariana Islands,214.4
Norway,58120.0
Oman,8709.0
Pakistan,21260.0
Palau,107.3
Panama,8734.0
Papua New Guinea,1651.0
Paraguay,3832.0
Peru,12150.0
Philippines,42660.0
Pitcairn Islands,NA
Poland,95670.0
Portugal,60350.0
Puerto Rico,29100.0
Qatar,6706.0
Reunion,3306.0
Romania,41000.0
Russia,125000.0
Rwanda,243.0
Saint Helena,45.0
Saint Kitts and Nevis,405.0
Saint Lucia,410.0
Saint Pierre and Miquelon,70.0
Saint Vincent and the Grenadines,225.0
Samoa,285.0
San Marino,NA
Sao Tome and Principe,38.0
Saudi Arabia,44930.0
Senegal,2405.0
Serbia,10580.0
Seychelles,459.9
Sierra Leone,531.0
Singapore,188300.0
Slovakia,32900.0
Slovenia,19620.0
Solomon Islands,159.0
Somalia,576.0
South Africa,52970.0
Spain,271800.0
Sri Lanka,8370.0
Sudan,5028.0
Suriname,750.0
Svalbard,NA
Swaziland,2149.0
Sweden,104400.0
Switzerland,135000.0
Syria,5973.0
Taiwan,181600.0
Tajikistan,1250.0
Tanzania,2391.0
Thailand,107000.0
Togo,1047.0
Tokelau,969.0
Tonga,122.0
Trinidad and Tobago,6011.0
Tunisia,12860.0
Turkey,101200.0
Turkmenistan,4175.0
Turks and Caicos Islands,175.6
Tuvalu,9.186
Uganda,1608.0
Ukraine,37180.0
United Arab Emirates,60150.0
United Kingdom,483700.0
United States,1727000.0
Uruguay,3540.0
Uzbekistan,3800.0
Vanuatu,117.1
Venezuela,24630.0
Vietnam,36880.0
Virgin Islands,4609.0
Wallis and Futuna,61.17
West Bank,1952.0
Western Sahara,NA
World,10300000.0
Yemen,4190.0
Zambia,1934.0
Zimbabwe,2059.0
