Country,"imports( migrant(s)/1,000 population)"
Afghanistan,3759.0
Albania,2076.0
Algeria,15250.0
American Samoa,123.0
Andorra,1077.0
Angola,4896.0
Anguilla,80.9
Antigua and Barbuda,692.0
Argentina,22060.0
Armenia,1300.0
Aruba,841.0
Australia,98100.0
Austria,101200.0
Azerbaijan,3622.0
"Bahamas, The",1630.0
Bahrain,5870.0
Bangladesh,10030.0
Barbados,1039.0
Belarus,13570.0
Belgium,235000.0
Belize,579.9
Benin,934.5
Bermuda,5523.0
Bhutan,196.0
Bolivia,1595.0
Bosnia and Herzegovina,5200.0
Botswana,2255.0
Brazil,61000.0
British Virgin Islands,187.0
Brunei,5200.0
Bulgaria,12230.0
Burkina Faso,866.3
Burma,1754.0
Burundi,138.2
Cambodia,3129.0
Cameroon,1979.0
Canada,256100.00000000003
Cape Verde,387.3
Cayman Islands,457.4
Central African Republic,136.0
Chad,500.7
Chile,22530.0
China,552400.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,15340.0
Comoros,88.0
"Congo, Democratic Republic of the",933.0
"Congo, Republic of the",749.3
Cook Islands,50.7
Costa Rica,7842.0
Cote d'Ivoire,3360.0
Croatia,16700.0
Cuba,5296.0
Cyprus,5258.0
Czech Republic,68190.0
Denmark,63450.0
Djibouti,665.0
Dominica,98.2
Dominican Republic,8093.0
East Timor,167.0
Ecuador,7650.0
Egypt,19210.0
El Salvador,5968.0
Equatorial Guinea,1167.0
Eritrea,622.0
Estonia,7318.0
Ethiopia,2104.0
European Union,1123000.0
Falkland Islands (Islas Malvinas),53.0
Faroe Islands,466.0
Fiji,835.0
Finland,45170.0
France,419700.0
French Guiana,625.0
French Polynesia,1341.0
Gabon,1225.0
"Gambia, The",180.9
Gaza Strip,1900.0
Georgia,1806.0
Germany,716700.0
Ghana,3699.0
Gibraltar,1743.0
Greece,54280.0
Greenland,445.0
Grenada,208.0
Guadeloupe,1700.0
Guam,462.0
Guatemala,7770.0
Guernsey,NA
Guinea,641.5
Guinea-Bissau,104.0
Guyana,650.1
Haiti,1085.0
Honduras,3332.0
Hong Kong,275900.0
Hungary,58680.0
Iceland,3307.0
India,89330.0
Indonesia,45070.0
Iran,31300.0
Iraq,9900.0
Ireland,60650.0
Israel,36840.0
Italy,329300.0
Jamaica,3624.0
Japan,401800.0
Jersey,NA
Jordan,7600.0
Kazakhstan,13070.0
Kenya,4190.0
Kiribati,83.0
"Korea, North",2100.0
"Korea, South",214200.0
Kuwait,11120.0
Kyrgyzstan,775.1
Laos,579.5
Latvia,5970.0
Lebanon,8162.000000000001
Lesotho,730.9
Liberia,5051.0
Libya,7224.0
Liechtenstein,917.3
Lithuania,11020.0
Luxembourg,16300.0
Macau,2760.0
Macedonia,2677.0
Madagascar,1147.0
Malawi,521.1
Malaysia,99300.0
Maldives,392.0
Mali,927.0
Malta,3407.0
"Man, Isle of",NA
Marshall Islands,54.0
Martinique,2000.0
Mauritania,860.0
Mauritius,2245.0
Mayotte,141.3
Mexico,190800.0
"Micronesia, Federated States of",149.0
Moldova,1830.0
Monaco,NA
Mongolia,1000.0
Montserrat,17.0
Morocco,15630.0
Mozambique,972.9
Namibia,1473.0
Nauru,19.8
Nepal,1419.0
Netherlands,252700.0
Netherlands Antilles,2233.0
New Caledonia,1006.9999999999999
New Zealand,19770.0
Nicaragua,2020.0
Niger,400.0
Nigeria,17140.0
Niue,2.38
Norfolk Island,17.9
Northern Mariana Islands,NA
Norway,45960.0
Oman,6373.0
Pakistan,14010.0
Palau,99.0
Panama,7164.0
Papua New Guinea,1353.0
Paraguay,3330.0
Peru,9600.0
Philippines,37500.0
Pitcairn Islands,NA
Poland,81610.0
Portugal,52100.0
Puerto Rico,29100.0
Qatar,6150.0
Reunion,2500.0
Romania,28430.0
Russia,92910.0
Rwanda,260.0
Saint Helena,42.0
Saint Kitts and Nevis,195.0
Saint Lucia,267.0
Saint Pierre and Miquelon,106.0
Saint Vincent and the Grenadines,174.0
Samoa,113.0
San Marino,NA
Sao Tome and Principe,41.0
Saudi Arabia,36210.0
Senegal,2128.0
Serbia and Montenegro,9538.0
Seychelles,393.4
Sierra Leone,264.0
Singapore,155200.0
Slovakia,29670.0
Slovenia,16070.0
Solomon Islands,67.0
Somalia,344.0
South Africa,39420.0
Spain,222000.0
Sri Lanka,7265.0
Sudan,3496.0
Suriname,604.0
Svalbard,NA
Swaziland,1140.0
Sweden,97970.0
Switzerland,121100.0
Syria,5042.0
Taiwan,165400.0
Tajikistan,1300.0
Tanzania,1972.0
Thailand,80840.0
Togo,824.9
Tokelau,323.0
Tonga,86.0
Trinidad and Tobago,4650.0
Tunisia,11520.0
Turkey,94500.0
Turkmenistan,2850.0
Turks and Caicos Islands,175.6
Tuvalu,79.0
Uganda,1306.0
Ukraine,31450.0
United Arab Emirates,45660.0
United Kingdom,439400.0
United States,1476000.0
Uruguay,2071.0
Uzbekistan,2820.0
Vanuatu,138.0
Venezuela,14980.0
Vietnam,26310.0
Virgin Islands,NA
Wallis and Futuna,300.0
West Bank,1500.0
Western Sahara,NA
World,8754000.0
Yemen,3734.0
Zambia,1519.0
Zimbabwe,1599.0
