Country,"imports( migrant(s)/1,000 population)"
Afghanistan,1006.9999999999999
Albania,1760.0
Algeria,12420.0
American Samoa,123.0
Andorra,1077.0
Angola,4080.0
Anguilla,80.9
Antigua and Barbuda,692.0
Argentina,13270.0
Armenia,1180.0
Aruba,841.0
Australia,82910.0
Austria,81590.0
Azerbaijan,2498.0
"Bahamas, The",1614.0
Bahrain,5126.0
Bangladesh,9459.0
Barbados,1039.0
Belarus,11090.0
Belgium,173000.0
Belize,500.6
Benin,726.0
Bermuda,5523.0
Bhutan,196.0
Bolivia,1505.0
Bosnia and Herzegovina,4700.0
Botswana,1753.0
Brazil,48250.0
British Virgin Islands,187.0
Brunei,1630.0
Bulgaria,9723.0
Burkina Faso,633.6
Burma,2071.0
Burundi,128.0
Cambodia,2124.0
Cameroon,1959.0
Canada,240400.0
Cape Verde,315.5
Cayman Islands,457.4
Central African Republic,136.0
Chad,760.0
Chile,17400.0
China,397400.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,13060.0
Comoros,88.0
"Congo, Democratic Republic of the",933.0
"Congo, Republic of the",666.9
Cook Islands,50.7
Costa Rica,7057.0
Cote d'Ivoire,2781.0
Croatia,12860.0
Cuba,4531.0
Cyprus,4637.0
Czech Republic,50400.0
Denmark,54470.0
Djibouti,665.0
Dominica,98.2
Dominican Republic,7911.0
East Timor,237.0
Ecuador,6220.0
Egypt,14750.0
El Salvador,5466.0
Equatorial Guinea,1371.0
Eritrea,600.0
Estonia,5535.0
Ethiopia,1964.0
European Union,887100.0
Falkland Islands (Islas Malvinas),53.0
Faroe Islands,466.0
Fiji,835.0
Finland,37350.0
France,339900.0
French Guiana,625.0
French Polynesia,1341.0
Gabon,1079.0
"Gambia, The",271.0
Gaza Strip,1900.0
Georgia,1250.0
Germany,585000.0
Ghana,3240.0
Gibraltar,1743.0
Greece,33270.0
Greenland,445.0
Grenada,208.0
Guadeloupe,1700.0
Guam,462.0
Guatemala,5749.0
Guernsey,NA
Guinea,646.0
Guinea-Bissau,104.0
Guyana,612.0
Haiti,1028.0
Honduras,3110.0
Hong Kong,230300.0
Hungary,46190.0
Iceland,2590.0
India,74150.0
Indonesia,40220.0
Iran,25260.0
Iraq,6521.0
Ireland,57540.0
Israel,32270.000000000004
Italy,271100.0
Jamaica,3265.0
Japan,346600.0
Jersey,NA
Jordan,4946.0
Kazakhstan,8621.0
Kenya,3705.0
Kiribati,83.0
"Korea, North",2041.9999999999998
"Korea, South",175600.0
Kuwait,9606.0
Kyrgyzstan,601.0
Laos,492.0
Latvia,4921.0
Lebanon,6073.0
Lesotho,661.0
Liberia,5051.0
Libya,6282.0
Liechtenstein,917.3
Lithuania,9200.0
Luxembourg,11610.0
Macau,2530.0
Macedonia,2184.0
Madagascar,920.0
Malawi,505.0
Malaysia,74400.0
Maldives,392.0
Mali,927.0
Malta,2761.0
"Man, Isle of",NA
Marshall Islands,54.0
Martinique,2000.0
Mauritania,860.0
Mauritius,2136.0
Mayotte,141.3
Mexico,168900.0
"Micronesia, Federated States of",149.0
Moldova,1340.0
Monaco,NA
Mongolia,691.0
Montserrat,17.0
Morocco,12750.0
Mozambique,1142.0
Namibia,1371.0
Nauru,31.0
Nepal,1419.0
Netherlands,217700.0
Netherlands Antilles,2233.0
New Caledonia,1006.9999999999999
New Zealand,16059.999999999998
Nicaragua,1658.0
Niger,400.0
Nigeria,14540.0
Niue,2.38
Norfolk Island,17.9
Northern Mariana Islands,NA
Norway,40190.0
Oman,5659.0
Pakistan,12510.0
Palau,99.0
Panama,6622.0
Papua New Guinea,967.0
Paraguay,2770.0
Peru,8244.0
Philippines,35970.0
Pitcairn Islands,NA
Poland,63650.0
Portugal,43730.0
Puerto Rico,29100.0
Qatar,5711.0
Reunion,2500.0
Romania,22170.0
Russia,74800.0
Rwanda,245.8
Saint Helena,42.0
Saint Kitts and Nevis,195.0
Saint Lucia,267.0
Saint Pierre and Miquelon,106.0
Saint Vincent and the Grenadines,174.0
Samoa,113.0
San Marino,NA
Sao Tome and Principe,30.03
Saudi Arabia,30380.0
Senegal,1753.0
Serbia and Montenegro,7144.0
Seychelles,383.7
Sierra Leone,264.0
Singapore,121600.0
Slovakia,21900.0
Slovenia,12630.0
Solomon Islands,100.0
Somalia,344.0
South Africa,33890.0
Spain,197100.0
Sri Lanka,6626.0
Sudan,2383.0
Suriname,604.0
Svalbard,NA
Swaziland,1088.0
Sweden,83270.0
Switzerland,102200.0
Syria,4845.0
Taiwan,119600.0
Tajikistan,890.0
Tanzania,1674.0
Thailand,65300.0
Togo,501.3
Tokelau,323.0
Tonga,86.0
Trinidad and Tobago,3917.0
Tunisia,10300.0
Turkey,62430.0
Turkmenistan,2472.0
Turks and Caicos Islands,175.6
Tuvalu,79.0
Uganda,1179.0
Ukraine,23580.0
United Arab Emirates,37160.0
United Kingdom,363600.0
United States,1260000.0
Uruguay,1989.0
Uzbekistan,2310.0
Vanuatu,138.0
Venezuela,10710.0
Vietnam,22500.0
Virgin Islands,NA
Wallis and Futuna,300.0
West Bank,1900.0
Western Sahara,NA
World,6531000.0
Yemen,3042.0
Zambia,1128.0
Zimbabwe,1691.0
