Country,"imports( migrant(s)/1,000 population)"
Afghanistan,3823.0
Albania,3999.0
Algeria,26250.0
American Samoa,308.8
Andorra,1879.0
Angola,12290.0
Anguilla,143.0
Antigua and Barbuda,522.8
Argentina,42530.0
Armenia,2807.0
Aruba,1054.0
Australia,160000.0
Austria,160300.0
Azerbaijan,6045.0
"Bahamas, The",2401.0
Bahrain,10930.0
Bangladesh,16670.0
Barbados,1586.0
Belarus,28320.0
Belgium,323200.0
Belize,642.0
Benin,1085.0
Bermuda,1162.0
Bhutan,320.0
Bolivia,3249.0
Bosnia and Herzegovina,9947.0
Botswana,3403.0
Brazil,120600.0
British Virgin Islands,187.0
Brunei,2000.0
Bulgaria,28670.0
Burkina Faso,1296.0
Burma,2942.0
Burundi,272.0
Cambodia,5424.0
Cameroon,3714.0
Canada,386400.0
Cape Verde,743.6
Cayman Islands,866.9
Central African Republic,237.3
Chad,1158.0
Chile,43990.0
China,904600.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,31170.0
Comoros,143.0
"Congo, Democratic Republic of the",2263.0
"Congo, Republic of the",2634.0
Cook Islands,81.04
Costa Rica,12260.0
Cote d'Ivoire,5932.0
Croatia,25990.0
Cuba,10080.0
Cyprus,7840.0
Czech Republic,116600.0
Denmark,102000.0
Djibouti,1555.0
Dominica,296.0
Dominican Republic,13820.0
Ecuador,12760.0
Egypt,44950.0
El Salvador,8108.000000000001
Equatorial Guinea,3083.0
Eritrea,573.0
Estonia,14750.0
Ethiopia,5165.0
European Union,1466000.0
Falkland Islands (Islas Malvinas),90.0
Faroe Islands,751.0
Fiji,3120.0
Finland,78050.0
France,600900.0
French Polynesia,1706.0
Gabon,2107.0
"Gambia, The",271.0
Gaza Strip,2440.0
Georgia,4977.0
Germany,1075000.0
Ghana,8053.000000000001
Gibraltar,2967.0
Greece,80790.0
Greenland,712.0
Grenada,343.0
Guam,701.0
Guatemala,12620.0
Guernsey,NA
Guinea,1202.0
Guinea-Bissau,200.0
Guyana,1006.0
Haiti,1734.0
Honduras,8556.0
Hong Kong,365600.0
Hungary,86880.0
Iceland,6181.0
India,230500.0
Indonesia,84930.0
Iran,53880.0
Iraq,25670.0
Ireland,84760.0
Isle of Man,NA
Israel,55790.0
Italy,498100.0
Jamaica,5784.0
Japan,573300.0
Jersey,NA
Jordan,12020.0
Kazakhstan,33210.0
Kenya,8540.0
Kiribati,62.0
"Korea, North",2879.0
"Korea, South",349600.0
Kosovo,NA
Kuwait,20640.0
Kyrgyzstan,2636.0
Laos,1378.0
Latvia,14820.0
Lebanon,11930.0
Lesotho,1536.0
Liberia,7143.0
Libya,14430.0
Liechtenstein,917.3
Lithuania,22800.0
Luxembourg,23130.0
Macau,4559.0
Macedonia,4977.0
Madagascar,1918.0
Malawi,866.0
Malaysia,139100.0
Maldives,930.0
Mali,2358.0
Malta,4541.0
Marshall Islands,54.7
Mauritania,1475.0
Mauritius,3656.0
Mayotte,341.0
Mexico,281900.0
"Micronesia, Federated States of",132.7
Moldova,3677.0
Monaco,916.1
Mongolia,2117.0
Montenegro,601.7
Montserrat,17.0
Morocco,28500.0
Mozambique,2811.0
Namibia,3091.0
Nauru,20.0
Nepal,2398.0
Netherlands,406300.0
Netherlands Antilles,15740.0
New Caledonia,1998.0
New Zealand,29060.0
Nicaragua,4078.0000000000005
Niger,800.0
Nigeria,38500.0
Niue,9.038
Norfolk Island,17.9
Northern Mariana Islands,214.4
Norway,77240.0
Oman,11000.0
Pakistan,28760.0
Palau,107.3
Panama,12620.0
Papua New Guinea,2629.0
Paraguay,6094.0
Peru,19600.0
Philippines,57560.0
Pitcairn Islands,NA
Poland,160200.0
Portugal,75300.0
Puerto Rico,29100.0
Qatar,19860.0
Romania,64540.00000000001
Russia,223400.0
Rwanda,637.0
Saint Helena,45.0
Saint Kitts and Nevis,383.0
Saint Lucia,791.0
Saint Pierre and Miquelon,68.2
Saint Vincent and the Grenadines,578.0
Samoa,324.0
San Marino,2035.0000000000002
Sao Tome and Principe,66.0
Saudi Arabia,82640.0
Senegal,3731.0
Serbia,18350.0
Seychelles,823.0
Sierra Leone,560.0
Singapore,252000.0
Slovakia,58400.0
Slovenia,29390.0
Solomon Islands,256.0
Somalia,798.0
South Africa,81890.0
Spain,380200.0
Sri Lanka,10360.0
Sudan,7722.0
Suriname,1297.0
Svalbard,NA
Swaziland,1914.0
Sweden,151400.0
Switzerland,187100.0
Syria,10500.0
Taiwan,215100.0
Tajikistan,2762.0
Tanzania,4861.0
Thailand,125200.0
Timor-Leste,202.0
Togo,1201.0
Tokelau,969.0
Tonga,139.0
Trinidad and Tobago,7670.0
Tunisia,18020.0
Turkey,162000.0
Turkmenistan,4516.0
Turks and Caicos Islands,175.6
Tuvalu,12.91
Uganda,2983.0
Ukraine,60410.0
United Arab Emirates,116600.0
United Kingdom,621400.0
United States,1968000.0
Uruguay,5554.0
Uzbekistan,4480.0
Vanuatu,156.0
Venezuela,45460.0
Vietnam,58920.0
Virgin Islands,4609.0
Wallis and Futuna,61.17
West Bank,2440.0
Western Sahara,NA
World,13740000.0
Yemen,6735.0
Zambia,3611.0
Zimbabwe,2183.0
