Country,"imports( migrant(s)/1,000 population)"
Afghanistan,6390.0
Albania,4835.0
Algeria,55020.0
American Samoa,308.8
Andorra,1430.0
Angola,26090.0
Anguilla,140.1
Antigua and Barbuda,340.8
Argentina,71300.0
Armenia,3459.0
Aruba,3162.0
Australia,245800.0
Austria,167900.0
Azerbaijan,10720.0
"Bahamas, The",3245.0
Bahrain,14410.0
Bangladesh,32940.0
Barbados,1674.0
Belarus,45170.0
Belgium,310200.0
Belize,864.0
Benin,1835.0
Bermuda,925.0
Bhutan,1280.0
Bolivia,9282.0
Bosnia and Herzegovina,10300.0
Botswana,7389.0
Brazil,241400.0
British Virgin Islands,310.0
Brunei,3020.0
Bulgaria,32880.0
Burkina Faso,2941.0
Burma,10110.0
Burundi,867.2
Cabo Verde,796.3
Cambodia,8895.0
Cameroon,6795.0
Canada,471000.0
Cayman Islands,719.0
Central African Republic,218.6
Chad,2701.0
Chile,75700.0
China,1950000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,53500.0
Comoros,208.8
"Congo, Democratic Republic of the",8924.0
"Congo, Republic of the",4297.0
Cook Islands,83.49
Costa Rica,17560.0
Cote d'Ivoire,9859.0
Croatia,21740.0
Cuba,13600.0
Curacao,1285.0
Cyprus,4747.0
Czech Republic,143400.0
Denmark,98450.0
Djibouti,593.3
Dominica,219.6
Dominican Republic,16800.0
Ecuador,26220.0
Egypt,59220.0
El Salvador,10030.0
Equatorial Guinea,7943.0
Eritrea,1027.0
Estonia,16379.999999999998
Ethiopia,10680.0
European Union,2312000.0
Falkland Islands (Islas Malvinas),90.0
Faroe Islands,776.0
Fiji,2054.0
Finland,70670.0
France,659800.0
French Polynesia,2200.0
Gabon,3934.0
"Gambia, The",359.7
Gaza Strip,NA
Georgia,7064.0
Germany,1233000.0
Ghana,18490.0
Gibraltar,2967.0
Greece,50580.0
Greenland,814.2
Grenada,297.0
Guam,901.0
Guatemala,16700.0
Guernsey,NA
Guinea,2384.0
Guinea-Bissau,206.4
Guyana,2039.0000000000002
Haiti,2697.0
Honduras,11340.0
Hong Kong,520600.0
Hungary,89520.0
Iceland,4526.0
India,467500.0
Indonesia,178600.0
Iran,64420.0
Iraq,66610.0
Ireland,61510.0
Isle of Man,NA
Israel,67030.0
Italy,435800.0
Jamaica,5559.0
Japan,766600.0
Jersey,NA
Jordan,18610.0
Kazakhstan,52030.0
Kenya,15860.0
Kiribati,80.09
"Korea, North",4828.0
"Korea, South",516600.0
Kosovo,3398.0
Kuwait,24420.0
Kyrgyzstan,5082.0
Laos,3238.0
Latvia,15560.0
Lebanon,20970.0
Lesotho,2148.0
Liberia,2457.0
Libya,27150.0
Liechtenstein,2090.0
Lithuania,32520.000000000004
Luxembourg,23120.0
Macau,10130.0
Macedonia,6600.0
Madagascar,2794.0
Malawi,2420.0
Malaysia,192900.0
Maldives,1406.0
Mali,2895.0
Malta,7436.0
Marshall Islands,118.7
Mauritania,3355.0
Mauritius,4953.0
Mexico,370700.0
"Micronesia, Federated States of",132.7
Moldova,5493.0
Monaco,1162.0
Mongolia,5696.0
Montenegro,2400.0
Montserrat,30.0
Morocco,38660.0
Mozambique,7068.0
Namibia,7084.0
Nauru,NA
Nepal,6329.0
Netherlands,511000.0
New Caledonia,3245.0
New Zealand,37350.0
Nicaragua,5650.0
Niger,2314.0
Nigeria,55980.0
Niue,9.038
Norfolk Island,NA
Northern Mariana Islands,214.4
Norway,90140.0
Oman,30750.0
Pakistan,39270.0
Palau,113.4
Panama,26610.0
Papua New Guinea,4587.0
Paraguay,12370.0
Peru,42130.0
Philippines,63910.0
Pitcairn Islands,NA
Poland,207400.0
Portugal,59000.0
Puerto Rico,47320.0
Qatar,39580.0
Romania,73420.0
Russia,341000.0
Rwanda,1937.0
"Saint Helena, Ascension, and Tristan da Cunha",20.53
Saint Kitts and Nevis,355.4
Saint Lucia,592.7
Saint Pierre and Miquelon,95.35
Saint Vincent and the Grenadines,301.5
Samoa,318.7
San Marino,2551.0
Sao Tome and Principe,112.8
Saudi Arabia,147000.0
Senegal,5610.0
Serbia,20540.0
Seychelles,846.4
Sierra Leone,1637.0
Singapore,373000.0
Slovakia,77960.0
Slovenia,29490.0
Solomon Islands,446.0
Somalia,1263.0
South Africa,99550.0
Spain,431000.0
Sri Lanka,18000.0
Sudan,5941.0
Suriname,1778.0
Svalbard,NA
Swaziland,1545.0
Sweden,158000.0
Switzerland,200500.0
Syria,8917.0
Taiwan,268500.0
Tajikistan,4121.0
Tanzania,11160.0
Thailand,219000.0
Timor-Leste,689.0
Togo,1677.0
Tokelau,969.0
Tonga,122.5
Trinidad and Tobago,9638.0
Tunisia,24950.0
Turkey,242900.0
Turkmenistan,12480.0
Turks and Caicos Islands,591.3
Tuvalu,16.5
Uganda,4858.0
Ukraine,87210.0
United Arab Emirates,249600.0
United Kingdom,782500.0
United States,2273000.0
Uruguay,12500.0
Uzbekistan,12640.0
Vanuatu,319.4
Venezuela,59320.0
Vietnam,121400.0
Virgin Islands,4609.0
Wallis and Futuna,61.17
West Bank,5474.0
Western Sahara,NA
World,18360000.0
Yemen,10970.0
Zambia,8216.0
Zimbabwe,4571.0
