Country,"imports( migrant(s)/1,000 population)"
Afghanistan,4850.0
Albania,4898.0
Algeria,39160.0
American Samoa,308.8
Andorra,1789.0
Angola,17080.0
Anguilla,143.0
Antigua and Barbuda,522.8
Argentina,54560.0
Armenia,3763.0
Aruba,1054.0
Australia,194200.0
Austria,179200.0
Azerbaijan,7575.0
"Bahamas, The",2401.0
Bahrain,14250.0
Bangladesh,21510.0
Barbados,1586.0
Belarus,39160.0
Belgium,387700.0
Belize,788.1
Benin,1843.0
Bermuda,1162.0
Bhutan,320.0
Bolivia,4641.0
Bosnia and Herzegovina,12290.0
Botswana,4486.0
Brazil,173100.0
British Virgin Islands,187.0
Brunei,2055.0
Bulgaria,35640.0
Burkina Faso,1343.0
Burma,3388.0
Burundi,350.0
Cambodia,6534.0
Cameroon,4303.0
Canada,415200.0
Cape Verde,864.0
Cayman Islands,866.9
Central African Republic,237.3
Chad,1927.0
Chile,57610.0
China,1074000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,37560.0
Comoros,143.0
"Congo, Democratic Republic of the",5200.0
"Congo, Republic of the",3105.0
Cook Islands,81.04
Costa Rica,14550.0
Cote d'Ivoire,6760.0
Croatia,30420.0
Cuba,14250.0
Cyprus,10540.0
Czech Republic,139400.0
Denmark,116400.0
Djibouti,1555.0
Dominica,296.0
Dominican Republic,16100.000000000002
Ecuador,17790.0
Egypt,56620.0
El Salvador,9003.0
Equatorial Guinea,3114.0
Eritrea,601.0
Estonia,15350.0
Ethiopia,7206.0
European Union,1690000.0
Falkland Islands (Islas Malvinas),90.0
Faroe Islands,751.0
Fiji,3120.0
Finland,87510.0
France,692000.0
French Polynesia,1706.0
Gabon,2577.0
"Gambia, The",299.0
Gaza Strip,2840.0
Georgia,6261.0
Germany,1232000.0
Ghana,10260.0
Gibraltar,2967.0
Greece,93910.0
Greenland,712.0
Grenada,343.0
Guam,701.0
Guatemala,13420.0
Guernsey,NA
Guinea,1389.0
Guinea-Bissau,200.0
Guyana,1294.0
Haiti,2107.0
Honduras,10390.0
Hong Kong,388400.0
Hungary,106500.0
Iceland,5699.0
India,315100.0
Indonesia,116000.0
Iran,67250.0
Iraq,37220.0
Ireland,84820.0
Isle of Man,NA
Israel,64400.00000000001
Italy,546900.0
Jamaica,7185.0
Japan,708300.0
Jersey,NA
Jordan,14990.0
Kazakhstan,38450.0
Kenya,10690.0
Kiribati,62.0
"Korea, North",3055.0
"Korea, South",427400.0
Kosovo,2600.0
Kuwait,22940.0
Kyrgyzstan,3754.0
Laos,1384.0
Latvia,15650.0
Lebanon,16250.0
Lesotho,1880.0
Liberia,7143.0
Libya,26550.0
Liechtenstein,917.3
Lithuania,29300.0
Luxembourg,27730.0
Macau,5400.0
Macedonia,6523.0
Madagascar,2419.0
Malawi,1587.0
Malaysia,154700.0
Maldives,1276.0
Mali,2358.0
Malta,4792.0
Marshall Islands,79.4
Mauritania,1475.0
Mauritius,4399.0
Mayotte,341.0
Mexico,308600.0
"Micronesia, Federated States of",132.7
Moldova,4870.0
Monaco,916.1
Mongolia,3615.0
Montenegro,601.7
Montserrat,17.0
Morocco,39350.0
Mozambique,3458.0
Namibia,3849.0
Nauru,20.0
Nepal,3229.0
Netherlands,474800.0
Netherlands Antilles,15740.0
New Caledonia,1998.0
New Zealand,32759.999999999996
Nicaragua,4848.0
Niger,800.0
Nigeria,46300.0
Niue,9.038
Norfolk Island,17.9
Northern Mariana Islands,214.4
Norway,85950.0
Oman,20710.0
Pakistan,38190.0
Palau,107.3
Panama,15000.0
Papua New Guinea,3124.0
Paraguay,8809.0
Peru,28440.0
Philippines,60780.0
Pitcairn Islands,NA
Poland,204400.0
Portugal,87830.0
Puerto Rico,29100.0
Qatar,25110.0
Romania,76170.0
Russia,291900.0
Rwanda,834.0
Saint Helena,45.0
Saint Kitts and Nevis,383.0
Saint Lucia,791.0
Saint Pierre and Miquelon,68.2
Saint Vincent and the Grenadines,578.0
Samoa,324.0
San Marino,3744.0
Sao Tome and Principe,87.0
Saudi Arabia,108300.0
Senegal,4263.0
Serbia,18350.0
Seychelles,1018.0
Sierra Leone,560.0
Singapore,309600.0
Slovakia,73620.0
Slovenia,33490.0
Solomon Islands,256.0
Somalia,798.0
South Africa,90570.0
Spain,415500.0
Sri Lanka,12610.0
Sudan,8229.0
Suriname,1297.0
Svalbard,NA
Swaziland,1855.0
Sweden,167800.0
Switzerland,227400.0
Syria,15970.0
Taiwan,236700.0
Tajikistan,3699.0
Tanzania,7080.0
Thailand,157300.0
Timor-Leste,202.0
Togo,1541.0
Tokelau,969.0
Tonga,139.0
Trinidad and Tobago,9788.0
Tunisia,23230.0
Turkey,193900.0
Turkmenistan,5654.0
Turks and Caicos Islands,175.6
Tuvalu,12.91
Uganda,3980.0
Ukraine,83810.0
United Arab Emirates,176300.0
United Kingdom,639300.0
United States,2117000.0
Uruguay,8799.0
Uzbekistan,7070.0
Vanuatu,156.0
Venezuela,48100.0
Vietnam,75470.0
Virgin Islands,4609.0
Wallis and Futuna,61.17
West Bank,1300.0
Western Sahara,NA
World,15970000.0
Yemen,8829.0
Zambia,4694.0
Zimbabwe,1915.0
