Country,"imports( migrant(s)/1,000 population)"
Afghanistan,5300.0
Albania,4305.0
Algeria,38380.0
American Samoa,308.8
Andorra,1474.0
Angola,18340.0
Anguilla,175.0
Antigua and Barbuda,633.7
Argentina,53870.0
Armenia,3255.0
Aruba,2063.0
Australia,194700.0
Austria,151800.0
Azerbaijan,6746.0
"Bahamas, The",2591.0
Bahrain,11190.0
Bangladesh,24720.0
Barbados,1390.0
Belarus,34470.0
Belgium,284600.0
Belize,647.2
Benin,1781.0
Bermuda,966.0
Bhutan,620.8
Bolivia,4922.0
Bosnia and Herzegovina,9230.0
Botswana,4767.0
Brazil,181700.0
British Virgin Islands,228.4
Brunei,2610.0
Bulgaria,23860.0
Burkina Faso,1663.0
Burma,4224.0
Burundi,506.7
Cambodia,7380.0
Cameroon,4975.0
Canada,401700.0
Cape Verde,796.7
Cayman Islands,795.0
Central African Republic,312.2
Chad,2940.0
Chile,55170.0
China,1327000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,38640.0
Comoros,188.8
"Congo, Democratic Republic of the",7829.0
"Congo, Republic of the",3186.0
Cook Islands,81.04
Costa Rica,12950.0
Cote d'Ivoire,6925.0
Croatia,19940.0
Cuba,10410.0
Curacao,2800.0
Cyprus,8465.0
Czech Republic,113900.0
Denmark,87440.0
Djibouti,416.9
Dominica,225.3
Dominican Republic,15300.0
Ecuador,19640.0
Egypt,51540.0
El Salvador,8189.0
Equatorial Guinea,5700.0
Eritrea,677.2
Estonia,11940.0
Ethiopia,6992.0
European Union,1690000.0
Falkland Islands (Islas Malvinas),90.0
Faroe Islands,983.0
Fiji,1300.0
Finland,65000.0
France,588400.0
French Polynesia,1706.0
Gabon,2494.0
"Gambia, The",336.4
Gaza Strip,NA
Georgia,5027.0
Germany,1099000.0
Ghana,10950.0
Gibraltar,2967.0
Greece,60190.0
Greenland,867.0
Grenada,252.8
Guam,701.0
Guatemala,12860.0
Guernsey,NA
Guinea,1405.0
Guinea-Bissau,206.1
Guyana,1386.0
Haiti,2778.0
Honduras,8550.0
Hong Kong,437000.0
Hungary,87080.0
Iceland,3621.0
India,357700.0
Indonesia,127400.0
Iran,58970.0
Iraq,43920.0
Ireland,61630.0
Isle of Man,NA
Israel,58040.0
Italy,473100.0
Jamaica,4581.0
Japan,639100.0
Jersey,NA
Jordan,12970.0
Kazakhstan,31960.0
Kenya,11200.0
Kiribati,62.0
"Korea, North",3096.0
"Korea, South",422400.0
Kosovo,2600.0
Kuwait,19060.0
Kyrgyzstan,2981.0
Laos,2060.0
Latvia,10540.0
Lebanon,17730.0
Lesotho,1885.0
Liberia,726.7
Libya,24730.0
Liechtenstein,1770.0
Lithuania,22380.0
Luxembourg,22080.0
Macau,5500.0
Macedonia,5241.0
Madagascar,3453.0
Malawi,1665.0
Malaysia,152600.0
Maldives,967.0
Mali,2380.0
Malta,4317.0
Marshall Islands,79.4
Mauritania,2029.0
Mauritius,4154.0
Mexico,301500.0
"Micronesia, Federated States of",132.7
Moldova,3810.0
Monaco,916.1
Mongolia,3300.0
Montenegro,601.7
Montserrat,31.5
Morocco,32650.0
Mozambique,3335.0
Namibia,4904.0
Nauru,20.0
Nepal,5016.0
Netherlands,429500.0
New Caledonia,2580.0
New Zealand,29520.0
Nicaragua,4792.0
Niger,1821.0
Nigeria,53460.0
Niue,9.038
Norfolk Island,NA
Northern Mariana Islands,214.4
Norway,74300.0
Oman,17870.0
Pakistan,32880.0
Palau,107.3
Panama,15950.0
Papua New Guinea,3529.0
Paraguay,9839.0
Peru,28820.0
Philippines,61070.0
Pitcairn Islands,NA
Poland,173700.0
Portugal,72670.0
Puerto Rico,41430.0
Qatar,20940.0
Romania,57220.0
Russia,248700.0
Rwanda,1121.0
"Saint Helena, Ascension, and Tristan da Cunha",45.0
Saint Kitts and Nevis,292.7
Saint Lucia,550.0
Saint Pierre and Miquelon,68.2
Saint Vincent and the Grenadines,320.8
Samoa,280.0
San Marino,2165.0
Sao Tome and Principe,99.65
Saudi Arabia,88350.0
Senegal,4450.0
Serbia,16140.0
Seychelles,915.6
Sierra Leone,735.9
Singapore,310400.0
Slovakia,67770.0
Slovenia,25990.0
Solomon Islands,256.0
Somalia,798.0
South Africa,81860.0
Spain,315300.0
Sri Lanka,12160.0
Sudan,8839.0
Suriname,1334.0
Svalbard,NA
Swaziland,2053.0
Sweden,149500.0
Switzerland,246200.0
Syria,16980.0
Taiwan,247300.0
Tajikistan,2936.0
Tanzania,7125.0
Thailand,161300.0
Timor-Leste,384.9
Togo,1292.0
Tokelau,969.0
Tonga,139.0
Trinidad and Tobago,8186.999999999999
Tunisia,21010.0
Turkey,177300.0
Turkmenistan,8277.0
Turks and Caicos Islands,175.6
Tuvalu,12.91
Uganda,4264.0
Ukraine,60900.0
United Arab Emirates,161400.0
United Kingdom,563200.0
United States,1935000.0
Uruguay,8320.0
Uzbekistan,8060.000000000001
Vanuatu,156.0
Venezuela,38610.0
Vietnam,79950.0
Virgin Islands,4609.0
Wallis and Futuna,61.17
West Bank,3772.0
Western Sahara,NA
World,14920000.0
Yemen,8701.0
Zambia,4710.0
Zimbabwe,3673.0
