"Sex ratio at birth (male to female births)"
"HDI Rank (2015)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"43"," Hungary","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"9"," Iceland","1.06","","1.06","","1.04","","1.04","","1.05","","1.04"," a"
"131"," India","1.07","","1.09","","1.10","","1.11","","1.11","","1.11"," a"
"113"," Indonesia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"69"," Iran (Islamic Republic of)","1.05","","1.05","","1.04","","1.04","","1.05","","1.05"," a"
"121"," Iraq","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"8"," Ireland","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"19"," Israel","1.05","","1.06","","1.06","","1.05","","1.05","","1.05"," a"
"26"," Italy","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"94"," Jamaica","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"17"," Japan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"86"," Jordan","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"56"," Kazakhstan","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"146"," Kenya","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"137"," Kiribati","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"0"," Korea (Democratic People's Rep. of)","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"18"," Korea (Republic of)","1.14","","1.14","","1.10","","1.10","","1.07","","1.07"," a"
"51"," Kuwait","1.04","","1.05","","1.05","","1.04","","1.04","","1.04"," a"
"120"," Kyrgyzstan","1.05","","1.05","","1.07","","1.05","","1.06","","1.06"," a"
"138"," Lao People's Democratic Republic","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"44"," Latvia","1.06","","1.05","","1.07","","1.05","","1.04","","1.05"," a"
"76"," Lebanon","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"160"," Lesotho","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"177"," Liberia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"102"," Libya","1.05","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"37"," Lithuania","1.06","","1.05","","1.06","","1.06","","1.05","","1.05"," a"
"20"," Luxembourg","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"158"," Madagascar","1.02","","1.02","","1.02","","1.02","","1.03","","1.03"," a"
"170"," Malawi","1.02","","1.02","","1.02","","1.02","","1.02","","1.03"," a"
"59"," Malaysia","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"105"," Maldives","1.05","","1.08","","1.06","","1.06","","1.06","","1.09"," a"
"175"," Mali","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"33"," Malta","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"157"," Mauritania","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"64"," Mauritius","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"77"," Mexico","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"127"," Micronesia (Federated States of)","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"107"," Moldova (Republic of)","1.06","","1.06","","1.05","","1.06","","1.06","","1.06"," a"
"92"," Mongolia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"48"," Montenegro","1.08","","1.08","","1.08","","1.08","","1.08","","1.07"," a"
"123"," Morocco","1.05","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"181"," Mozambique","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"145"," Myanmar","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"125"," Namibia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"144"," Nepal","1.05","","1.05","","1.07","","1.07","","1.05","","1.07"," a"
"7"," Netherlands","1.06","","1.06","","1.06","","1.06","","1.06","","1.05"," a"
"13"," New Zealand","1.05","","1.06","","1.06","","1.05","","1.06","","1.05"," a"
"124"," Nicaragua","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"187"," Niger","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"152"," Nigeria","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"1"," Norway","1.05","","1.06","","1.06","","1.05","","1.06","","1.06"," a"
"52"," Oman","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"147"," Pakistan","1.07","","1.07","","1.08","","1.10","","1.09","","1.09"," a"
"114"," Palestine, State of","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"60"," Panama","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"154"," Papua New Guinea","1.08","","1.08","","1.08","","1.08","","1.08","","1.08"," a"
"110"," Paraguay","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"87"," Peru","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"116"," Philippines","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"36"," Poland","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"41"," Portugal","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"33"," Qatar","1.05","","1.06","","1.04","","1.05","","1.04","","1.05"," a"
"50"," Romania","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"49"," Russian Federation","1.05","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"159"," Rwanda","1.01","","1.01","","1.01","","1.01","","1.01","","1.02"," a"
"92"," Saint Lucia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"99"," Saint Vincent and the Grenadines","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"104"," Samoa","1.08","","1.08","","1.08","","1.08","","1.08","","1.08"," a"
"142"," Sao Tome and Principe","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"38"," Saudi Arabia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"162"," Senegal","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"66"," Serbia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"63"," Seychelles","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"179"," Sierra Leone","1.02","","1.02","","1.02","","1.02","","1.02","","1.02"," a"
"5"," Singapore","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"40"," Slovakia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"25"," Slovenia","1.05","","1.05","","1.05","","1.05","","1.05","","1.05"," a"
"156"," Solomon Islands","1.07","","1.07","","1.07","","1.07","","1.07","","1.07"," a"
"0"," Somalia","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"119"," South Africa","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
"181"," South Sudan","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"27"," Spain","1.06","","1.06","","1.06","","1.06","","1.06","","1.06"," a"
"73"," Sri Lanka","1.05","","1.04","","1.04","","1.05","","1.04","","1.04"," a"
"165"," Sudan","1.04","","1.04","","1.04","","1.04","","1.04","","1.04"," a"
"97"," Suriname","1.08","","1.08","","1.08","","1.08","","1.08","","1.07"," a"
"148"," Swaziland","1.03","","1.03","","1.03","","1.03","","1.03","","1.03"," a"
