Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Turkey,468000.0,489700.0,458200.0,508700.0,584500.0,640400.0,853900.0,903900.0,958300.0,960500.0,1125000.0,1109000.0,1167000.0,1167000.0,1167000.0
Tuvalu,12.2,12.2,12.2,12.2,14.94,14.94,14.94,14.94,14.94,36.0,37.0,39.0,40.0,40.0,40.0
Gabon,6700.0,8354.0,7301.0,7966.0,9739.0,10190.0,20440.0,21160.0,22540.0,22480.0,26710.0,27810.0,30060.0,30060.0,30060.0
Liechtenstein,730.0,825.0,825.0,825.0,1786.0,1786.0,1786.0,4160.0,4160.0,5028.0,3200.0,3200.0,3200.0,3200.0,3200.0
Vietnam,168100.0,183800.0,203700.0,227200.0,235200.0,262500.0,221100.0,242300.0,278100.0,276600.0,320500.0,336200.0,358900.0,358900.0,358900.0
Holy See (Vatican City),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,8500.0,8240.0,8596.0,9409.0,10630.0,11640.0,16100.000000000002,17540.0,20030.0,20040.0,23680.0,23690.0,25470.0,25470.0,25470.0
Burma,63000.0,73690.0,74530.0,74300.0,80110.0,85200.0,91130.0,55270.0,60070.0,76470.0,89230.0,102600.0,111100.0,111100.0,111100.0
Greece,201100.0,203300.0,213600.0,226400.0,238200.0,256500.0,327600.0,343800.0,321700.0,318100.0,280800.0,273900.0,267100.0,267100.0,267100.0
Saint Helena,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,NA,NA,NA,NA,NA,NA,NA
Haiti,12000.0,10600.0,12300.0,12050.0,13970.0,14760.0,11380.0,11530.0,11180.0,11480.0,13130.0,12800.0,13420.0,13420.0,13420.0
Bosnia and Herzegovina,7000.0,7300.0,24310.0,26210.0,23090.0,25320.0,27700.0,29770.0,30560.0,30330.0,32080.0,31570.0,32159.999999999996,32159.999999999996,32159.999999999996
Guinea,15000.0,18690.0,19020.0,19500.0,18650.0,19870.0,10960.0,10620.0,10600.0,10810.0,12250.0,12040.0,12560.0,12560.0,12560.0
Suriname,1500.0,1469.0,1752.0,1885.0,2893.0,3136.0,3846.0,4226.0,4794.0,4711.0,6685.0,6709.0,7120.0,7120.0,7120.0
Taiwan,386000.0,406000.0,528600.0,576200.0,630000.0,681800.0,698600.0,713700.0,807200.0,821800.0,901900.0,894300.0,926400.0,926400.0,926400.0
Latvia,20000.0,20990.0,23900.0,26530.0,31460.0,36490.0,40050.0,38950.0,32200.000000000004,32509.999999999996,37040.0,36870.0,38870.0,38870.0,38870.0
Pakistan,299000.0,295300.0,318000.0,347300.0,395200.0,437500.0,411900.0,431200.0,451200.0,464900.0,514600.0,546700.0,574100.0,574100.0,574100.0
Seychelles,605.0,626.0,626.0,626.0,626.0,626.0,1378.0,1821.0,1908.0,2053.0,2410.0,2295.0,2404.0,2404.0,2404.0
Monaco,870.0,870.0,870.0,870.0,870.0,976.3,976.3,976.3,976.3,976.3,5470.0,5748.0,6213.0,6213.0,6213.0
Belgium,297600.0,299700.0,299100.0,316200.0,322300.0,342500.0,376500.0,390200.0,394900.0,394300.0,420600.0,415600.0,421700.0,421700.0,421700.0
Jamaica,9800.0,10080.0,10610.0,11130.0,12180.0,12840.0,20480.0,24040.0,23930.0,23720.0,25180.0,24690.0,25130.0,25130.0,25130.0
Maldives,1200.0,1250.0,1250.0,1250.0,1250.0,2839.0,1588.0,1723.0,1767.0,2734.0,2945.0,2930.0,3073.0,3073.0,3073.0
Dominica,262.0,380.0,380.0,384.0,384.0,485.0,648.0,726.3,765.4,758.0,1035.0,990.0,1014.9999999999999,1014.9999999999999,1014.9999999999999
Mauritania,5000.0,4891.0,5195.0,5534.0,6901.0,8124.000000000001,5974.0,6323.0,6800.0,6655.0,7615.0,7604.0,8204.0,8204.0,8204.0
Chad,8900.0,9297.0,10670.0,15660.0,13980.0,14980.0,15260.0,15820.0,18560.0,17360.0,21340.0,26580.0,28000.0,28000.0,28000.0
Cayman Islands,1180.0,1270.0,1270.0,1391.0,1939.0,1939.0,1939.0,1939.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0
Algeria,177000.0,173800.0,196000.0,212300.0,235500.0,249800.0,222300.0,233500.0,254700.0,251100.0,274500.0,272500.0,284700.0,284700.0,284700.0
Anguilla,104.0,104.0,104.0,112.0,108.9,108.9,108.9,108.9,175.4,175.4,175.4,175.4,175.4,175.4,175.4
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9664.0,11640.0,14710.0,14710.0,14710.0
Bhutan,2500.0,2700.0,2700.0,2900.0,2900.0,3503.0,3359.0,3533.0,3526.0,3875.0,4813.0,4880.0,5235.0,5235.0,5235.0
New Zealand,75400.0,78400.0,85340.0,92510.0,102000.0,106900.0,112400.0,116600.0,119200.0,117800.0,128500.0,130900.0,136000.0,136000.0,136000.0
Samoa,618.0,1000.0,1000.0,1000.0,1000.0,1218.0,1029.0,1020.9999999999999,1002.0,1055.0,1128.0,1129.0,1145.0,1145.0,1145.0
European Union,NA,NA,11050000.0,11650000.0,12180000.0,13080000.0,14430000.0,14940000.0,14890000.0,14820000.0,15700000.0,15540000.0,15850000.0,15850000.0,15850000.0
Guyana,2500.0,2628.0,2797.0,2899.0,3439.0,3757.0,2819.0,2973.0,5069.0,5379.0,6164.0,6175.0,6593.0,6593.0,6593.0
Guatemala,48300.0,53200.0,56500.0,59470.0,56860.0,61380.0,64760.00000000001,68750.0,70310.0,70150.0,78420.0,77840.0,81510.0,81510.0,81510.0
Netherlands,434000.0,437800.0,461400.0,481100.0,497900.0,529600.0,645500.0,673500.0,680400.0,676900.0,709500.0,695800.0,699700.0,699700.0,699700.0
Saint Lucia,700.0,866.0,866.0,866.0,866.0,1179.0,1794.0,1774.0,1789.0,1798.0,2234.0,2181.0,2216.0,2216.0,2216.0
Cambodia,18700.0,20420.0,25020.0,26990.0,34080.0,38890.0,26190.0,28010.0,29460.0,30180.0,36590.0,36540.0,39640.0,39640.0,39640.0
Rwanda,7200.0,8920.0,10110.0,10430.0,12540.0,13700.0,8057.0,9729.0,11840.0,12160.0,14910.0,15020.0,16370.000000000002,16370.000000000002,16370.000000000002
Macau,8000.0,8600.0,9100.0,9100.0,10000.0,10000.0,12500.0,18140.0,18470.0,18470.0,42900.0,47190.0,51680.0,51680.0,51680.0
Malawi,7000.0,6811.0,6845.0,7410.0,7364.0,8272.0,10590.0,11950.0,13510.0,12980.0,14580.0,14110.0,15020.0,15020.0,15020.0
Kyrgyzstan,13500.0,13880.0,7808.0,8495.0,10080.0,10730.0,10550.0,11640.0,11850.0,12020.0,13470.0,13140.0,14300.0,14300.0,14300.0
Comoros,424.0,441.0,441.0,441.0,441.0,1275.0,1262.0,741.7,789.4,800.0,872.0,868.0,911.0,911.0,911.0
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,2838.0,2838.0,2838.0,2838.0,3128.0,3128.0,3128.0
Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,9100.0,9400.0,14820.0,15710.0,16810.0,18040.0,21400.0,22760.0,23180.0,23190.0,23570.0,23360.0,21620.0,21620.0,21620.0
Niger,8400.0,8713.0,9062.0,9716.0,11590.0,12360.0,8859.0,10290.0,10580.0,11050.0,13530.0,12990.0,13980.0,13980.0,13980.0
Qatar,16300.0,15910.0,17540.0,19490.0,24460.0,26370.0,71420.0,91550.0,122200.0,150600.0,189000.0,185300.0,198700.0,198700.0,198700.0
"Korea, North",22000.0,22260.0,29580.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
"Micronesia, Federated States of",269.0,277.0,277.0,277.0,277.0,277.0,277.0,238.1,238.1,238.1,238.1,739.0,754.0,754.0,754.0
Puerto Rico,43900.0,43010.0,65209.99999999999,68950.0,73270.0,75820.0,72610.0,70230.0,64840.0,64840.0,64840.0,64840.0,64840.0,64840.0,64840.0
Georgia,15000.0,16050.0,12180.0,14450.0,16030.000000000002,18160.0,20600.0,21560.0,22320.0,22440.0,26400.0,26280.0,27300.0,27300.0,27300.0
Bolivia,21400.0,21150.0,21010.0,22330.0,25820.0,27870.0,39750.0,43380.0,47980.0,47880.0,54360.0,54600.0,59110.0,59110.0,59110.0
Cameroon,26400.0,26840.0,27750.0,30170.0,39750.0,42640.0,40240.0,42690.0,44650.0,44330.0,50320.0,50160.0,53160.0,53160.0,53160.0
Hungary,134700.0,134000.0,139800.0,149300.0,163100.0,175000.0,191700.0,196700.0,190000.0,187600.0,196800.0,193600.0,196600.0,196600.0,196600.0
Uganda,29000.0,30490.0,36100.0,39390.0,47760.0,52930.0,29130.0,40080.0,41700.0,42150.0,50590.0,50770.0,54370.0,54370.0,54370.0
Iran,456000.0,458300.0,478200.0,516700.00000000006,569900.0,599200.0,762900.0,843700.0,863500.0,818700.0,997400.0,988400.0,987100.0,987100.0,987100.0
Japan,3550000.0,3651000.0,3582000.0,3745000.0,4025000.0000000005,4218000.0,4272000.0,4340000.0,4338000.0,4310000.0,4617000.0,4576000.0,4729000.0,4729000.0,4729000.0
Barbados,4000.0,4153.0,4355.0,4569.0,4815.0,5146.0,5310.0,5367.0,6196.0,6227.0,7091.0,6961.0,7004.0,7004.0,7004.0
Cote d'Ivoire,25500.0,24030.0,24510.0,24780.0,27580.0,29050.0,32850.0,34120.0,37800.0,37020.0,39640.0,39880.0,43670.0,43670.0,43670.0
French Guiana,1000.0,2260.0,1551.0,1551.0,1551.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,12900.0,12150.0,13850.0,15680.0,15730.0,17020.0,14270.0,15430.0,17490.0,18060.0,20260.0,19980.0,20950.0,20950.0,20950.0
Sierra Leone,2700.0,2826.0,3057.0,3335.0,4939.0,5452.0,3991.0,4388.0,4812.0,4720.0,8376.0,7970.0,9156.0,9156.0,9156.0
Uzbekistan,62000.0,66060.0,43990.0,47590.0,50310.0,55750.0,64400.00000000001,71840.0,86070.0,85850.0,103900.0,103800.0,112600.0,112600.0,112600.0
Argentina,391000.0,403800.0,435500.0,483500.0,543400.0,608800.0,526400.0,575200.0,596000.0,596000.0,746900.0,735100.0,771000.0,771000.0,771000.0
Brazil,1340000.0,1376000.0,1375000.0,1492000.0,1536000.0,1655000.0,1849000.0,1998000.0,2194000.0,2172000.0,2362000.0,2330000.0,2416000.0,2416000.0,2416000.0
Honduras,17000.0,16290.0,17550.0,18790.0,20610.0,22540.0,32259.999999999996,33800.0,33770.0,33630.0,37670.0,37640.0,39230.0,39230.0,39230.0
Portugal,182000.0,195200.0,181800.0,188700.0,200600.0,210100.0,232300.0,237300.0,247000.0,247000.0,245000.0,244300.0,243300.0,243300.0,243300.0
Guernsey,1300.0,1300.0,1300.0,2590.0,2590.0,2742.0,2742.0,2742.0,2742.0,2742.0,2742.0,2742.0,2742.0,2742.0,2742.0
Fiji,4400.0,4822.0,5012.0,5173.0,5255.0,5594.0,5079.0,3587.0,3792.0,3869.0,4307.0,4261.0,4450.0,4450.0,4450.0
South Africa,412000.0,427700.0,456700.0,491400.0,540800.0,587500.0,467800.0,492200.0,527500.0,524000.0,578600.0,576100.0,595700.0,595700.0,595700.0
Djibouti,586.0,619.0,619.0,619.0,619.0,1878.0,1738.0,1891.0,2099.0,2105.0,2377.0,2354.0,2505.0,2505.0,2505.0
Western Sahara,NA,NA,NA,NA,NA,NA,NA,900.0,900.0,900.0,906.5,906.5,906.5,906.5,906.5
Iraq,59000.0,58000.0,37920.0,54400.0,94100.0,87900.0,102400.0,90230.0,117700.0,113400.0,155400.0,236000.0,249400.0,249400.0,249400.0
Bulgaria,50600.0,49230.0,57130.0,61630.0,71670.0,79050.0,86710.0,93980.0,91830.0,96780.0,103700.0,102700.0,104600.0,104600.0,104600.0
Bahrain,8400.0,9910.0,11290.0,13010.0,15900.0,17910.0,24010.0,26890.0,29820.0,29710.0,32439.999999999996,33030.0,34960.0,34960.0,34960.0
Lesotho,5300.0,5106.0,5583.0,5892.0,5008.0,5492.0,3063.0,3301.0,3310.0,3303.0,3945.0,4041.0000000000005,4265.0,4265.0,4265.0
