Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gaza Strip,1900.0,1900.0,1900.0,1900.0,1952.0,2440.0,2440.0,2840.0,NA,NA,NA,NA,NA,NA,NA
Slovakia,15400.0,15400.0,21900.0,29670.0,32900.0,44950.0,58400.0,73620.0,62430.0,67770.0,74290.0,75990.0,77960.0,77960.0,77960.0
Maldives,372.0,395.0,392.0,392.0,567.0,832.0,930.0,1276.0,782.0,967.0,1465.0,1406.0,1406.0,1406.0,1406.0
Andorra,1077.0,1077.0,1077.0,1077.0,1077.0,1879.0,1879.0,1789.0,1801.0,1474.0,1469.0,1430.0,1430.0,1430.0,1430.0
Somalia,314.0,343.0,344.0,344.0,576.0,576.0,798.0,798.0,798.0,798.0,1263.0,1263.0,1263.0,1263.0,1263.0
Belize,505.0,430.0,500.6,579.9,622.4,612.0,642.0,788.1,740.0,647.2,770.1,837.1,864.0,864.0,864.0
Azerbaijan,1800.0,1800.0,2498.0,3622.0,4656.0,5269.0,6045.0,7575.0,7035.0,6746.0,10780.0,10420.0,10720.0,10720.0,10720.0
Togo,420.0,561.0,501.3,824.9,1047.0,1040.0,1201.0,1541.0,1337.0,1292.0,1492.0,1604.0,1677.0,1677.0,1677.0
Barbados,1160.0,987.0,1039.0,1039.0,1476.0,1476.0,1586.0,1586.0,1586.0,1390.0,1633.0,1584.0,1674.0,1674.0,1674.0
Pakistan,9200.0,11100.0,12510.0,14010.0,21260.0,26700.0,28760.0,38190.0,32710.0,32880.0,40820.0,40070.0,39270.0,39270.0,39270.0
Australia,68000.0,68000.0,82910.0,98100.0,119600.0,134500.0,160000.0,194200.0,200400.0,194700.0,258100.00000000003,263000.0,245800.0,245800.0,245800.0
Thailand,62300.0,58100.0,65300.0,80840.0,107000.0,113400.0,125200.0,157300.0,156900.0,161300.0,213700.0,217800.0,219000.0,219000.0,219000.0
Armenia,868.6,991.0,1180.0,1300.0,1500.0,1921.0,2807.0,3763.0,2988.0,3255.0,3269.0,3656.0,3459.0,3459.0,3459.0
Tuvalu,7.2,7.2,79.0,79.0,9.186,9.186,12.91,12.91,12.91,12.91,16.5,16.5,16.5,16.5,16.5
Lesotho,720.0,738.0,661.0,730.9,1166.0,1361.0,1536.0,1880.0,1766.0,1885.0,2469.0,2239.0,2148.0,2148.0,2148.0
Bulgaria,6900.0,6900.0,9723.0,12230.0,16780.0,21870.0,28670.0,35640.0,22780.0,23860.0,30320.0,31150.0,32880.0,32880.0,32880.0
Belarus,8100.0,8800.0,11090.0,13570.0,16940.0,22240.0,28320.0,39160.0,29790.0,34470.0,48180.0,45010.0,45170.0,45170.0,45170.0
Malta,2800.0,2800.0,2761.0,3407.0,3859.0,4130.0,4541.0,4792.0,4074.0,4317.0,4648.0,5451.0,7436.0,7436.0,7436.0
Vanuatu,87.5,93.0,138.0,138.0,117.1,117.1,156.0,156.0,156.0,156.0,310.2,322.6,319.4,319.4,319.4
Chad,223.0,570.0,760.0,500.7,749.1,1006.9999999999999,1158.0,1927.0,2631.0,2940.0,3936.0,2672.0,2701.0,2701.0,2701.0
Solomon Islands,152.0,82.0,100.0,67.0,159.0,159.0,256.0,256.0,256.0,256.0,360.3,446.0,446.0,446.0,446.0
Czech Republic,41700.0,43200.0,50400.0,68190.0,76590.0,92140.0,116600.0,139400.0,109200.0,113900.0,129000.0,124200.0,143400.0,143400.0,143400.0
Zimbabwe,1500.0,1739.0,1691.0,1599.0,2059.0,2040.0,2183.0,1915.0,2871.0,3673.0,4675.0,4569.0,4571.0,4571.0,4571.0
Northern Mariana Islands,NA,NA,NA,NA,214.4,214.4,214.4,214.4,214.4,214.4,214.4,214.4,214.4,214.4,214.4
Georgia,750.0,750.0,1250.0,1806.0,2500.0,3686.0,4977.0,6261.0,4828.0,5027.0,6623.0,7682.0,7064.0,7064.0,7064.0
"Congo, Democratic Republic of the",1024.0,890.0,933.0,933.0,1319.0,1319.0,2263.0,5200.0,5200.0,7829.0,9237.0,8186.999999999999,8924.0,8924.0,8924.0
Paraguay,2700.0,2400.0,2770.0,3330.0,3832.0,5771.0,6094.0,8809.0,9242.0,9839.0,9700.0,11060.0,12370.0,12370.0,12370.0
