Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Costa Rica,6500.0,6400.0,7057.0,7842.0,9690.0,10840.0,12260.0,14550.0,13690.0,12950.0,16790.0,16750.0,17560.0,17560.0,17560.0
Virgin Islands,NA,NA,NA,NA,4609.0,4609.0,4609.0,4609.0,4609.0,4609.0,4609.0,4609.0,4609.0,4609.0,4609.0
Monaco,NA,NA,NA,NA,636.6,916.1,916.1,916.1,916.1,916.1,882.6,847.9,1162.0,1162.0,1162.0
Guinea,555.2,670.0,646.0,641.5,680.0,704.0,1202.0,1389.0,1551.0,1405.0,2708.0,2606.0,2384.0,2384.0,2384.0
Dominican Republic,8700.0,8700.0,7911.0,8093.0,9747.0,11190.0,13820.0,16100.000000000002,14530.0,15300.0,18200.0,17760.0,16800.0,16800.0,16800.0
Mozambique,1254.0,1180.0,1142.0,972.9,2041.0,2649.0,2811.0,3458.0,3527.0,3335.0,5373.0,6168.0,7068.0,7068.0,7068.0
Burundi,125.0,135.0,128.0,138.2,200.0,286.0,272.0,350.0,336.0,506.7,569.7,886.2,867.2,867.2,867.2
Greenland,349.0,403.0,445.0,445.0,601.0,599.0,712.0,712.0,867.0,867.0,814.2,814.2,814.2,814.2,814.2
Pitcairn Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,6800.0,6800.0,9200.0,11020.0,15500.0,18290.0,22800.0,29300.0,20340.0,22380.0,31410.0,30440.0,32520.000000000004,32520.000000000004,32520.000000000004
Dominica,132.0,135.0,98.2,98.2,234.0,234.0,296.0,296.0,296.0,225.3,218.6,182.7,219.6,219.6,219.6
Equatorial Guinea,736.0,562.0,1371.0,1167.0,1864.0,2403.0,3083.0,3114.0,5743.0,5700.0,7590.0,8045.0,7943.0,7943.0,7943.0
Russia,60700.0,60700.0,74800.0,92910.0,125000.0,164700.0,223400.0,291900.0,237300.0,248700.0,358100.0,335700.0,341000.0,341000.0,341000.0
Peru,7400.0,7300.0,8244.0,9600.0,12150.0,14900.0,19600.0,28440.0,25740.0,28820.0,41150.0,41110.0,42130.0,42130.0,42130.0
Tokelau,323.0,323.0,323.0,323.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
West Bank,1900.0,1900.0,1900.0,1500.0,1952.0,2440.0,2440.0,1300.0,3772.0,3772.0,4319.0,5474.0,5474.0,5474.0,5474.0
Morocco,12400.0,10400.0,12750.0,15630.0,18150.0,20960.0,28500.0,39350.0,34190.0,32650.0,42490.0,38880.0,38660.0,38660.0,38660.0
Reunion,2500.0,2500.0,2500.0,2500.0,3306.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hong Kong,203000.0,208100.0,230300.0,275900.0,291600.0,331700.0,365600.0,388400.0,413000.0,437000.0,499400.0,487400.0,520600.0,520600.0,520600.0
Haiti,977.5,1140.0,1028.0,1085.0,1471.0,1548.0,1734.0,2107.0,2446.0,2778.0,2928.0,2679.0,2697.0,2697.0,2697.0
Japan,292100.0,292100.0,346600.0,401800.0,451100.0,534500.0,573300.0,708300.0,636800.0,639100.0,856900.0,830100.0,766600.0,766600.0,766600.0
Philippines,30000.0,33500.0,35970.0,37500.0,42660.0,53110.0,57560.0,60780.0,57240.0,61070.0,63420.0,61490.0,63910.0,63910.0,63910.0
Portugal,39000.0,39000.0,43730.0,52100.0,60350.0,64450.0,75300.0,87830.0,68220.0,72670.0,67030.0,69480.0,59000.0,59000.0,59000.0
"Man, Isle of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swaziland,850.0,938.0,1088.0,1140.0,2149.0,2197.0,1914.0,1855.0,1643.0,2053.0,2111.0,1578.0,1545.0,1545.0,1545.0
Nepal,1600.0,1600.0,1419.0,1419.0,2000.0,2000.0,2398.0,3229.0,5260.0,5016.0,6150.0,5951.0,6329.0,6329.0,6329.0
Bolivia,1500.0,1600.0,1505.0,1595.0,1845.0,2636.0,3249.0,4641.0,5006.0,4922.0,8140.000000000001,7694.0,9282.0,9282.0,9282.0
Panama,6700.0,6700.0,6622.0,7164.0,8734.0,10310.0,12620.0,15000.0,16050.0,15950.0,24040.0,24610.0,26610.0,26610.0,26610.0
Sierra Leone,145.0,190.0,264.0,264.0,531.0,531.0,560.0,560.0,560.0,735.9,1675.0,1597.0,1637.0,1637.0,1637.0
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,12500.0,12500.0,16059.999999999998,19770.0,24570.0,24610.0,29060.0,32759.999999999996,30240.0,29520.0,35650.0,37040.0,37350.0,37350.0,37350.0
Ukraine,17100.0,18000.0,23580.0,31450.0,37180.0,44140.0,60410.0,83810.0,53540.0,60900.0,86800.0,89710.0,87210.0,87210.0,87210.0
Montenegro,NA,NA,NA,NA,601.7,601.7,601.7,601.7,601.7,601.7,2500.0,2400.0,2400.0,2400.0,2400.0
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878.7,796.3,796.3,796.3
British Virgin Islands,230.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,228.4,275.1,310.0,310.0,310.0,310.0
Uruguay,2900.0,1870.0,1989.0,2071.0,3540.0,4859.0,5554.0,8799.0,8519.0,8320.0,10970.0,12260.0,12500.0,12500.0,12500.0
Mauritius,2000.0,1800.0,2136.0,2245.0,2507.0,3427.0,3656.0,4399.0,3935.0,4154.0,5111.0,5104.0,4953.0,4953.0,4953.0
Namibia,1710.0,1380.0,1371.0,1473.0,2350.0,2558.0,3091.0,3849.0,5152.0,4904.0,5762.0,6440.0,7084.0,7084.0,7084.0
Brunei,1400.0,1400.0,1630.0,5200.0,1641.0,1481.0,2000.0,2055.0,2610.0,2610.0,2610.0,3020.0,3020.0,3020.0,3020.0
Senegal,1300.0,1460.0,1753.0,2128.0,2405.0,3007.0,3731.0,4263.0,4474.0,4450.0,5109.0,5733.0,5610.0,5610.0,5610.0
Norfolk Island,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,NA,NA,NA,NA,NA,NA
Gibraltar,492.0,492.0,1743.0,1743.0,2967.0,2967.0,2967.0,2967.0,2967.0,2967.0,2967.0,2967.0,2967.0,2967.0,2967.0
Trinidad and Tobago,3500.0,3800.0,3917.0,4650.0,6011.0,6843.0,7670.0,9788.0,8234.0,8186.999999999999,9362.0,9065.0,9638.0,9638.0,9638.0
Cape Verde,218.0,220.0,315.5,387.3,500.0,561.0,743.6,864.0,858.0,796.7,1038.0,NA,NA,NA,NA
Moldova,980.0,980.0,1340.0,1830.0,2230.0,2644.0,3677.0,4870.0,3660.0,3810.0,5390.0,5152.0,5493.0,5493.0,5493.0
Netherlands Antilles,1500.0,1430.0,2233.0,2233.0,4383.0,4383.0,15740.0,15740.0,NA,NA,NA,NA,NA,NA,NA
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, The Former Yugoslav Republic of",1600.0,1900.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,203.0,203.0,462.0,462.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,901.0,901.0,901.0,901.0
Grenada,270.0,270.0,208.0,208.0,276.0,276.0,343.0,343.0,343.0,252.8,296.3,297.0,297.0,297.0,297.0
Suriname,525.0,300.0,604.0,604.0,750.0,750.0,1297.0,1297.0,1297.0,1334.0,1838.0,1761.0,1778.0,1778.0,1778.0
Greece,31400.0,31400.0,33270.0,54280.0,48200.0,64590.0,80790.0,93910.0,44900.0,60190.0,57920.0,53530.0,50580.0,50580.0,50580.0
United Arab Emirates,28600.0,30800.0,37160.0,45660.0,60150.0,86110.0,116600.0,176300.0,159000.0,161400.0,220300.0,221900.0,249600.0,249600.0,249600.0
Malawi,463.6,505.0,505.0,521.1,645.0,832.0,866.0,1587.0,1675.0,1665.0,1752.0,2151.0,2420.0,2420.0,2420.0
Liberia,170.0,165.0,5051.0,5051.0,4839.0,4839.0,7143.0,7143.0,7143.0,726.7,785.3,2275.0,2457.0,2457.0,2457.0
Sri Lanka,6000.0,5400.0,6626.0,7265.0,8370.0,9378.0,10360.0,12610.0,11600.0,12160.0,19760.0,17180.0,18000.0,18000.0,18000.0
Switzerland,94400.0,94400.0,102200.0,121100.0,135000.0,162300.0,187100.0,227400.0,220400.0,246200.0,289400.0,296200.0,200500.0,200500.0,200500.0
France,303700.0,303700.0,339900.0,419700.0,473300.0,520799.99999999994,600900.0,692000.0,577700.0,588400.0,658900.0,643400.0,659800.0,659800.0,659800.0
Gabon,921.0,1100.0,1079.0,1225.0,1533.0,1501.0,2107.0,2577.0,2433.0,2494.0,3496.0,3638.0,3934.0,3934.0,3934.0
Bahrain,4500.0,4200.0,5126.0,5870.0,7830.0,8565.0,10930.0,14250.0,12140.0,11190.0,14950.0,13240.0,14410.0,14410.0,14410.0
Romania,14400.0,16700.0,22170.0,28430.0,41000.0,47170.0,64540.00000000001,76170.0,59840.0,57220.0,78310.0,62750.0,73420.0,73420.0,73420.0
Djibouti,440.0,255.0,665.0,665.0,987.0,987.0,1555.0,1555.0,644.0,416.9,465.1,574.2,593.3,593.3,593.3
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,8700.0,8500.0,9459.0,10030.0,12970.0,14750.0,16670.0,21510.0,21340.0,24720.0,35060.0,32290.0,32940.0,32940.0,32940.0
India,53800.0,53800.0,74150.0,89330.0,113100.0,184400.0,230500.0,315100.0,327000.0,357700.0,500300.0,503500.0,467500.0,467500.0,467500.0
Bhutan,196.0,196.0,196.0,196.0,196.0,410.0,320.0,320.0,533.0,620.8,1280.0,1280.0,1280.0,1280.0,1280.0
Bosnia and Herzegovina,3100.0,2800.0,4700.0,5200.0,6800.0,7618.0,9947.0,12290.0,9403.0,9230.0,10180.0,8849.0,10300.0,10300.0,10300.0
Bermuda,719.0,719.0,5523.0,5523.0,982.0,982.0,1162.0,1162.0,1162.0,966.0,950.0,900.0,925.0,925.0,925.0
