Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Maldives,88.0,110.0,90.0,90.0,123.0,214.0,167.0,113.0,88.0,163.0,346.4,283.0,283.0,283.0,283.0
Burkina Faso,265.0,250.0,293.0,418.6,395.0,606.0,617.0,544.0,991.0,1336.0,2734.0,2746.0,2844.0,2844.0,2844.0
Malta,2000.0,2000.0,2175.0,2625.0,2744.0,2908.0,3238.0,3060.0,2954.0,3088.0,3670.0,4232.0,5105.0,5105.0,5105.0
Tonga,9.3,8.9,27.0,27.0,34.0,34.0,22.0,22.0,22.0,22.0,11.4,8.4,9.1,9.1,9.1
Andorra,58.0,58.0,58.0,58.0,145.0,148.7,148.7,117.1,89.5,64.0,70.0,70.0,70.0,70.0,70.0
Belgium,162000.0,162000.0,182900.0,255700.0,269600.0,283800.0,322200.0,371500.0,279200.0,282300.0,314600.0,302400.0,295300.0,295300.0,295300.0
Cote d'Ivoire,3600.0,4400.0,5299.0,5124.0,6490.0,8191.000000000001,8476.0,10090.0,10250.0,10470.0,10990.0,12530.0,12960.0,12960.0,12960.0
Greece,12600.0,12600.0,5899.0,15500.0,18540.0,20280.0,23910.0,29140.0,21140.0,22660.0,26670.0,28310.0,30390.0,30390.0,30390.0
Chile,18500.0,17800.0,20440.0,29200.0,38030.0,58120.0,67640.0,66460.0,64280.0,71030.0,83660.0,78280.0,77940.0,77940.0,77940.0
Macau,2500.0,2360.0,2356.0,2580.0,3465.0,3156.0,2557.0,2000.0,950.0,870.0,1119.0,1020.0,1137.0,1137.0,1137.0
Romania,11500.0,13700.0,17630.0,23540.0,31200.0,32340.000000000004,40320.0,49410.0,51910.0,49410.0,67720.0,51290.0,65840.0,65840.0,65840.0
India,44500.0,44500.0,57240.0,69180.0,76230.0,123200.0,151300.0,187900.0,201000.0,225600.0,309100.0,301900.0,313200.0,313200.0,313200.0
Mozambique,746.0,680.0,795.0,689.4,1690.0,2381.0,2412.0,2653.0,2517.0,2243.0,3516.0,3470.0,3920.0,3920.0,3920.0
United States,723000.0,687000.0,714500.0,795000.0,927500.0,1022999.9999999999,1148000.0,1277000.0,1270000.0,1289000.0,1612000.0,1561000.0,1575000.0,1575000.0,1575000.0
Tanzania,827.0,863.0,978.0,1248.0,1581.0,1798.0,2227.0,2413.0,3809.0,4297.0,5031.0,5912.0,5920.0,5920.0,5920.0
West Bank,603.0,603.0,603.0,205.0,270.0,301.0,301.0,339.0,529.0,529.0,666.1,666.1,666.1,666.1,666.1
Antigua and Barbuda,40.0,40.0,689.0,689.0,46.81,46.81,84.3,84.3,84.3,69.1,37.9,56.7,55.0,55.0,55.0
World,6300000.0,6600000.0,6421000.0,8819000.0,10330000.0,12030000.0,13890000.0,16040000.0,14900000.0,15180000.0,18350000.0,18260000.0,18710000.0,18710000.0,18710000.0
Guyana,505.0,500.0,512.0,570.2,587.2,482.0,683.0,797.0,814.0,882.7,1229.0,1396.0,1337.0,1337.0,1337.0
Somalia,186.0,126.0,79.0,79.0,241.0,241.0,300.0,300.0,300.0,300.0,515.8,515.8,515.8,515.8,515.8
Bangladesh,6600.0,6200.0,6713.0,7478.0,9372.0,11160.0,12450.0,15440.0,16239.999999999998,19240.0,25790.0,24920.0,26910.0,26910.0,26910.0
Benin,35.3,207.0,485.0,720.9,826.9,605.0,586.0,1127.0,1125.0,1254.0,1578.0,1071.0,1108.0,1108.0,1108.0
Cyprus,851.0,1030.0,1054.0,1094.0,1237.0,1340.0,1495.0,1906.0,2232.0,2089.0,1889.0,2602.0,2420.0,2420.0,2420.0
Bahrain,5500.0,5800.0,6492.0,8205.0,11170.0,11700.0,13790.0,17490.0,15130.0,13830.0,20950.0,20390.0,20690.0,20690.0,20690.0
Bhutan,154.0,154.0,154.0,154.0,154.0,186.0,350.0,350.0,513.0,509.4,725.2,721.8,721.8,721.8,721.8
Cayman Islands,1.2,1.2,1.2,1.2,2.52,2.52,2.52,2.52,13.8,17.0,42.6,15.0,13.9,13.9,13.9
Kenya,1800.0,2100.0,2514.0,2589.0,3173.0,3438.0,4127.0,5040.0,5141.0,5220.0,5942.0,6228.0,6580.0,6580.0,6580.0
Iran,24000.0,24800.0,29880.0,38790.0,55420.0,66670.0,88260.0,98420.0,78690.0,84920.0,66370.0,67040.0,61220.0,61220.0,61220.0
Gibraltar,81.1,81.1,136.0,136.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
Saint Kitts and Nevis,51.7,47.0,70.0,70.0,70.0,70.0,84.0,84.0,84.0,61.7,58.6,68.6,57.3,57.3,57.3
Saint Helena,704.0,704.0,17.0,17.0,19.0,19.0,19.0,19.0,NA,NA,NA,NA,NA,NA,NA
Lithuania,5400.0,5400.0,7890.0,8880.0,11800.0,14120.0,17180.0,23740.0,19290.0,20820.0,29010.0,28760.0,30400.0,30400.0,30400.0
"Congo, Republic of the",2600.0,2400.0,2293.0,2224.0,2209.0,5854.0,5800.0,10850.0,9200.0,9621.0,12350.0,10530.0,9912.0,9912.0,9912.0
Palau,11.0,18.0,18.0,18.0,5.882,5.882,5.882,5.882,5.882,5.882,12.3,12.3,12.3,12.3,12.3
Senegal,1000.0,1150.0,1230.0,1374.0,1526.0,1408.0,1650.0,2053.0,2112.0,2053.0,2458.0,2382.0,2691.0,2691.0,2691.0
San Marino,NA,NA,NA,NA,NA,1291.0,1291.0,4628.0,4628.0,2436.0,2576.0,3827.0,3827.0,3827.0,3827.0
Cambodia,1050.0,1380.0,1616.0,2311.0,2663.0,3693.0,4089.0000000000005,4708.0,5212.0,5527.0,6148.0,6016.0,6781.0,6781.0,6781.0
Marshall Islands,9.0,9.0,9.0,9.0,9.1,9.1,9.1,19.4,19.4,19.4,19.4,50.14,50.14,50.14,50.14
Togo,306.0,449.0,398.1,663.1,768.0,612.0,702.0,777.0,859.0,840.0,893.8,960.5,982.2,982.2,982.2
Tuvalu,276.0,276.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,600.0,600.0,600.0,600.0,600.0
Jordan,2500.0,2500.0,2908.0,3200.0,4226.0,5204.0,5700.0,7782.0,7333.0,7333.0,8218.0,7898.0,7914.0,7914.0,7914.0
El Salvador,2900.0,3000.0,3162.0,3249.0,3586.0,3567.0,4035.0,4611.0,4377.0,4577.0,5804.0,5447.0,5112.0,5112.0,5112.0
French Guiana,155.0,155.0,155.0,155.0,137.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,272.0,227.0,206.0,206.0,209.0,209.0,385.0,385.0,385.0,424.5,491.1,1039.0,1051.0,1051.0,1051.0
Turkey,37600.0,35100.0,49120.0,69460.0,72490.0,91890.0,115300.0,140700.0,117400.0,120900.0,154200.0,163300.0,167600.0,167600.0,167600.0
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,24.0,26.0,40.0,31.84,52.0,61.0,44.0,79.0,71.0,87.2,107.4,134.7,122.8,122.8,122.8
Colombia,12300.0,12900.0,12960.0,15500.0,19300.0,25180.0,30580.0,38530.0,40240.0,40780.0,59960.0,59850.0,58700.0,58700.0,58700.0
Ghana,1940.0,2200.0,2642.0,3010.0,2911.0,3763.0,4162.0,5275.0,7326.0,7892.0,13580.0,13540.0,13370.0,13370.0,13370.0
Grenada,78.0,78.0,46.0,46.0,40.0,40.0,38.0,38.0,38.0,38.0,36.36,40.5,40.5,40.5,40.5
Bolivia,1200.0,1300.0,1495.0,1986.0,2371.0,3696.0,4490.0,6448.0,6058.0,6179.0,10970.0,11110.0,12160.0,12160.0,12160.0
Costa Rica,5000.0,5100.0,6176.0,6184.0,7005.0,8238.0,9268.0,9738.0,10010.0,9375.0,11470.0,11440.0,11660.0,11660.0,11660.0
Swaziland,702.0,820.0,905.6,900.1,1991.0,2088.0,1926.0,1756.0,1417.0,1764.0,1985.0,1681.0,1603.0,1603.0,1603.0
Sao Tome and Principe,4.1,5.5,6.479,6.7,8.0,3.0,9.0,8.0,13.0,13.5,11.9,12.2,12.1,12.1,12.1
Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,2100.0,1570.0,1261.0,1409.0,1644.0,1649.0,1520.0,1396.0,1869.0,2317.0,3314.0,3314.0,3144.0,3144.0,3144.0
Thailand,65300.0,67700.0,75990.0,87910.0,105800.0,128199.99999999999,151100.0,175300.0,191300.0,193500.0,218100.0,226100.0,225400.0,225400.0,225400.0
Venezuela,29500.0,28600.0,25860.0,35840.0,52730.0,65209.99999999999,69170.0,93540.0,64870.00000000001,65790.0,96900.0,97340.0,91780.0,91780.0,91780.0
Azerbaijan,2000.0,2000.0,2605.0,3168.0,6117.0,13010.0,21270.0,30590.0,28070.0,26480.0,30580.0,32630.000000000004,34460.0,34460.0,34460.0
Zambia,876.0,709.0,1039.0,1548.0,1947.0,3804.0,4594.0,4818.0,6463.0,7251.0,8346.0,9414.0,8547.0,8547.0,8547.0
Brunei,3000.0,3000.0,3439.0,7700.0,4514.0,6247.0,6767.0,8250.0,10670.0,10670.0,10670.0,12750.0,12750.0,12750.0,12750.0
Moldova,590.0,590.0,790.0,1030.0,1040.0,1054.0,1361.0,1641.0,1450.0,1590.0,2560.0,2228.0,2399.0,2399.0,2399.0
Sri Lanka,4900.0,4600.0,5269.0,5306.0,6442.0,7172.0,8135.0,8137.0,7908.0,8307.0,10510.0,9774.0,10390.0,10390.0,10390.0
Ukraine,17300.0,18100.0,23630.0,32910.0,38220.0,38950.0,49840.0,67720.0,49710.0,52190.0,71530.0,70240.0,71140.0,71140.0,71140.0
Algeria,19500.0,19500.0,24960.0,32159.999999999996,49590.0,53790.0,60510.0,78230.0,52660.0,57190.0,76840.0,71740.0,68250.0,68250.0,68250.0
"Korea, South",159200.0,162600.0,201300.0,250600.0,288200.0,331800.0,379000.0,433500.0,466300.0,464300.0,548200.0,552700.0,557300.0,557300.0,557300.0
Mongolia,466.1,501.0,524.0,853.0,852.0,1064.0,1889.0,2539.0,1902.0,2899.0,4780.0,4382.0,4294.0,4294.0,4294.0
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.1,159.9,159.9,159.9
Chad,172.0,197.0,365.0,365.0,3016.0,3749.0,4201.0,4342.0,3036.0,3160.0,4951.0,4126.0,3865.0,3865.0,3865.0
United Kingdom,286300.0,286300.0,304500.0,347200.0,372700.0,450300.0,442200.0,466300.0,405600.0,410200.0,481000.0,473000.0,813200.0,813200.0,813200.0
Canada,260500.0,260500.0,279300.0,315600.0,364800.0,401700.0,431100.0,459100.0,406800.0,393000.0,481700.0,462900.0,458700.0,458700.0,458700.0
Falkland Islands (Islas Malvinas),7.6,7.6,82.0,82.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
Namibia,1580.0,1210.0,1090.0,1356.0,2040.0,2655.0,2919.0,3167.0,4277.0,4115.0,4657.0,4883.0,5124.0,5124.0,5124.0
Seychelles,182.6,235.0,250.0,256.2,312.1,423.0,395.0,495.0,464.0,407.3,501.8,493.3,516.7,516.7,516.7
Mali,575.0,680.0,915.0,915.0,323.0,323.0,294.0,294.0,294.0,2071.0,2557.0,2756.0,2577.0,2577.0,2577.0
Jamaica,1600.0,1400.0,1355.0,1679.0,1608.0,2117.0,2331.0,2602.0,1487.0,1376.0,1718.0,1747.0,1775.0,1775.0,1775.0
Eritrea,34.8,20.0,56.0,64.44,33.58,16.0,12.0,13.0,25.0,29.0,304.5,454.9,496.2,496.2,496.2
Cameroon,2100.0,1900.0,1873.0,2445.0,3236.0,3490.0,3827.0,4707.0,4371.0,4494.0,6538.0,6015.0,6002.0,6002.0,6002.0
Latvia,2300.0,2300.0,3000.0,3569.0,4860.0,6051.0,8143.000000000001,9634.0,7894.0,8989.0,12490.0,12230.0,12670.0,12670.0,12670.0
Slovenia,10300.0,10300.0,11980.0,14970.0,18530.0,21390.0,27060.0,29610.0,24970.0,24390.0,28420.0,27810.0,28730.0,28730.0,28730.0
United Arab Emirates,47600.0,44900.0,56730.0,69480.0,103100.0,142500.0,178900.0,239200.0,195800.0,212300.0,300600.0,350100.0,368900.0,368900.0,368900.0
Samoa,17.0,15.5,14.0,14.0,94.0,94.0,131.0,131.0,131.0,35.07,27.38,11.4,11.4,11.4,11.4
Australia,66300.0,66300.0,68670.0,86890.0,103000.0,124800.0,142100.0,189900.0,210700.0,212900.0,263900.0,257899.99999999997,251700.0,251700.0,251700.0
Portugal,25900.0,25900.0,31130.0,37680.0,38800.0,43580.0,51500.0,56420.0,46270.0,48910.0,57800.0,58240.0,61000.0,61000.0,61000.0
Iceland,2000.0,2300.0,2379.0,2902.0,3215.0,3477.0,4793.0,5399.0,4619.0,4603.0,5100.0,5060.0,5200.0,5200.0,5200.0
Haiti,326.6,298.0,321.0,338.1,390.7,494.0,522.0,490.0,559.0,536.6,801.7,785.0,876.8,876.8,876.8
Sudan,2100.0,1800.0,2450.0,3395.0,6989.0,5657.0,8879.0,11670.0,9777.0,11400.0,4548.0,3368.0,4145.0,4145.0,4145.0
European Union,NA,NA,850300.0,1109000.0,1318000.0,1330000.0,1330000.0,1952000.0,1952000.0,1952000.0,2170000.0,2170000.0,2173000.0,2173000.0,2173000.0
Guinea,694.5,835.0,726.0,709.2,612.1,956.0,1128.0,1392.0,1468.0,1471.0,1785.0,1348.0,1310.0,1310.0,1310.0
Anguilla,2.6,2.6,2.6,2.6,14.56,14.56,13.0,13.0,119.5,11.5,12.65,7.3,12.2,12.2,12.2
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiribati,6.0,6.0,35.0,35.0,17.0,17.0,17.0,17.0,17.0,17.0,7.066,7.066,7.066,7.066,7.066
Madagascar,680.0,700.0,700.0,868.2,951.0,898.0,986.0,1254.0,1412.0,1173.0,1533.0,592.1,644.4,644.4,644.4
"Man, Isle of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,700.0,1000.0,1359.0,1783.0,1782.0,2792.0,4077.0,5023.0,5187.0,5466.0,5655.0,5615.0,5826.0,5826.0,5826.0
