Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,33550.0
Albania,25860.0
Algeria,274500.0
American Samoa,575.3
Andorra,3119.0
Angola,126200.0
Anguilla,175.4
Antigua and Barbuda,1535.0
Argentina,746900.0
Armenia,18950.0
Aruba,2258.0
Australia,960700.0
Austria,357800.0
Azerbaijan,98160.0
"Bahamas, The",11040.0
Bahrain,32439.999999999996
Bangladesh,305500.0
Barbados,7091.0
Belarus,150300.0
Belgium,420600.0
Belize,2896.0
Benin,15510.0
Bermuda,4500.0
Bhutan,4813.0
Bolivia,54360.0
Bosnia and Herzegovina,32080.0
Botswana,31490.0
Brazil,2362000.0
British Virgin Islands,853.4
Brunei,21940.0
Bulgaria,103700.0
Burkina Faso,24030.0
Burma,89230.0
Burundi,5489.0
Cambodia,36590.0
Cameroon,50320.0
Canada,1446000.0
Cape Verde,2188.0
Cayman Islands,2250.0
Central African Republic,3847.0
Chad,21340.0
Chile,319400.0
China,12380000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,500000.0
Comoros,872.0
"Congo, Democratic Republic of the",27530.0
"Congo, Republic of the",19270.0
Cook Islands,183.2
Costa Rica,58600.0
Cote d'Ivoire,39640.0
Croatia,79670.0
Cuba,114100.0
Curacao,2838.0
Cyprus,23570.0
Czech Republic,286700.0
Denmark,208500.0
Djibouti,2377.0
Dominica,1035.0
Dominican Republic,98740.0
Ecuador,134700.0
Egypt,537800.0
El Salvador,45980.0
Equatorial Guinea,28030.0
Eritrea,4412.0
Estonia,28440.0
Ethiopia,103100.0
European Union,15700000.0
Falkland Islands (Islas Malvinas),164.5
Faroe Islands,1471.0
Fiji,4307.0
Finland,198100.0
France,2253000.0
French Polynesia,4718.0
Gabon,26710.0
"Gambia, The",3495.0
Gaza Strip,NA
Georgia,26400.0
Germany,3194000.0
Ghana,83180.0
Gibraltar,1275.0
Greece,280800.0
Greenland,2133.0
Grenada,1471.0
Guam,2500.0
Guatemala,78420.0
Guernsey,2742.0
Guinea,12250.0
Guinea-Bissau,1902.0
Guyana,6164.0
Haiti,13130.0
Holy See (Vatican City),NA
Honduras,37670.0
Hong Kong,363700.0
Hungary,196800.0
Iceland,12950.0
India,4735000.0
Indonesia,1212000.0
Iran,997400.0
Iraq,155400.0
Ireland,191500.0
Isle of Man,2719.0
Israel,247900.0
Italy,1834000.0
Jamaica,25180.0
Japan,4617000.0
Jersey,5100.0
Jordan,38670.0
Kazakhstan,232300.0
Kenya,76070.0
Kiribati,624.0
"Korea, North",40000.0
"Korea, South",1622000.0
Kosovo,13560.0
Kuwait,165900.0
Kyrgyzstan,13470.0
Laos,19160.0
Latvia,37040.0
Lebanon,63690.0
Lesotho,3945.0
Liberia,2693.0
Libya,87910.0
Liechtenstein,3200.0
Lithuania,64319.99999999999
Luxembourg,42190.0
Macau,42900.0
Macedonia,22150.0
Madagascar,21370.0
Malawi,14580.0
Malaysia,492000.0
Maldives,2945.0
Mali,17350.0
Malta,11140.0
Marshall Islands,133.5
Mauritania,7615.0
Mauritius,20260.0
Mexico,1758000.0
"Micronesia, Federated States of",238.1
Moldova,12560.0
Monaco,5470.0
Mongolia,15220.0
Montenegro,7288.0
Montserrat,43.78
Morocco,171000.0
Mozambique,26220.0
Namibia,16840.0
Nauru,60.0
Nepal,40490.0
Netherlands,709500.0
New Caledonia,3158.0
New Zealand,128500.0
Nicaragua,19890.0
Niger,13530.0
Nigeria,450500.0
Niue,10.01
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,278100.0
Oman,90660.0
Pakistan,514600.0
Palau,164.0
Panama,55800.0
Papua New Guinea,18450.0
Paraguay,41100.0
Peru,325400.0
Philippines,416700.0
Pitcairn Islands,NA
Poland,802000.0
Portugal,245000.0
Puerto Rico,64840.0
Qatar,189000.0
Romania,274100.0
Russia,2509000.0
Rwanda,14910.0
"Saint Helena, Ascension, and Tristan da Cunha",18.0
Saint Kitts and Nevis,890.0
Saint Lucia,2234.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,1301.0
Samoa,1128.0
San Marino,1357.0
Sao Tome and Principe,403.0
Saudi Arabia,740500.0
Senegal,26500.0
Serbia,79650.0
Seychelles,2410.0
Sierra Leone,8376.0
Singapore,326700.0
Sint Maarten,794.7
Slovakia,132400.0
Slovenia,57930.0
Solomon Islands,1922.0
Somalia,5896.0
South Africa,578600.0
South Sudan,9664.0
Spain,1407000.0
Sri Lanka,126200.0
Sudan,80430.0
Suriname,6685.0
Svalbard,6313.0
Swaziland,6148.0
Sweden,395800.0
Switzerland,362400.0
Syria,107600.0
Taiwan,901900.0
Tajikistan,17610.0
Tanzania,73500.0
Thailand,646100.0
Timor-Leste,10630.0
Togo,6899.0
Tokelau,1.5
Tonga,786.0
Trinidad and Tobago,27120.0
Tunisia,104400.0
Turkey,1125000.0
Turkmenistan,47550.0
Turks and Caicos Islands,216.0
Tuvalu,37.0
Uganda,50590.0
Ukraine,344700.0
United Arab Emirates,271200.0
United Kingdom,2323000.0
United States,15670000.0
Uruguay,53550.0
Uzbekistan,103900.0
Vanuatu,1237.0
Venezuela,402100.0
Vietnam,320500.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,8020.0
Western Sahara,906.5
World,83230000.0
Yemen,57760.0
Zambia,23680.0
Zimbabwe,6909.0
