Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,21500.0
Albania,20460.0
Algeria,249800.0
American Samoa,510.1
Andorra,2770.0
Angola,54650.0
Anguilla,108.9
Antigua and Barbuda,1145.0
Argentina,608800.0
Armenia,16940.0
Aruba,2258.0
Australia,674600.0
Austria,284100.0
Azerbaijan,59710.0
"Bahamas, The",6556.0
Bahrain,17910.0
Bangladesh,336100.0
Barbados,5146.0
Belarus,83100.0
Belgium,342500.0
Belize,2307.0
Benin,8989.0
Bermuda,4500.0
Bhutan,3503.0
Bolivia,27870.0
Bosnia and Herzegovina,25320.0
Botswana,17930.0
Brazil,1655000.0
British Virgin Islands,853.4
Brunei,9557.0
Bulgaria,79050.0
Burkina Faso,18940.0
Burma,85200.0
Burundi,5854.0
Cambodia,38890.0
Cameroon,42640.0
Canada,1181000.0
Cape Verde,3129.0
Cayman Islands,1939.0
Central African Republic,4998.0
Chad,14980.0
Chile,202700.0
China,10210000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,374400.0
Comoros,1275.0
"Congo, Democratic Republic of the",44440.0
"Congo, Republic of the",5033.0
Cook Islands,183.2
Costa Rica,50890.0
Cote d'Ivoire,29050.0
Croatia,60380.0
Cuba,46220.0
Cyprus,18040.0
Czech Republic,225500.0
Denmark,202100.0
Djibouti,1878.0
Dominica,485.0
Dominican Republic,77090.0
Ecuador,61520.0
Egypt,334400.0
El Salvador,33660.0
Equatorial Guinea,25690.0
Eritrea,4751.0
Estonia,26850.0
Ethiopia,73790.0
European Union,13080000.0
Falkland Islands (Islas Malvinas),75.0
Faroe Islands,1000.0
Fiji,5594.0
Finland,175200.0
France,1902000.0
French Polynesia,4580.0
Gabon,10190.0
"Gambia, The",3324.0
Gaza Strip,5327.0
Georgia,18160.0
Germany,2632000.0
Ghana,60000.0
Gibraltar,769.0
Greece,256500.0
Greenland,1100.0
Grenada,982.0
Guam,2500.0
Guatemala,61380.0
Guernsey,2742.0
Guinea,19870.0
Guinea-Bissau,1249.0
Guyana,3757.0
Haiti,14760.0
Holy See (Vatican City),NA
Honduras,22540.0
Hong Kong,259100.00000000003
Hungary,175000.0
Iceland,11380.0
India,4163999.9999999995
Indonesia,948300.0
Iran,599200.0
Iraq,87900.0
Ireland,180900.0
Isle of Man,2719.0
Israel,170300.0
Italy,1756000.0
Jamaica,12840.0
Japan,4218000.0
Jersey,5100.0
Jordan,30030.0
Kazakhstan,143400.0
Kenya,41480.0
Kiribati,240.0
"Korea, North",40000.0
"Korea, South",1196000.0
Kuwait,55960.0
Kyrgyzstan,10730.0
Laos,13740.0
Latvia,36490.0
Lebanon,22860.0
Lesotho,5492.0
Liberia,2821.0
Libya,72340.0
Liechtenstein,1786.0
Lithuania,54900.0
Luxembourg,33870.0
Macau,10000.0
Macedonia,16960.0
Madagascar,17270.0
Malawi,8272.0
Malaysia,313200.0
Maldives,2839.0
Mali,14770.0
Malta,8518.0
Marshall Islands,115.0
Mauritania,8124.000000000001
Mauritius,17020.0
Mayotte,953.6
Mexico,1149000.0
"Micronesia, Federated States of",277.0
Moldova,9066.0
Monaco,976.3
Mongolia,5852.0
Montenegro,3443.0
Montserrat,29.0
Morocco,152500.0
Mozambique,29170.0
Namibia,15270.0
Nauru,60.0
Nepal,41180.0
Netherlands,529600.0
Netherlands Antilles,2800.0
New Caledonia,3158.0
New Zealand,106900.0
Nicaragua,17090.0
Niger,12360.0
Nigeria,191400.0
Niue,7.6
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,213600.0
Oman,44530.0
Pakistan,437500.0
Palau,124.5
Panama,26160.0
Papua New Guinea,15410.0
Paraguay,31260.0
Peru,186600.0
Philippines,449800.0
Pitcairn Islands,NA
Poland,554500.0
Portugal,210100.0
Puerto Rico,75820.0
Qatar,26370.0
Romania,202200.0
Russia,1746000.0
Rwanda,13700.0
Saint Helena,18.0
Saint Kitts and Nevis,726.0
Saint Lucia,1179.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,864.0
Samoa,1218.0
San Marino,850.0
Sao Tome and Principe,278.0
Saudi Arabia,371500.0
Senegal,21540.0
Serbia,44830.0
Seychelles,626.0
Sierra Leone,5452.0
Singapore,141200.0
Slovakia,99190.0
Slovenia,47010.0
Solomon Islands,800.0
Somalia,5259.0
South Africa,587500.0
Spain,1109000.0
Sri Lanka,95460.0
Sudan,97190.0
Suriname,3136.0
Svalbard,NA
Swaziland,6018.0
Sweden,290100.0
Switzerland,255500.0
Syria,78040.0
Taiwan,681800.0
Tajikistan,9521.0
Tanzania,29640.0
Thailand,596500.0
Timor-Leste,370.0
Togo,9290.0
Tokelau,1.5
Tonga,178.5
Trinidad and Tobago,21060.0
Tunisia,91040.0
Turkey,640400.0
Turkmenistan,42840.0
Turks and Caicos Islands,216.0
Tuvalu,14.94
Uganda,52930.0
Ukraine,364300.0
United Arab Emirates,129500.0
United Kingdom,1928000.0
United States,13060000.0
Uruguay,37540.0
Uzbekistan,55750.0
Vanuatu,739.0
Venezuela,186300.0
Vietnam,262500.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,5327.0
Western Sahara,NA
World,65959999.99999999
Yemen,20460.0
Zambia,11640.0
Zimbabwe,25580.0
