Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,45300.0
Albania,28340.0
Algeria,284700.0
American Samoa,575.3
Andorra,3163.0
Angola,131800.0
Anguilla,175.4
Antigua and Barbuda,1610.0
Argentina,771000.0
Armenia,20610.0
Aruba,2516.0
Australia,998300.0
Austria,361000.0
Azerbaijan,102700.0
"Bahamas, The",11400.0
Bahrain,34960.0
Bangladesh,324600.0
Barbados,7004.0
Belarus,150400.0
Belgium,421700.0
Belize,3083.0
Benin,16650.0
Bermuda,5600.0
Bhutan,5235.0
Bolivia,59110.0
Bosnia and Herzegovina,32159.999999999996
Botswana,34000.0
Brazil,2416000.0
British Virgin Islands,500.0
Brunei,22250.0
Bulgaria,104600.0
Burkina Faso,26510.0
Burma,111100.0
Burundi,5750.0
Cabo Verde,2222.0
Cambodia,39640.0
Cameroon,53160.0
Canada,1518000.0
Cayman Islands,2250.0
Central African Republic,3336.0
Chad,28000.0
Chile,335400.0
China,13390000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,526500.0
Comoros,911.0
"Congo, Democratic Republic of the",29390.0
"Congo, Republic of the",20260.0
Cook Islands,183.2
Costa Rica,61430.0
Cote d'Ivoire,43670.0
Croatia,78900.0
Cuba,121000.0
Curacao,3128.0
Cyprus,21620.0
Czech Republic,285600.0
Denmark,211300.0
Djibouti,2505.0
Dominica,1014.9999999999999
Dominican Republic,101000.0
Ecuador,157600.0
Egypt,551400.0
El Salvador,47470.0
Equatorial Guinea,19680.0
Eritrea,4717.0
Estonia,29940.0
Ethiopia,118200.0
European Union,15850000.0
Falkland Islands (Islas Malvinas),164.5
Faroe Islands,1471.0
Fiji,4450.0
Finland,195500.0
France,2276000.0
French Polynesia,5650.0
Gabon,30060.0
"Gambia, The",3678.0
Gaza Strip,NA
Georgia,27300.0
Germany,3227000.0
Ghana,90410.0
Gibraltar,1275.0
Greece,267100.0
Greenland,2133.0
Grenada,1458.0
Guam,4600.0
Guatemala,81510.0
Guernsey,2742.0
Guinea,12560.0
Guinea-Bissau,2005.0
Guyana,6593.0
Haiti,13420.0
Holy See (Vatican City),NA
Honduras,39230.0
Hong Kong,381300.0
Hungary,196600.0
Iceland,13110.0
India,4990000.0
Indonesia,1285000.0
Iran,987100.0
Iraq,249400.0
Ireland,190400.0
Isle of Man,4075.9999999999995
Israel,273200.0
Italy,1805000.0
Jamaica,25130.0
Japan,4729000.0
Jersey,5100.0
Jordan,40020.0
Kazakhstan,243600.0
Kenya,79900.0
Kiribati,698.0
"Korea, North",40000.0
"Korea, South",1666000.0
Kosovo,14110.0
Kuwait,165800.0
Kyrgyzstan,14300.0
Laos,20780.0
Latvia,38870.0
Lebanon,64310.0
Lesotho,4265.0
Liberia,2898.0
Libya,73600.0
Liechtenstein,3200.0
Lithuania,67430.0
Luxembourg,42670.0
Macau,51680.0
Macedonia,22570.0
Madagascar,22030.0
Malawi,15020.0
Malaysia,525000.0
Maldives,3073.0
Mali,18900.0
Malta,11220.0
Marshall Islands,486.0
Mauritania,8204.0
Mauritius,20950.0
Mexico,1845000.0
"Micronesia, Federated States of",754.0
Moldova,13250.0
Monaco,6213.0
Mongolia,17030.0
Montenegro,7429.0
Montserrat,43.78
Morocco,180000.0
Mozambique,28150.0
Namibia,17790.0
Nauru,60.0
Nepal,42060.0
Netherlands,699700.0
New Caledonia,9280.0
New Zealand,136000.0
Nicaragua,27970.0
Niger,13980.0
Nigeria,478500.0
Niue,10.01
Norfolk Island,NA
Northern Mariana Islands,733.0
Norway,282200.0
Oman,94860.0
Pakistan,574100.0
Palau,245.5
Panama,61540.0
Papua New Guinea,19960.0
Paraguay,45900.0
Peru,344000.0
Philippines,454300.0
Pitcairn Islands,NA
Poland,814000.0
Portugal,243300.0
Puerto Rico,64840.0
Qatar,198700.0
Romania,288500.0
Russia,2553000.0
Rwanda,16370.000000000002
"Saint Helena, Ascension, and Tristan da Cunha",31.1
Saint Kitts and Nevis,952.0
Saint Lucia,2216.0
Saint Martin,561.5
Saint Pierre and Miquelon,215.3
Saint Vincent and the Grenadines,1335.0
Samoa,1145.0
San Marino,1306.0
Sao Tome and Principe,421.0
Saudi Arabia,927800.0
Senegal,27720.0
Serbia,80470.0
Seychelles,2404.0
Sierra Leone,9156.0
Singapore,339000.0
Sint Maarten,798.3
Slovakia,133400.0
Slovenia,57360.0
Solomon Islands,1958.0
Somalia,5896.0
South Africa,595700.0
South Sudan,14710.0
Spain,1389000.0
Sri Lanka,134500.0
Sudan,89970.0
Suriname,7120.0
Svalbard,6313.0
Swaziland,6259.0
Sweden,393800.0
Switzerland,371200.0
Syria,107600.0
Taiwan,926400.0
Tajikistan,19200.0
Tanzania,79290.0
Thailand,673000.0
Timor-Leste,25410.0
Togo,7348.0
Tokelau,1.5
Tonga,846.0
Trinidad and Tobago,27140.0
Tunisia,108400.0
Turkey,1167000.0
Turkmenistan,55160.0
Turks and Caicos Islands,632.0
Tuvalu,40.0
Uganda,54370.0
Ukraine,337400.0
United Arab Emirates,269800.0
United Kingdom,2387000.0
United States,16719999.999999998
Uruguay,56270.0
Uzbekistan,112600.0
Vanuatu,1270.0
Venezuela,407400.0
Vietnam,358900.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,8022.0
Western Sahara,906.5
World,87250000.0
Yemen,61630.0
Zambia,25470.0
Zimbabwe,7496.0
