Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,27360.0
Albania,23860.0
Algeria,251100.0
American Samoa,575.3
Andorra,3300.0
Angola,107300.0
Anguilla,175.4
Antigua and Barbuda,1425.0
Argentina,596000.0
Armenia,16860.0
Aruba,2258.0
Australia,882400.0
Austria,332000.0
Azerbaijan,90790.0
"Bahamas, The",8921.0
Bahrain,29710.0
Bangladesh,258600.00000000003
Barbados,6227.0
Belarus,131200.0
Belgium,394300.0
Belize,2651.0
Benin,13990.0
Bermuda,4500.0
Bhutan,3875.0
Bolivia,47880.0
Bosnia and Herzegovina,30330.0
Botswana,28490.0
Brazil,2172000.0
British Virgin Islands,853.4
Brunei,20380.0
Bulgaria,96780.0
Burkina Faso,19990.0
Burma,76470.0
Burundi,3397.0
Cambodia,30180.0
Cameroon,44330.0
Canada,1330000.0
Cape Verde,1908.0
Cayman Islands,2250.0
Central African Republic,3446.0
Chad,17360.0
Chile,257899.99999999997
China,10090000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,435400.0
Comoros,800.0
"Congo, Democratic Republic of the",23120.0
"Congo, Republic of the",17110.0
Cook Islands,183.2
Costa Rica,51170.0
Cote d'Ivoire,37020.0
Croatia,78090.0
Cuba,114100.0
Curacao,2838.0
Cyprus,23190.0
Czech Republic,261300.0
Denmark,201700.0
Djibouti,2105.0
Dominica,758.0
Dominican Republic,87250.0
Ecuador,115000.0
Egypt,497800.0
El Salvador,43570.0
Equatorial Guinea,23820.0
Eritrea,3625.0
Estonia,24690.0
Ethiopia,86120.0
European Union,14820000.0
Falkland Islands (Islas Malvinas),105.1
Faroe Islands,1590.0
Fiji,3869.0
Finland,186000.0
France,2145000.0
French Polynesia,4718.0
Gabon,22480.0
"Gambia, The",3494.0
Gaza Strip,NA
Georgia,22440.0
Germany,2940000.0
Ghana,61970.0
Gibraltar,1275.0
Greece,318100.0
Greenland,1989.0
Grenada,1098.0
Guam,2500.0
Guatemala,70150.0
Guernsey,2742.0
Guinea,10810.0
Guinea-Bissau,1784.0
Guyana,5379.0
Haiti,11480.0
Holy See (Vatican City),NA
Honduras,33630.0
Hong Kong,325800.0
Hungary,187600.0
Iceland,11820.0
India,4059999.9999999995
Indonesia,1030000.0
Iran,818700.0
Iraq,113400.0
Ireland,172300.0
Isle of Man,2719.0
Israel,219400.0
Italy,1774000.0
Jamaica,23720.0
Japan,4310000.0
Jersey,5100.0
Jordan,34530.0
Kazakhstan,196400.0
Kenya,66030.0
Kiribati,618.0
"Korea, North",40000.0
"Korea, South",1459000.0
Kosovo,11970.0
Kuwait,136500.0
Kyrgyzstan,12020.0
Laos,15690.0
Latvia,32509.999999999996
Lebanon,59370.0
Lesotho,3303.0
Liberia,1691.0
Libya,90570.0
Liechtenstein,5028.0
Lithuania,56590.0
Luxembourg,41090.0
Macau,18470.0
Macedonia,20000.0
Madagascar,19410.0
Malawi,12980.0
Malaysia,414400.0
Maldives,2734.0
Mali,16770.0
Malta,10410.0
Marshall Islands,133.5
Mauritania,6655.0
Mauritius,18060.0
Mexico,1567000.0
"Micronesia, Federated States of",238.1
Moldova,10990.0
Monaco,976.3
Mongolia,11020.0
Montenegro,6724.0
Montserrat,29.0
Morocco,151400.0
Mozambique,21810.0
Namibia,14600.0
Nauru,60.0
Nepal,35810.0
Netherlands,676900.0
New Caledonia,3158.0
New Zealand,117800.0
Nicaragua,17710.0
Niger,11050.0
Nigeria,377900.0
Niue,10.01
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,255300.0
Oman,75840.0
Pakistan,464900.0
Palau,164.0
Panama,44360.0
Papua New Guinea,14950.0
Paraguay,33310.0
Peru,275700.0
Philippines,351400.0
Pitcairn Islands,NA
Poland,721300.0
Portugal,247000.0
Puerto Rico,64840.0
Qatar,150600.0
Romania,254200.0
Russia,2223000.0
Rwanda,12160.0
"Saint Helena, Ascension, and Tristan da Cunha",18.0
Saint Kitts and Nevis,684.0
Saint Lucia,1798.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,1069.0
Samoa,1055.0
San Marino,1137.0
Sao Tome and Principe,311.0
Saudi Arabia,622000.0
Senegal,23880.0
Serbia,80100.0
Seychelles,2053.0
Sierra Leone,4720.0
Singapore,291900.0
Sint Maarten,794.7
Slovakia,120200.0
Slovenia,56580.0
Solomon Islands,1627.0
Somalia,5896.0
South Africa,524000.0
Spain,1369000.0
Sri Lanka,106500.0
Sudan,100000.0
Suriname,4711.0
Svalbard,NA
Swaziland,6067.0
Sweden,354700.0
Switzerland,324500.0
Syria,107400.0
Taiwan,821800.0
Tajikistan,14740.0
Tanzania,58440.0
Thailand,586900.0
Timor-Leste,3051.0
Togo,5974.0
Tokelau,1.5
Tonga,751.0
Trinidad and Tobago,26100.0
Tunisia,100000.0
Turkey,960500.0
Turkmenistan,36900.0
Turks and Caicos Islands,216.0
Tuvalu,36.0
Uganda,42150.0
Ukraine,305200.0
United Arab Emirates,246800.0
United Kingdom,2173000.0
United States,14660000.0
Uruguay,47990.0
Uzbekistan,85850.0
Vanuatu,1137.0
Venezuela,345200.0
Vietnam,276600.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,12790.0
Western Sahara,900.0
World,74540000.0
Yemen,63400.0
Zambia,20040.0
Zimbabwe,5457.0
