Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,22320.0
Albania,21860.0
Algeria,233500.0
American Samoa,575.3
Andorra,3660.0
Angola,112800.0
Anguilla,108.9
Antigua and Barbuda,1639.0
Argentina,575200.0
Armenia,18810.0
Aruba,2258.0
Australia,802900.0
Austria,331200.0
Azerbaijan,77790.0
"Bahamas, The",9352.0
Bahrain,26890.0
Bangladesh,226400.0
Barbados,5367.0
Belarus,114300.0
Belgium,390200.0
Belize,2542.0
Benin,12860.0
Bermuda,4500.0
Bhutan,3533.0
Bolivia,43380.0
Bosnia and Herzegovina,29770.0
Botswana,27110.0
Brazil,1998000.0
British Virgin Islands,853.4
Brunei,19580.0
Bulgaria,93980.0
Burkina Faso,17960.0
Burma,55270.0
Burundi,3109.0
Cambodia,28010.0
Cameroon,42690.0
Canada,1303000.0
Cape Verde,1630.0
Cayman Islands,1939.0
Central African Republic,3184.0
Chad,15820.0
Chile,245100.0
China,7992000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,396000.0
Comoros,741.7
"Congo, Democratic Republic of the",20760.0
"Congo, Republic of the",15390.0
Cook Islands,183.2
Costa Rica,48840.0
Cote d'Ivoire,34120.0
Croatia,82580.0
Cuba,108400.0
Cyprus,22760.0
Czech Republic,264800.0
Denmark,204100.0
Djibouti,1891.0
Dominica,726.3
Dominican Republic,78190.0
Ecuador,108000.0
Egypt,444800.0
El Salvador,43730.0
Equatorial Guinea,23000.0
Eritrea,3954.0
Estonia,28030.0
Ethiopia,70230.0
European Union,14940000.0
Falkland Islands (Islas Malvinas),105.1
Faroe Islands,1000.0
Fiji,3587.0
Finland,194000.0
France,2133000.0
French Polynesia,4718.0
Gabon,21160.0
"Gambia, The",2277.0
Gaza Strip,11950.0
Georgia,21560.0
Germany,2925000.0
Ghana,34520.0
Gibraltar,1066.0
Greece,343800.0
Greenland,1100.0
Grenada,1190.0
Guam,2500.0
Guatemala,68750.0
Guernsey,2742.0
Guinea,10620.0
Guinea-Bissau,896.5
Guyana,2973.0
Haiti,11530.0
Holy See (Vatican City),NA
Honduras,33800.0
Hong Kong,307300.0
Hungary,196700.0
Iceland,12870.0
India,3304000.0
Indonesia,916700.0
Iran,843700.0
Iraq,90230.0
Ireland,189000.0
Isle of Man,2719.0
Israel,203400.0
Italy,1827000.0
Jamaica,24040.0
Japan,4340000.0
Jersey,5100.0
Jordan,31680.0
Kazakhstan,176200.0
Kenya,61650.0
Kiribati,580.8
"Korea, North",40000.0
"Korea, South",1338000.0
Kosovo,5000.0
Kuwait,149500.0
Kyrgyzstan,11640.0
Laos,14010.0
Latvia,38950.0
Lebanon,44160.0
Lesotho,3301.0
Liberia,1531.0
Libya,87720.0
Liechtenstein,4160.0
Lithuania,63370.0
Luxembourg,39470.0
Macau,18140.0
Macedonia,18830.0
Madagascar,20180.0
Malawi,11950.0
Malaysia,385200.0
Maldives,1723.0
Mali,14750.0
Malta,9933.0
Marshall Islands,133.5
Mauritania,6323.0
Mauritius,15430.0
Mayotte,953.6
Mexico,1567000.0
"Micronesia, Federated States of",238.1
Moldova,10800.0
Monaco,976.3
Mongolia,9499.0
Montenegro,6832.0
Montserrat,29.0
Morocco,137900.0
Mozambique,19110.0
Namibia,13280.0
Nauru,60.0
Nepal,31390.0
Netherlands,673500.0
Netherlands Antilles,2800.0
New Caledonia,3158.0
New Zealand,116600.0
Nicaragua,16830.0
Niger,10290.0
Nigeria,336200.0
Niue,10.01
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,276300.0
Oman,66870.0
Pakistan,431200.0
Palau,164.0
Panama,38920.0
Papua New Guinea,13170.0
Paraguay,28950.0
Peru,247900.0
Philippines,318200.0
Pitcairn Islands,NA
Poland,670700.0
Portugal,237300.0
Puerto Rico,70230.0
Qatar,91550.0
Romania,272000.0
Russia,2271000.0
Rwanda,9729.0
Saint Helena,18.0
Saint Kitts and Nevis,759.5
Saint Lucia,1774.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,1072.0
Samoa,1020.9999999999999
San Marino,1662.0
Sao Tome and Principe,277.1
Saudi Arabia,577900.0
Senegal,21780.0
Serbia,79770.0
Seychelles,1821.0
Sierra Leone,4388.0
Singapore,237900.0
Slovakia,119800.0
Slovenia,59490.0
Solomon Islands,1546.0
Somalia,5524.0
South Africa,492200.0
Spain,1402000.0
Sri Lanka,92090.0
Sudan,88370.0
Suriname,4226.0
Svalbard,NA
Swaziland,5826.0
Sweden,345100.0
Switzerland,318100.0
Syria,99060.0
Taiwan,713700.0
Tajikistan,13190.0
Tanzania,54380.0
Thailand,548700.0
Timor-Leste,2526.0
Togo,5130.0
Tokelau,1.5
Tonga,548.1
Trinidad and Tobago,29090.0
Tunisia,81980.0
Turkey,903900.0
Turkmenistan,31280.0
Turks and Caicos Islands,216.0
Tuvalu,14.94
Uganda,40080.0
Ukraine,338600.0
United Arab Emirates,206300.0
United Kingdom,2236000.0
United States,14440000.0
Uruguay,43270.0
Uzbekistan,71840.0
Vanuatu,990.8
Venezuela,356300.0
Vietnam,242300.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,11950.0
Western Sahara,900.0
World,70140000.0
Yemen,55410.0
Zambia,17540.0
Zimbabwe,1925.0
