Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,21000.0
Albania,14000.0
Algeria,177000.0
American Samoa,500.0
Andorra,1300.0
Angola,13300.0
Anguilla,104.0
Antigua and Barbuda,674.0
Argentina,391000.0
Armenia,11200.0
Aruba,1940.0
Australia,528000.0
Austria,226000.0
Azerbaijan,27000.0
"Bahamas, The",5000.0
Bahrain,8400.0
Bangladesh,230000.0
Barbados,4000.0
Belarus,84800.0
Belgium,297600.0
Belize,830.0
Benin,6800.0
Bermuda,2200.0
Bhutan,2500.0
Bolivia,21400.0
Bosnia and Herzegovina,7000.0
Botswana,12400.0
Brazil,1340000.0
British Virgin Islands,311.0
Brunei,6200.0
Bulgaria,50600.0
Burkina Faso,12800.0
Burma,63000.0
Burundi,3700.0
Cambodia,18700.0
Cameroon,26400.0
Canada,923000.0
Cape Verde,600.0
Cayman Islands,1180.0
Central African Republic,4600.0
Chad,8900.0
Chile,153000.0
China,6000000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,255000.0
Comoros,424.0
"Congo, Democratic Republic of the",32000.0
"Congo, Republic of the",2500.0
Cook Islands,105.0
Costa Rica,31900.0
Cote d'Ivoire,25500.0
Croatia,38900.0
Cuba,25900.0
Cyprus,9100.0
Czech Republic,155900.0
Denmark,155500.0
Djibouti,586.0
Dominica,262.0
Dominican Republic,50000.0
East Timor,415.0
Ecuador,39600.0
Egypt,258000.0
El Salvador,28400.0
Equatorial Guinea,1040.0
Eritrea,3200.0
Estonia,15200.0
Ethiopia,46000.0
Falkland Islands (Islas Malvinas),52.0
Faroe Islands,910.0
Fiji,4400.0
Finland,136200.0
France,1540000.0
French Guiana,1000.0
French Polynesia,1300.0
Gabon,6700.0
"Gambia, The",2500.0
Gaza Strip,750.0
Georgia,15000.0
Germany,2184000.0
Ghana,39400.0
Gibraltar,500.0
Greece,201100.0
Greenland,1100.0
Grenada,424.0
Guadeloupe,3700.0
Guam,3200.0
Guatemala,48300.0
Guernsey,1300.0
Guinea,15000.0
Guinea-Bissau,1200.0
Guyana,2500.0
Haiti,12000.0
Honduras,17000.0
Hong Kong,180000.0
Hungary,134700.0
Iceland,7700.0
India,2660000.0
Indonesia,687000.0
Iran,456000.0
Iraq,59000.0
Ireland,111300.0
Israel,122000.0
Italy,1438000.0
Jamaica,9800.0
Japan,3550000.0
Jersey,2200.0
Jordan,22800.0
Kazakhstan,98100.0
Kenya,31000.0
Kiribati,79.0
"Korea, North",22000.0
"Korea, South",931000.0
Kuwait,30900.0
Kyrgyzstan,13500.0
Laos,9200.0
Latvia,20000.0
Lebanon,18800.0
Lesotho,5300.0
Liberia,3600.0
Libya,40000.0
Liechtenstein,730.0
Lithuania,29200.0
Luxembourg,20000.0
Macau,8000.0
"Macedonia, The Former Yugoslav Republic of",10000.0
Madagascar,14000.0
Malawi,7000.0
Malaysia,200000.0
Maldives,1200.0
Mali,9200.0
Malta,7000.0
"Man, Isle of",1400.0
Marshall Islands,115.0
Martinique,4390.0
Mauritania,5000.0
Mauritius,12900.0
Mayotte,85.0
Mexico,920000.0
"Micronesia, Federated States of",269.0
Moldova,11000.0
Monaco,870.0
Mongolia,4700.0
Montserrat,31.0
Morocco,112000.0
Mozambique,17500.0
Namibia,8100.0
Nauru,60.0
Nepal,35600.0
Netherlands,434000.0
Netherlands Antilles,2400.0
New Caledonia,3100.0
New Zealand,75400.0
Nicaragua,12300.0
Niger,8400.0
Nigeria,105900.0
Niue,7.6
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,143000.0
Oman,21500.0
Pakistan,299000.0
Palau,174.0
Panama,16900.0
Papua New Guinea,12200.0
Paraguay,26200.0
Peru,132000.0
Philippines,335000.0
Pitcairn Islands,NA
Poland,368100.0
Portugal,182000.0
Puerto Rico,43900.0
Qatar,16300.0
Reunion,3400.0
Romania,152700.0
Russia,1270000.0
Rwanda,7200.0
Saint Helena,18.0
Saint Kitts and Nevis,339.0
Saint Lucia,700.0
Saint Pierre and Miquelon,74.0
Saint Vincent and the Grenadines,339.0
Samoa,618.0
San Marino,940.0
Sao Tome and Principe,189.0
Saudi Arabia,241000.0
Senegal,16200.0
Serbia and Montenegro,25300.0
Seychelles,605.0
Sierra Leone,2700.0
Singapore,106300.0
Slovakia,66000.0
Slovenia,36000.0
Solomon Islands,800.0
Somalia,4100.0
South Africa,412000.0
Spain,828000.0
Sri Lanka,62700.0
Sudan,49300.0
Suriname,1500.0
Svalbard,NA
Swaziland,4600.0
Sweden,227400.0
Switzerland,231000.0
Syria,54200.0
Taiwan,386000.0
Tajikistan,7500.0
Tanzania,22100.0
Thailand,410000.0
Togo,7600.0
Tokelau,1.5
Tonga,225.0
Trinidad and Tobago,10600.0
Tunisia,64500.0
Turkey,468000.0
Turkmenistan,21500.0
Turks and Caicos Islands,128.0
Tuvalu,12.2
Uganda,29000.0
Ukraine,205000.0
United Arab Emirates,51000.0
United Kingdom,1520000.0
United States,10082000.0
Uruguay,31000.0
Uzbekistan,62000.0
Vanuatu,257.0
Venezuela,146200.0
Vietnam,168100.0
Virgin Islands,1800.0
Wallis and Futuna,30.0
West Bank,2100.0
Western Sahara,NA
World,47000000.0
Yemen,14800.0
Zambia,8500.0
Zimbabwe,28000.0
