Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,20000.0
Albania,16129.999999999998
Algeria,196000.0
American Samoa,500.0
Andorra,1300.0
Angola,20420.0
Anguilla,104.0
Antigua and Barbuda,750.0
Argentina,435500.0
Armenia,11790.0
Aruba,1940.0
Australia,571400.0
Austria,245300.0
Azerbaijan,26650.0
"Bahamas, The",5049.0
Bahrain,11290.0
Bangladesh,258800.0
Barbados,4355.0
Belarus,62560.0
Belgium,299100.0
Belize,1280.0
Benin,7742.0
Bermuda,2330.0
Bhutan,2700.0
Bolivia,21010.0
Bosnia and Herzegovina,24310.0
Botswana,14200.0
Brazil,1375000.0
British Virgin Islands,320.0
Brunei,6500.0
Bulgaria,57130.0
Burkina Faso,14550.0
Burma,74530.0
Burundi,3780.0
Cambodia,25020.0
Cameroon,27750.0
Canada,958700.0
Cape Verde,600.0
Cayman Islands,1270.0
Central African Republic,4183.0
Chad,10670.0
Chile,154700.0
China,6449000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,263200.0
Comoros,441.0
"Congo, Democratic Republic of the",40050.0
"Congo, Republic of the",2148.0
Cook Islands,105.0
Costa Rica,35340.0
Cote d'Ivoire,24510.0
Croatia,47050.0
Cuba,32130.000000000004
Cyprus,14820.0
Czech Republic,161100.0
Denmark,167200.0
Djibouti,619.0
Dominica,380.0
Dominican Republic,52710.0
East Timor,440.0
Ecuador,45650.0
Egypt,295200.0
El Salvador,30990.0
Equatorial Guinea,1270.0
Eritrea,3300.0
Estonia,17350.0
Ethiopia,46810.0
European Union,11050000.0
Falkland Islands (Islas Malvinas),75.0
Faroe Islands,1000.0
Fiji,5012.0
Finland,142200.0
France,1661000.0
French Guiana,1551.0
French Polynesia,4580.0
Gabon,7301.0
"Gambia, The",2560.0
Gaza Strip,768.0
Georgia,12180.0
Germany,2271000.0
Ghana,44440.0
Gibraltar,500.0
Greece,213600.0
Greenland,1100.0
Grenada,440.0
Guadeloupe,3513.0
Guam,3200.0
Guatemala,56500.0
Guernsey,1300.0
Guinea,19020.0
Guinea-Bissau,1063.0
Guyana,2797.0
Haiti,12300.0
Honduras,17550.0
Hong Kong,213000.0
Hungary,139800.0
Iceland,8678.0
India,3033000.0
Indonesia,758800.0
Iran,478200.0
Iraq,37920.0
Ireland,116200.0
Israel,120900.0
Italy,1550000.0
Jamaica,10610.0
Japan,3582000.0
Jersey,2200.0
Jordan,23640.0
Kazakhstan,105500.0
Kenya,33030.0
Kiribati,79.0
"Korea, North",29580.0
"Korea, South",857800.0
Kuwait,41460.0
Kyrgyzstan,7808.0
Laos,10320.0
Latvia,23900.0
Lebanon,17820.0
Lesotho,5583.0
Liberia,3261.0
Libya,35000.0
Liechtenstein,825.0
Lithuania,40880.0
Luxembourg,25010.0
Macau,9100.0
Macedonia,13810.0
Madagascar,13020.0
Malawi,6845.0
Malaysia,207800.0
Maldives,1250.0
Mali,10530.0
Malta,7082.0
"Man, Isle of",1600.0
Marshall Islands,115.0
Martinique,6117.0
Mauritania,5195.0
Mauritius,13850.0
Mayotte,466.8
Mexico,941200.0
"Micronesia, Federated States of",277.0
Moldova,7792.0
Monaco,870.0
Mongolia,4882.0
Montserrat,29.0
Morocco,128300.00000000001
Mozambique,21230.0
Namibia,13850.0
Nauru,60.0
Nepal,38290.0
Netherlands,461400.0
Netherlands Antilles,2450.0
New Caledonia,3158.0
New Zealand,85340.0
Nicaragua,11600.0
Niger,9062.0
Nigeria,114800.0
Niue,7.6
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,171700.0
Oman,36700.0
Pakistan,318000.0
Palau,174.0
Panama,18780.0
Papua New Guinea,11480.0
Paraguay,28170.0
Peru,146000.0
Philippines,390700.0
Pitcairn Islands,NA
Poland,427100.0
Portugal,181800.0
Puerto Rico,65209.99999999999
Qatar,17540.0
Reunion,4348.0
Romania,155000.0
Russia,1282000.0
Rwanda,10110.0
Saint Helena,18.0
Saint Kitts and Nevis,339.0
Saint Lucia,866.0
Saint Pierre and Miquelon,48.33
Saint Vincent and the Grenadines,342.0
Samoa,1000.0
San Marino,940.0
Sao Tome and Principe,214.0
Saudi Arabia,287800.0
Senegal,17090.0
Serbia and Montenegro,23890.0
Seychelles,626.0
Sierra Leone,3057.0
Singapore,109400.0
Slovakia,72290.0
Slovenia,36820.0
Solomon Islands,800.0
Somalia,4361.0
South Africa,456700.0
Spain,885500.0
Sri Lanka,73700.0
Sudan,70950.0
Suriname,1752.0
Svalbard,NA
Swaziland,5702.0
Sweden,238300.0
Switzerland,239300.0
Syria,58010.0
Taiwan,528600.0
Tajikistan,6812.0
Tanzania,21580.0
Thailand,477500.0
Togo,8257.0
Tokelau,1.5
Tonga,236.0
Trinidad and Tobago,10520.0
Tunisia,68230.0
Turkey,458200.0
Turkmenistan,27880.0
Turks and Caicos Islands,231.0
Tuvalu,12.2
Uganda,36100.0
Ukraine,260399.99999999997
United Arab Emirates,57700.0
United Kingdom,1666000.0
United States,10990000.0
Uruguay,43670.0
Uzbekistan,43990.0
Vanuatu,563.0
Venezuela,117900.0
Vietnam,203700.0
Virgin Islands,2500.0
Wallis and Futuna,57.59
West Bank,1700.0
Western Sahara,NA
World,51480000.0
Yemen,15090.0
Zambia,8596.0
Zimbabwe,24030.0
