Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,29810.0
Albania,23950.0
Algeria,254700.0
American Samoa,575.3
Andorra,4220.0
Angola,114100.0
Anguilla,175.4
Antigua and Barbuda,1433.0
Argentina,596000.0
Armenia,17270.0
Aruba,2258.0
Australia,889600.0
Austria,332900.0
Azerbaijan,90150.0
"Bahamas, The",8878.0
Bahrain,29820.0
Bangladesh,259300.0
Barbados,6196.0
Belarus,128400.0
Belgium,394900.0
Belize,2652.0
Benin,14200.0
Bermuda,4500.0
Bhutan,3526.0
Bolivia,47980.0
Bosnia and Herzegovina,30560.0
Botswana,26560.0
Brazil,2194000.0
British Virgin Islands,853.4
Brunei,19880.0
Bulgaria,91830.0
Burkina Faso,20060.0
Burma,60070.0
Burundi,3418.0
Cambodia,29460.0
Cameroon,44650.0
Canada,1335000.0
Cape Verde,1861.0
Cayman Islands,2250.0
Central African Republic,3468.0
Chad,18560.0
Chile,260000.0
China,9872000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,431900.0
Comoros,789.4
"Congo, Democratic Republic of the",22920.0
"Congo, Republic of the",17450.0
Cook Islands,183.2
Costa Rica,51300.0
Cote d'Ivoire,37800.0
Croatia,78520.0
Cuba,114100.0
Curacao,2838.0
Cyprus,23180.0
Czech Republic,261500.0
Denmark,204100.0
Djibouti,2099.0
Dominica,765.4
Dominican Republic,84940.0
Ecuador,114700.0
Egypt,500900.0
El Salvador,43980.0
Equatorial Guinea,24660.0
Eritrea,4178.0
Estonia,24530.0
Ethiopia,84020.0
European Union,14890000.0
Falkland Islands (Islas Malvinas),105.1
Faroe Islands,1642.0
Fiji,3792.0
Finland,185400.0
France,2160000.0
French Polynesia,4718.0
Gabon,22540.0
"Gambia, The",3406.0
Gaza Strip,NA
Georgia,22320.0
Germany,2951000.0
Ghana,38240.0
Gibraltar,1106.0
Greece,321700.0
Greenland,2029.9999999999998
Grenada,1127.0
Guam,2500.0
Guatemala,70310.0
Guernsey,2742.0
Guinea,10600.0
Guinea-Bissau,1769.0
Guyana,5069.0
Haiti,11180.0
Holy See (Vatican City),NA
Honduras,33770.0
Hong Kong,323300.0
Hungary,190000.0
Iceland,11860.0
India,4046000.0000000005
Indonesia,1032999.9999999999
Iran,863500.0
Iraq,117700.0
Ireland,174000.0
Isle of Man,2719.0
Israel,217100.0
Italy,1782000.0
Jamaica,23930.0
Japan,4338000.0
Jersey,5100.0
Jordan,33790.0
Kazakhstan,193800.0
Kenya,65950.0
Kiribati,619.5
"Korea, North",40000.0
"Korea, South",1467000.0
Kosovo,5300.0
Kuwait,144300.0
Kyrgyzstan,11850.0
Laos,15420.0
Latvia,32200.000000000004
Lebanon,58650.0
Lesotho,3310.0
Liberia,1760.0
Libya,89030.0
Liechtenstein,4160.0
Lithuania,56220.0
Luxembourg,40810.0
Macau,18470.0
Macedonia,19460.0
Madagascar,20730.0
Malawi,13510.0
Malaysia,416400.0
Maldives,1767.0
Mali,16740.0
Malta,10210.0
Marshall Islands,133.5
Mauritania,6800.0
Mauritius,17490.0
Mayotte,953.6
Mexico,1560000.0
"Micronesia, Federated States of",238.1
Moldova,10600.0
Monaco,976.3
Mongolia,10160.0
Montenegro,6569.0
Montserrat,29.0
Morocco,153800.0
Mozambique,22190.0
Namibia,14640.0
Nauru,60.0
Nepal,35310.0
Netherlands,680400.0
New Caledonia,3158.0
New Zealand,119200.0
Nicaragua,17340.0
Niger,10580.0
Nigeria,369800.0
Niue,10.01
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,276400.0
Oman,76530.0
Pakistan,451200.0
Palau,164.0
Panama,43480.0
Papua New Guinea,14930.0
Paraguay,30940.0
Peru,274700.0
Philippines,351200.0
Pitcairn Islands,NA
Poland,721700.0
Portugal,247000.0
Puerto Rico,64840.0
Qatar,122200.0
Romania,253300.0
Russia,2229000.0
Rwanda,11840.0
"Saint Helena, Ascension, and Tristan da Cunha",18.0
Saint Kitts and Nevis,719.5
Saint Lucia,1789.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,1107.0
Samoa,1002.0
San Marino,1662.0
Sao Tome and Principe,316.9
Saudi Arabia,622500.0
Senegal,23860.0
Serbia,80650.0
Seychelles,1908.0
Sierra Leone,4812.0
Singapore,292200.0
Sint Maarten,794.7
Slovakia,121300.0
Slovenia,56810.0
Solomon Islands,1559.0
Somalia,5896.0
South Africa,527500.0
Spain,1374000.0
Sri Lanka,104700.0
Sudan,98790.0
Suriname,4794.0
Svalbard,NA
Swaziland,6055.0
Sweden,354000.0
Switzerland,326900.0
Syria,106400.0
Taiwan,807200.0
Tajikistan,14610.0
Tanzania,62220.0
Thailand,580300.0
Timor-Leste,3004.0
Togo,5927.0
Tokelau,1.5
Tonga,767.0
Trinidad and Tobago,27100.0
Tunisia,100300.0
Turkey,958300.0
Turkmenistan,36640.0
Turks and Caicos Islands,216.0
Tuvalu,14.94
Uganda,41700.0
Ukraine,306300.0
United Arab Emirates,199800.0
United Kingdom,2189000.0
United States,14720000.0
Uruguay,47800.0
Uzbekistan,86070.0
Vanuatu,1216.0
Venezuela,344200.0
Vietnam,278100.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,12790.0
Western Sahara,900.0
World,74430000.0
Yemen,61880.0
Zambia,20030.0
Zimbabwe,4395.0
