Country,"GDP( migrant(s)/1,000 population)"
Afghanistan,21500.0
Albania,18870.0
Algeria,235500.0
American Samoa,510.1
Andorra,1840.0
Angola,45320.0
Anguilla,108.9
Antigua and Barbuda,750.0
Argentina,543400.0
Armenia,14450.0
Aruba,2258.0
Australia,635500.0
Austria,265800.0
Azerbaijan,42990.0
"Bahamas, The",6105.0
Bahrain,15900.0
Bangladesh,305900.0
Barbados,4815.0
Belarus,73090.0
Belgium,322300.0
Belize,1778.0
Benin,8419.0
Bermuda,4500.0
Bhutan,2900.0
Bolivia,25820.0
Bosnia and Herzegovina,23090.0
Botswana,17530.0
Brazil,1536000.0
British Virgin Islands,853.4
Brunei,6842.0
Bulgaria,71670.0
Burkina Faso,16660.0
Burma,80110.0
Burundi,5404.0
Cambodia,34080.0
Cameroon,39750.0
Canada,1111000.0
Cape Verde,2990.0
Cayman Islands,1939.0
Central African Republic,4677.0
Chad,13980.0
Chile,189900.0
China,8883000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,341100.0
Comoros,441.0
"Congo, Democratic Republic of the",40670.0
"Congo, Republic of the",4585.0
Cook Islands,183.2
Costa Rica,45670.0
Cote d'Ivoire,27580.0
Croatia,55790.0
Cuba,40060.0
Cyprus,16810.0
Czech Republic,204400.0
Denmark,189300.0
Djibouti,619.0
Dominica,384.0
Dominican Republic,67440.0
East Timor,370.0
Ecuador,57230.0
Egypt,304300.0
El Salvador,31300.0
Equatorial Guinea,25690.0
Eritrea,4471.0
Estonia,23340.0
Ethiopia,64730.00000000001
European Union,12180000.0
Falkland Islands (Islas Malvinas),75.0
Faroe Islands,1000.0
Fiji,5255.0
Finland,161900.0
France,1794000.0
French Guiana,1551.0
French Polynesia,4580.0
Gabon,9739.0
"Gambia, The",3034.0
Gaza Strip,768.0
Georgia,16030.000000000002
Germany,2480000.0
Ghana,54860.0
Gibraltar,769.0
Greece,238200.0
Greenland,1100.0
Grenada,440.0
Guadeloupe,3513.0
Guam,2500.0
Guatemala,56860.0
Guernsey,2590.0
Guinea,18650.0
Guinea-Bissau,1171.0
Guyana,3439.0
Haiti,13970.0
Holy See (Vatican City),NA
Honduras,20610.0
Hong Kong,234300.0
Hungary,163100.0
Iceland,10590.0
India,3666000.0
Indonesia,869700.0
Iran,569900.0
Iraq,94100.0
Ireland,165100.0
Isle of Man,2113.0
Israel,156900.0
Italy,1667000.0
Jamaica,12180.0
Japan,4025000.0000000005
Jersey,3600.0
Jordan,26850.0
Kazakhstan,125300.0
Kenya,37890.0
Kiribati,142.9
"Korea, North",40000.0
"Korea, South",1101000.0
Kuwait,47360.0
Kyrgyzstan,10080.0
Laos,12290.0
Latvia,31460.0
Lebanon,22780.0
Lesotho,5008.0
Liberia,2643.0
Libya,68000.0
Liechtenstein,1786.0
Lithuania,49410.0
Luxembourg,30900.0
Macau,10000.0
Macedonia,15940.0
Madagascar,16050.0
Malawi,7364.0
Malaysia,287000.0
Maldives,1250.0
Mali,13610.0
Malta,7861.0
Marshall Islands,115.0
Martinique,6117.0
Mauritania,6901.0
Mauritius,15730.0
Mayotte,466.8
Mexico,1064000.0
"Micronesia, Federated States of",277.0
Moldova,8410.0
Monaco,870.0
Mongolia,5272.0
Montenegro,2412.0
Montserrat,29.0
Morocco,135100.0
Mozambique,26180.0
Namibia,14160.0
Nauru,60.0
Nepal,39140.0
Netherlands,497900.0
Netherlands Antilles,2800.0
New Caledonia,3158.0
New Zealand,102000.0
Nicaragua,16100.000000000002
Niger,11590.0
Nigeria,175500.0
Niue,7.6
Norfolk Island,NA
Northern Mariana Islands,900.0
Norway,196400.0
Oman,40390.0
Pakistan,395200.0
Palau,124.5
Panama,23330.0
Papua New Guinea,14370.0
Paraguay,29110.0
Peru,167300.0
Philippines,412500.0
Pitcairn Islands,NA
Poland,505200.0
Portugal,200600.0
Puerto Rico,73270.0
Qatar,24460.0
Reunion,4790.0
Romania,181800.0
Russia,1584000.0
Rwanda,12540.0
Saint Helena,18.0
Saint Kitts and Nevis,339.0
Saint Lucia,866.0
Saint Pierre and Miquelon,48.3
Saint Vincent and the Grenadines,342.0
Samoa,1000.0
San Marino,940.0
Sao Tome and Principe,214.0
Saudi Arabia,346300.0
Senegal,20570.0
Serbia,41150.0
Seychelles,626.0
Sierra Leone,4939.0
Singapore,126500.0
Slovakia,88780.0
Slovenia,43270.0
Solomon Islands,800.0
Somalia,4809.0
South Africa,540800.0
Spain,1032999.9999999999
Sri Lanka,86070.0
Sudan,85890.0
Suriname,2893.0
Svalbard,NA
Swaziland,5680.0
Sweden,268300.0
Switzerland,240900.0
Syria,71420.0
Taiwan,630000.0
Tajikistan,8617.0
Tanzania,27110.0
Thailand,550200.0
Togo,8802.0
Tokelau,1.5
Tonga,178.5
Trinidad and Tobago,18110.0
Tunisia,82850.0
Turkey,584500.0
Turkmenistan,39140.0
Turks and Caicos Islands,216.0
Tuvalu,14.94
Uganda,47760.0
Ukraine,329100.0
United Arab Emirates,115800.0
United Kingdom,1818000.0
United States,12310000.0
Uruguay,33980.0
Uzbekistan,50310.0
Vanuatu,276.3
Venezuela,162100.0
Vietnam,235200.0
Virgin Islands,1577.0
Wallis and Futuna,60.0
West Bank,1800.0
Western Sahara,NA
World,60630000.0
Yemen,19360.0
Zambia,10630.0
Zimbabwe,25690.0
