Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kuwait,76.46,76.65,76.84,77.03,77.2,77.36,77.53,77.71,77.89,77.09,77.28,77.46,77.64,77.64,77.64
Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.61,77.61,77.61,77.61
Australia,80.0,80.13,80.26,80.39,80.5,80.62,81.53,81.63,81.72,81.81,81.9,81.98,82.07,82.07,82.07
Equatorial Guinea,54.35,54.75,55.15,49.7,49.54,49.51,61.23,61.61,61.98,62.37,62.75,63.12,63.49,63.49,63.49
Uganda,43.81,44.88,45.28,51.59,52.67,51.75,52.34,52.72,52.98,53.24,53.45,53.98,54.46,54.46,54.46
French Guiana,76.49,76.69,76.89,77.09,77.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, South",74.88,75.36,75.58,76.85,77.04,77.23,78.64,78.72,78.81,79.05,79.3,79.55,79.8,79.8,79.8
Cape Verde,69.52,69.83,70.14,70.45,70.73,71.02,71.33,71.61,70.41,70.7,71.0,NA,NA,NA,NA
Saint Vincent and the Grenadines,72.82,73.08,73.35,73.62,73.85,74.09,74.34,73.65,73.9,74.15,74.39,74.62,74.86,74.86,74.86
Denmark,76.91,77.1,77.44,77.62,77.79,77.96,78.13,78.3,78.47,78.63,78.78,78.94,79.09,79.09,79.09
Bhutan,53.19,53.58,53.99,54.39,54.78,55.17,65.53,66.13,66.71,67.3,67.88,68.44,68.98,68.98,68.98
"Saint Helena, Ascension, and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,78.6,78.76,78.91,79.06,79.21,79.21,79.21
Italy,79.25,79.4,79.54,79.68,79.81,79.94,80.07,80.2,80.33,81.77,81.86,81.95,82.03,82.03,82.03
World,63.94,63.95,64.05,64.33,64.77,65.82,66.26,66.57,66.12,67.07,67.59,68.09,68.35,68.35,68.35
Dominica,73.86,74.12,74.38,74.65,74.87,75.1,75.33,75.55,75.77,75.98,76.18,76.39,76.59,76.59,76.59
Egypt,64.05,70.41,70.71,71.0,71.29,71.57,71.85,72.12,72.4,72.66,72.93,73.19,73.45,73.45,73.45
Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,70.02,70.31,71.38,71.77,72.04,72.3,72.56,72.82,73.08,73.33,73.58,73.82,74.07,74.07,74.07
Pitcairn Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Sahara,NA,NA,NA,NA,NA,NA,53.92,54.32,60.74,61.13,61.52,61.9,62.27,62.27,62.27
Greece,78.74,78.89,78.94,79.09,79.24,79.38,79.52,79.66,79.8,79.92,80.05,80.18,80.3,80.3,80.3
Mexico,72.03,72.3,74.94,75.19,75.41,75.63,75.84,76.06,76.26,76.47,76.66,76.86,75.43,75.43,75.43
Isle of Man,NA,NA,NA,NA,78.49,78.64,78.8,78.82,80.53,80.64,80.76,80.87,80.98,80.98,80.98
Iceland,79.66,79.8,80.18,80.19,80.31,80.43,80.55,80.67,80.79,80.9,81.0,81.11,81.22,81.22,81.22
Anguilla,76.5,76.7,76.9,77.11,77.28,77.46,80.53,80.65,80.77,80.87,80.98,81.09,81.2,81.2,81.2
Honduras,68.77,66.65,66.15,69.3,69.33,69.35,69.37,69.4,70.51,70.61,70.71,70.81,70.91,70.91,70.91
Albania,72.1,72.37,77.06,77.24,77.43,77.6,77.78,77.96,77.22,77.41,77.59,77.77,77.96,77.96,77.96
El Salvador,70.32,70.62,70.92,71.22,71.49,71.78,72.06,72.33,73.18,73.44,73.69,73.93,74.18,74.18,74.18
Saint Helena,77.2,77.38,77.57,77.76,77.93,78.09,78.27,78.44,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,61.1,61.19,61.29,61.39,61.83,68.3,68.6,67.87,68.2,68.52,68.84,69.16,69.47,69.47,69.47
Gabon,49.11,57.12,56.46,55.02,54.49,53.99,53.52,53.11,52.75,52.49,52.29,52.15,52.06,52.06,52.06
South Africa,45.43,46.56,44.19,43.27,42.73,42.45,48.89,48.98,49.2,49.33,49.41,49.48,49.56,49.56,49.56
Mongolia,64.62,63.81,64.17,64.52,64.89,66.99,67.32,67.65,67.98,68.31,68.63,68.95,68.98,68.98,68.98
Cook Islands,NA,NA,NA,NA,NA,NA,NA,74.22,74.47,74.7,74.92,75.15,75.38,75.38,75.38
Lithuania,69.42,69.6,73.46,73.97,74.2,74.44,74.67,74.9,75.12,75.34,75.55,75.77,75.98,75.98,75.98
Sudan,57.33,57.73,58.13,58.54,58.92,49.11,50.28,51.42,54.21,55.42,62.57,62.95,63.32,63.32,63.32
Ukraine,66.33,66.5,66.68,69.68,69.98,67.88,68.06,68.25,68.46,68.58,68.74,68.93,69.14,69.14,69.14
Bermuda,77.3,77.41,77.6,77.79,77.96,78.13,78.3,80.43,80.6,80.71,80.82,80.93,81.04,81.04,81.04
Iran,70.25,69.35,69.66,69.96,70.26,70.56,70.86,71.14,69.77,70.06,70.35,70.62,70.89,70.89,70.89
Maldives,62.93,63.3,63.68,64.06,64.41,64.76,73.72,73.97,74.21,74.45,74.69,74.92,75.15,75.15,75.15
China,71.86,72.22,71.96,72.27,72.58,72.88,73.18,73.47,74.51,74.68,74.84,74.99,75.15,75.15,75.15
Palau,69.19,69.5,69.82,70.14,70.42,70.71,71.0,71.22,71.51,71.78,72.06,72.33,72.6,72.6,72.6
Russia,67.5,67.66,66.39,67.1,67.08,65.87,65.94,66.03,66.16,66.29,66.46,69.85,70.16,70.16,70.16
Uruguay,75.66,75.87,75.92,76.13,76.33,75.93,76.14,76.35,76.55,76.21,76.41,76.61,76.81,76.81,76.81
Panama,75.89,72.32,72.14,75.25,75.22,75.19,76.88,77.25,77.61,77.79,77.96,78.13,78.3,78.3,78.3
Indonesia,68.63,68.94,69.26,69.57,69.87,70.16,70.46,70.76,71.05,71.33,71.62,71.9,72.17,72.17,72.17
British Virgin Islands,75.85,76.06,76.27,76.49,76.68,76.86,77.07,77.26,77.45,77.63,77.95,78.12,78.29,78.29,78.29
Brazil,63.55,71.13,71.41,71.69,71.97,72.24,71.71,71.99,72.26,72.53,72.79,73.02,73.28,73.28,73.28
Czech Republic,74.95,75.18,75.78,76.02,76.22,76.42,76.62,76.81,77.01,77.19,77.38,77.56,78.31,78.31,78.31
Finland,77.75,77.92,78.24,78.35,78.5,78.66,78.82,78.97,79.13,79.27,79.41,79.55,79.69,79.69,79.69
Malawi,36.59,37.98,37.48,41.43,41.7,42.98,43.45,43.82,50.92,51.7,52.31,52.78,59.99,59.99,59.99
Montserrat,78.2,78.36,78.53,78.71,78.85,79.0,72.6,72.76,72.91,73.16,73.41,73.65,73.9,73.9,73.9
Papua New Guinea,63.83,64.19,64.56,64.93,65.28,65.62,66.0,66.34,65.99,66.24,66.46,66.66,66.85,66.85,66.85
San Marino,81.33,81.43,81.53,81.62,81.71,81.8,81.88,81.97,82.95,83.01,83.07,83.12,83.18,83.18,83.18
Sao Tome and Principe,65.93,66.28,66.63,66.99,67.31,67.64,68.0,68.32,62.73,63.11,63.49,63.86,64.22,64.22,64.22
Syria,69.08,69.39,69.71,70.03,70.32,70.61,70.9,71.19,74.46,74.69,74.92,75.14,68.41,68.41,68.41
Cuba,76.6,76.8,77.04,77.23,77.41,77.08,77.27,77.45,77.64,77.7,77.87,78.05,78.22,78.22,78.22
Georgia,64.67,64.76,75.62,75.88,76.09,76.3,76.51,76.72,76.93,77.12,77.32,77.51,75.72,75.72,75.72
Barbados,73.49,71.84,71.64,72.59,72.79,73.0,73.21,73.94,74.14,74.34,74.52,74.75,74.99,74.99,74.99
Belize,71.46,67.36,67.43,68.44,68.3,68.25,68.19,68.2,68.23,68.23,68.28,68.4,68.49,68.49,68.49
Vanuatu,61.33,61.71,62.1,62.49,62.85,63.22,63.61,63.98,64.33,64.7,65.06,72.38,72.72,72.72,72.72
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,80.91,80.93,81.04,81.15,81.25,82.02,82.07,82.12,82.17,82.25,83.91,84.19,84.46,84.46,84.46
Liechtenstein,79.1,79.25,79.4,79.55,79.68,79.81,79.95,80.06,80.19,80.31,81.5,81.59,81.68,81.68,81.68
Nauru,61.57,61.95,62.33,62.73,63.08,63.44,63.81,64.2,64.99,65.35,65.7,66.05,66.4,66.4,66.4
Sierra Leone,45.96,42.84,42.69,39.87,40.22,40.58,40.93,41.24,55.69,56.13,56.55,56.98,57.39,57.39,57.39
Uzbekistan,63.9,64.0,64.09,64.19,64.58,64.98,71.69,71.96,72.24,72.51,72.77,73.03,73.29,73.29,73.29
Cameroon,54.36,48.05,47.95,50.89,51.16,52.86,53.3,53.69,54.04,54.39,54.71,55.02,57.35,57.35,57.35
American Samoa,75.53,75.75,75.62,75.84,76.05,76.25,73.47,73.72,73.97,74.21,74.44,74.68,74.91,74.91,74.91
Poland,73.66,73.91,74.16,74.74,74.97,75.19,75.41,75.63,75.85,76.05,76.25,76.45,76.65,76.65,76.65
Nicaragua,69.37,69.68,70.02,70.33,70.63,70.92,71.21,71.5,71.78,71.9,72.18,72.45,72.72,72.72,72.72
Samoa,69.8,70.11,70.41,70.72,71.0,71.3,71.58,71.86,72.13,72.4,72.66,72.94,73.21,73.21,73.21
Jamaica,75.64,75.85,76.07,73.33,73.24,73.12,73.59,73.53,73.48,73.45,73.43,73.44,73.48,73.48,73.48
"Congo, Republic of the",47.71,50.02,49.51,52.26,52.8,53.29,53.74,54.15,54.54,54.91,55.27,55.6,58.52,58.52,58.52
France,79.05,79.28,79.44,79.6,79.73,80.59,80.87,80.98,81.09,81.19,81.46,81.56,81.66,81.66,81.66
Lesotho,47.0,36.94,36.81,34.47,34.4,39.97,40.17,40.38,50.67,51.63,51.86,52.3,52.65,52.65,52.65
Madagascar,55.74,56.14,56.54,56.95,57.34,62.14,62.52,62.89,63.26,63.63,64.0,64.85,65.2,65.2,65.2
Aruba,78.67,78.83,78.98,79.14,79.28,74.83,75.06,75.28,75.51,75.72,75.93,76.14,76.35,76.35,76.35
Kyrgyzstan,63.56,63.66,67.84,68.16,68.49,68.81,69.12,69.43,69.74,70.04,69.45,69.75,70.06,70.06,70.06
United States,77.4,77.14,77.43,77.71,77.85,78.0,78.14,78.11,78.24,78.37,78.49,78.62,79.56,79.56,79.56
Angola,38.87,36.96,36.79,38.43,38.62,37.63,37.92,38.2,38.48,38.76,54.59,54.95,55.29,55.29,55.29
Central African Republic,43.58,41.71,41.36,43.39,43.54,43.74,44.22,44.47,49.68,50.07,50.48,50.9,51.35,51.35,51.35
Guatemala,66.85,65.23,65.19,69.06,69.38,69.69,69.99,70.29,70.59,70.88,71.17,71.46,71.74,71.74,71.74
Laos,53.88,54.3,54.69,55.08,55.49,55.89,56.29,56.68,62.0,62.39,62.77,63.14,63.51,63.51,63.51
