Country,Country_code,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hungary,HUN,TRY,14.041859,13.984717,14.211662,15.416001,16.748745,17.083904,17.699047,18.048761,19.197906,19.86219,20.121918,21.124001,22.046715,22.505821,23.356073,24.242552,23.713329
Hungary,HUN,UPPSRY,55.17625,56.029442,57.210911,58.6562,58.601334,59.306282,60.374454,61.157066,60.505455,60.712025,61.170437,60.643833,60.073402,59.988312,59.738323,58.9744,59.648968
Iceland,ISL,BUPPSRY,0,0,0,34.262501,33.643612,31.825998,31.31949,30.819305,30.940493,30.005922,29.282291,29.195244,29.207808,27.830322,26.74341,25.303907,22.001961
Iceland,ISL,TRY,0,0,0,27.861868,27.94356,29.471401,30.411818,30.804794,31.591888,32.907246,32.632442,33.774651,35.01783,36.08242,37.088051,38.841152,40.475002
Iceland,ISL,UPPSRY,0,0,0,37.875629,38.412827,38.702599,38.268692,38.3759,37.467621,37.08683,38.085266,37.030106,35.774364,36.087257,36.168541,35.854942,37.523037
Ireland,IRL,BUPPSRY,42.706924,44.735104,40.004444,38.298161,37.160995,35.466724,33.656101,32.273792,30.546635,28.832077,27.225185,26.365326,25.367115,23.273964,21.187292,20.182577,0
Ireland,IRL,TRY,21.613003,23.577002,24.814322,26.308289,27.820133,29.074234,31.095585,32.39011,33.902611,35.822323,37.584061,38.162312,39.69788,41.47068,40.967049,42.806118,0
Ireland,IRL,UPPSRY,35.680077,31.687897,35.181232,35.393551,35.018871,35.459042,35.248314,35.336098,35.550751,35.3456,35.190754,35.472363,34.935005,35.255356,37.845661,37.011307,0
Italy,ITA,BUPPSRY,57.886444,56.725201,55.637676,51.586433,51.4006,49.913864,48.710896,47.700294,46.687767,45.698818,44.825645,43.971539,42.763065,41.84333,40.693222,40.108776,39.856853
Italy,ITA,TRY,9.3770475,10.04891,10.367989,10.460108,11.59316,12.224514,12.872448,13.578119,14.357011,14.510798,14.802574,14.935372,15.708264,16.289694,16.910578,17.546457,17.723593
Italy,ITA,UPPSRY,32.736511,33.225887,33.994335,37.953461,37.006237,37.861622,38.416656,38.721588,38.955219,39.790382,40.37178,41.093086,41.528671,41.866974,42.396198,42.344765,42.419556
Japan,JPN,TRY,33.615494,34.13689,36.575481,37.422066,38.693394,39.939026,40.464294,41.024883,42.842262,43.764038,44.809975,46.364063,46.619377,47.311993,48.185074,49.541573,50.496956
Korea (Republic of),KOR,BUPPSRY,31.690405,30.354988,29.187298,26.810965,25.555859,24.467546,23.338377,22.128119,20.856735,20.068058,19.552372,18.610392,17.580446,16.297365,15.021633,14.196984,13.121904
Korea (Republic of),KOR,TRY,23.920727,24.976711,26.02903,29.45536,30.475597,31.605495,32.930244,34.611725,36.556026,38.66198,39.719578,40.408531,41.730968,43.112762,44.569664,45.490902,46.858822
Korea (Republic of),KOR,UPPSRY,44.388866,44.668301,44.783672,43.733677,43.968544,43.926956,43.731377,43.260159,42.587238,41.269958,40.72805,40.981075,40.688583,40.589874,40.408703,40.312115,40.019276
Luxembourg,LUX,BUPPSRY,39.080746,0,0,0,0,34.146366,34.479065,34.264404,32.058296,22.655592,22.322315,22.742352,21.69751,19.512997,18.023409,25.391632,21.180861
Luxembourg,LUX,TRY,18.284153,0,0,0,0,26.549366,23.993208,26.512686,27.653927,34.795971,35.475895,37.034779,39.110382,40.673241,45.935593,39.794865,42.856003
Luxembourg,LUX,UPPSRY,42.635101,0,0,0,0,39.304268,41.527729,39.222908,40.287777,42.548435,42.20179,40.22287,39.192108,39.813763,36.041,34.813503,35.963139
Mexico,MEX,BUPPSRY,70.91008,70.337532,70.016335,70.124634,68.566475,71.844093,70.973122,70.421989,70.091904,68.709137,67.913872,66.860298,66.014343,65.209229,64.907104,64.336807,63.365211
Mexico,MEX,TRY,14.635047,15.109115,15.364734,15.5543,16.568291,12.723972,13.26213,13.55181,13.672557,14.308427,14.654601,15.012249,15.709545,16.20183,15.996383,16.278801,16.818605
Mexico,MEX,UPPSRY,14.454871,14.553352,14.618934,14.321067,14.865237,15.431935,15.764752,16.026201,16.235542,16.982433,17.431528,18.127449,18.276108,18.58894,19.09651,19.38439,19.816181
Netherlands,NLD,BUPPSRY,35.143627,34.89233,32.165543,30.776005,29.093763,28.181055,27.63452,26.816864,26.708052,26.604006,27.026423,27.715986,26.576496,24.204819,24.098568,23.600424,22.9333
Netherlands,NLD,TRY,23.375116,23.205473,25.02088,27.545015,29.537558,30.11544,30.189871,30.803967,32.167362,32.785397,32.389164,32.041344,34.398335,33.869305,34.419815,35.330765,35.999168
