Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Saint Vincent and the Grenadines,22%,22%,22%,15%,15%,15%,15%,15%,15%,15%,15%,15%,18.8%,18.8%,18.8%
Jersey,0.7%,0.7%,0.7%,0.9%,0.9%,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,1.7%,1.7%,1.7%,1.7%
Sweden,4%,4%,4.9%,5.6%,5.8%,5.6%,6.1%,6.2%,8.3%,8.4%,7.5%,8%,8.1%,8.1%,8.1%
El Salvador,10%,NA,NA,NA,6.5%,6%,6.2%,6.9%,7%,7.2%,6.9%,6.1%,6.3%,6.3%,6.3%
Thailand,3.9%,2.9%,2.2%,1.5%,1.8%,2.1%,1.4%,1.4%,1.2%,1%,0.9%,0.7%,0.7%,0.7%,0.7%
British Virgin Islands,3%,3%,3%,3%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,3.6%,8.7%,8.7%,8.7%,8.7%
France,9.1%,9.1%,9.7%,10.1%,9.9%,8.7%,7.9%,7.4%,9.5%,9.3%,9.8%,9.8%,10.2%,10.2%,10.2%
Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,1.3%,1.5%,1.5%,1.5%,2.8%,2.5%,2.3%,2.3%,2.3%
Austria,4.8%,4.8%,4.4%,4.4%,5.2%,4.9%,4.4%,3.9%,4.6%,6.9%,4.4%,2.9%,4.9%,4.9%,4.9%
Bahrain,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,8.6%,8.8%,9.8%,10.8%,9.6%,9.4%,8.8%,7.2%,7.5%,7.8%,8%,8.1%,8.3%,8.3%,8.3%
Maldives,NA,NA,NA,NA,NA,NA,NA,14.4%,14.4%,14.5%,28%,28%,28%,28%,28%
Norway,3.9%,3.9%,4.7%,4.3%,4.6%,3.5%,2.5%,2.6%,3.7%,3.6%,3.1%,3.2%,3.6%,3.6%,3.6%
Central African Republic,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
Jamaica,16%,15.4%,15.9%,15%,11.5%,11.3%,9.9%,11%,12.9%,12.4%,14.2%,13.7%,16.3%,16.3%,16.3%
Georgia,17%,17%,17%,17%,12.6%,12.6%,13.6%,13.6%,16.4%,16.4%,16.3%,15%,15%,15%,15%
Oman,NA,NA,NA,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
Ukraine,3.6%,3.8%,3.7%,3.5%,3.1%,2.7%,2.3%,3%,8.4%,8.1%,8.5%,7.5%,8%,8%,8%
Ghana,20%,20%,20%,20%,20%,20%,11%,11%,11%,11%,11%,11%,11%,11%,11%
Guam,15%,15%,15%,15%,11.4%,11.4%,11.4%,11.4%,11.4%,11.4%,11.4%,8.2%,8.2%,8.2%,8.2%
Spain,11.3%,11.3%,11.3%,10.4%,9.2%,8.1%,8.3%,11.3%,20%,20.1%,24.9%,25.1%,26.3%,26.3%,26.3%
Venezuela,14.1%,17%,18%,17.1%,12.2%,8.9%,8.5%,7.4%,12.1%,8.5%,8%,7.8%,7.9%,7.9%,7.9%
Ireland,4.7%,4.3%,4.7%,4.3%,4.3%,4.3%,4.6%,6.3%,13.7%,13.6%,14.6%,14.7%,13.5%,13.5%,13.5%
Mexico,NA,NA,3.3%,3.2%,3.6%,3.2%,3.7%,4%,5.6%,5.4%,4.5%,5%,4.9%,4.9%,4.9%
Kyrgyzstan,7.2%,7.2%,7.2%,18%,18%,18%,18%,18%,18%,18%,8.6%,8.6%,8.6%,8.6%,8.6%
Kiribati,NA,NA,NA,NA,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape Verde,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,NA,NA,NA,NA
Libya,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
Botswana,40%,40%,40%,23.8%,23.8%,23.8%,7.5%,7.5%,7.5%,7.5%,7.5%,17.8%,17.8%,17.8%,17.8%
Saudi Arabia,NA,25%,25%,25%,13%,13%,13%,11.8%,10.8%,10.8%,10.7%,10.6%,10.5%,10.5%,10.5%
Cocos (Keeling) Islands,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
"Korea, North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands Antilles,15%,15%,15.6%,15.6%,17%,17%,17%,15.5%,NA,NA,NA,NA,NA,NA,NA
Iran,14%,16.3%,15.7%,11.2%,11.2%,15%,12%,12.5%,14.6%,13.2%,15.5%,15.5%,16%,16%,16%
Monaco,3.1%,3.1%,3.1%,22%,22%,0%,0%,0%,0%,0%,0%,0%,2%,2%,2%
Saint Helena,14%,14%,14%,14%,14%,14%,14%,14%,NA,NA,NA,NA,NA,NA,NA
Reunion,42.8%,36%,36%,36%,31%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
