Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,6.3%,7.8%,7.7%,8.3%,6.6%,6.5%,5.6%,13.6%,15%,15.4%,5.6%,6%,6.6%,6.6%,6.6%
Palau,2.3%,2.3%,2.3%,2.3%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%
Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,2.8%,2.8%,2.5%,2.5%,2.5%,2.5%,2.5%,3.5%,3.5%,3.5%,3.5%,0%,0%,0%,0%
Cook Islands,13%,13%,13%,13%,13.1%,13.1%,13.1%,13.1%,13.1%,13.1%,13.1%,13.1%,13.1%,13.1%,13.1%
Colombia,17%,17.4%,14.2%,13.6%,11.8%,11.1%,11.2%,11.3%,11.2%,11.8%,10.3%,10.4%,9.7%,9.7%,9.7%
Sudan,18.7%,18.7%,18.7%,18.7%,18.7%,18.7%,18.7%,18.7%,18.7%,18.7%,20%,20%,20%,20%,20%
Argentina,25%,21.5%,17.3%,14.8%,11.6%,8.7%,8.5%,7.9%,7.9%,7.8%,7.2%,7.2%,7.5%,7.5%,7.5%
"Congo, Republic of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53%,53%,53%,53%
Greece,10.3%,10.3%,9.4%,10%,9.9%,9.2%,8.3%,7.7%,12%,12.5%,24.4%,24.3%,27.9%,27.9%,27.9%
Switzerland,1.9%,1.9%,3.7%,3.4%,3.8%,3.3%,2.8%,2.6%,3.9%,3.9%,3%,2.9%,3.2%,3.2%,3.2%
French Guiana,21.4%,22%,22%,22%,19.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,2.7%,2.7%,2.7%,2.7%,2.7%,3.2%,0.7%,0.4%,0.5%,0.5%,0.5%,0.5%,0.3%,0.3%,0.3%
Costa Rica,5.2%,6.3%,6.7%,6.6%,6.6%,6.6%,4.6%,4.9%,6.6%,7.3%,7.9%,7.8%,7.9%,7.9%,7.9%
Tonga,13.3%,13.3%,13.3%,13.3%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
Isle of Man,NA,NA,NA,NA,0.6%,1.5%,1.5%,1.5%,1.8%,1.8%,2%,2%,2%,2%,2%
Peru,NA,NA,NA,9.6%,7.6%,7.2%,6.9%,8.1%,6.7%,6.6%,7.7%,5.2%,3.6%,3.6%,3.6%
Tuvalu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,12.5%,12.5%,10.3%,8%,8.2%,3.7%,3.5%,5.8%,16%,17.8%,15.7%,13.2%,12.4%,12.4%,12.4%
Netherlands,3%,3%,5.3%,6%,6.6%,5.5%,4.6%,4%,5.5%,5.5%,6.8%,5.3%,8.3%,8.3%,8.3%
Taiwan,4.5%,5.2%,5%,4.5%,4.1%,3.9%,3.9%,4.1%,5.2%,5.2%,4.3%,4.2%,4.1%,4.1%,4.1%
Armenia,20%,20%,20%,30%,31.6%,7.4%,7.1%,7.1%,7.1%,7.1%,7%,17.3%,17.3%,17.3%,17.3%
Norfolk Island,NA,NA,NA,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,45%,25%,25%,25%,25%
Aruba,0.6%,0.6%,0.6%,0.6%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%,6.9%
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hong Kong,5.2%,7.5%,7.9%,6.7%,5.5%,4.9%,4%,3.5%,4.6%,4.3%,3.4%,3.3%,3.1%,3.1%,3.1%
Tajikistan,20%,40%,40%,40%,12%,12%,2.4%,2.3%,2.2%,2.2%,2.2%,2.5%,2.5%,2.5%,2.5%
Iceland,2.8%,2.8%,3.4%,3.1%,2.1%,1.3%,1%,1.6%,8.6%,8.1%,5.6%,5.8%,4.5%,4.5%,4.5%
Brazil,6.4%,6.4%,12.3%,11.5%,9.8%,9.6%,9.3%,7.9%,7%,6.7%,6.2%,5.5%,5.7%,5.7%,5.7%
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
Albania,17%,17%,15.8%,14.8%,14.3%,13.8%,13.2%,12.5%,12.7%,13.7%,13%,13%,16.9%,16.9%,16.9%
Marshall Islands,30.9%,30.9%,30.9%,30.9%,30.9%,30.9%,30.9%,36%,36%,36%,36%,36%,36%,36%,36%
Zambia,50%,50%,50%,50%,50%,50%,50%,50%,50%,14%,14%,14%,15%,15%,15%
Swaziland,34%,34%,34%,34%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
Honduras,28%,28%,27.5%,28.5%,28%,27.9%,27.8%,3.5%,5.1%,5.1%,4.5%,4.4%,4.5%,4.5%,4.5%
Germany,9.8%,9.8%,10.5%,10.6%,11.7%,7.1%,9%,7.8%,7.1%,7.1%,6.5%,5.5%,5.3%,5.3%,5.3%
Belgium,7.2%,7.2%,8.1%,12%,8.4%,8.1%,7.5%,7%,8.1%,8.3%,7.6%,7.6%,8.8%,8.8%,8.8%
Nicaragua,23%,24%,22%,7.8%,5.6%,3.8%,4.9%,5.6%,8%,7.8%,7.4%,7.4%,7.2%,7.2%,7.2%
Uzbekistan,10%,10%,0.5%,0.6%,0.7%,3%,0.8%,1%,1.1%,1.1%,1%,4.9%,4.9%,4.9%,4.9%
Czech Republic,8.5%,9.8%,9.9%,10.6%,7.9%,8.4%,6.6%,5.4%,9.3%,9%,8.6%,6.8%,7.1%,7.1%,7.1%
Zimbabwe,60%,70%,70%,70%,80%,80%,80%,80%,95%,95%,95%,95%,95%,95%,95%
"Micronesia, Federated States of",16%,16%,16%,16%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
Iraq,NA,NA,NA,25%,25%,25%,18%,18.2%,15.3%,15.3%,16%,16%,16%,16%,16%
"Man, Isle of",0.7%,0.7%,0.7%,0.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,30%,30%,30%,30%,30%,30%,30%,30%,30%,22.3%,22.3%,22.3%,22.3%,22.3%,22.3%
Grenada,11.5%,12.5%,12.5%,12.5%,12.5%,12.5%,12.5%,12.5%,12.5%,12.5%,25%,25%,33.5%,33.5%,33.5%
