Country,"international_organization_participation( migrant(s)/1,000 population)"
Afghanistan,40
Albania,46
Algeria,57
American Samoa,4
Andorra,21
Angola,41
Anguilla,5
Antigua and Barbuda,37
Argentina,65
Armenia,44
Aruba,9
Australia,61
Austria,74
Azerbaijan,48
"Bahamas, The",37
Bahrain,42
Bangladesh,56
Barbados,39
Belarus,39
Belgium,73
Belize,41
Benin,54
Bermuda,6
Bhutan,31
Bolivia,52
Bosnia and Herzegovina,44
Botswana,41
Brazil,62
British Virgin Islands,7
Brunei,31
Bulgaria,57
Burkina Faso,53
Burma,37
Burundi,40
Cambodia,43
Cameroon,50
Canada,78
Cape Verde,39
Cayman Islands,6
Central African Republic,42
Chad,44
Chile,56
China,66
Christmas Island,1
Cocos (Keeling) Islands,1
Colombia,55
Comoros,39
"Congo, Democratic Republic of the",49
"Congo, Republic of the",44
Cook Islands,17
Costa Rica,47
Cote d'Ivoire,50
Croatia,61
Cuba,38
Cyprus,48
Czech Republic,64
Denmark,72
Djibouti,43
Dominica,39
Dominican Republic,48
East Timor,28
Ecuador,54
Egypt,65
El Salvador,49
Equatorial Guinea,36
Eritrea,38
Estonia,47
Ethiopia,46
European Union,16
Falkland Islands (Islas Malvinas),2
Faroe Islands,5
Fiji,43
Finland,72
France,92
French Guiana,3
French Polynesia,6
Gabon,47
"Gambia, The",45
Georgia,46
Germany,77
Ghana,55
Gibraltar,2
Greece,66
Greenland,4
Grenada,36
Guadeloupe,3
Guam,3
Guatemala,54
Guernsey,1
Guinea,49
Guinea-Bissau,44
Guyana,46
Haiti,42
Holy See (Vatican City),16
Honduras,46
Hong Kong,16
Hungary,64
Iceland,48
India,67
Indonesia,54
Iran,50
Iraq,40
Ireland,60
Isle of Man,1
Israel,41
Italy,76
Jamaica,44
Japan,73
Jordan,56
Kazakhstan,46
Kenya,52
Kiribati,27
"Korea, North",24
"Korea, South",64
Kuwait,51
Kyrgyzstan,46
Laos,38
Latvia,48
Lebanon,47
Lesotho,38
Liberia,37
Libya,49
Liechtenstein,20
Lithuania,50
Luxembourg,58
Macau,10
Macedonia,43
Madagascar,47
Malawi,45
Malaysia,56
Maldives,34
Mali,50
Malta,43
Marshall Islands,23
Martinique,3
Mauritania,46
Mauritius,48
Mayotte,1
Mexico,62
"Micronesia, Federated States of",23
Moldova,47
Monaco,28
Mongolia,44
Montenegro,14
Montserrat,6
Morocco,57
Mozambique,48
Namibia,47
Nauru,18
Nepal,50
Netherlands,71
Netherlands Antilles,10
New Caledonia,6
New Zealand,56
Nicaragua,45
Niger,51
Nigeria,60
Niue,11
Norfolk Island,1
Northern Mariana Islands,3
Norway,67
Oman,38
Pakistan,61
Palau,22
Panama,47
Papua New Guinea,45
Paraguay,52
Peru,59
Philippines,56
Pitcairn Islands,2
Poland,69
Portugal,65
Puerto Rico,6
Qatar,44
Reunion,3
Romania,65
Russia,71
Rwanda,41
Saint Helena,2
Saint Kitts and Nevis,34
Saint Lucia,42
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,36
Samoa,34
San Marino,25
Sao Tome and Principe,36
Saudi Arabia,48
Senegal,56
Serbia,53
Seychelles,40
Sierra Leone,42
Singapore,41
Slovakia,62
Slovenia,54
Solomon Islands,32
Somalia,38
South Africa,55
Spain,69
Sri Lanka,52
Sudan,49
Suriname,39
Svalbard,1
Swaziland,38
Sweden,75
Switzerland,68
Syria,44
Taiwan,10
Tajikistan,40
Tanzania,49
Thailand,55
Togo,54
Tokelau,4
Tonga,33
Trinidad and Tobago,43
Tunisia,56
Turkey,63
Turkmenistan,38
Turks and Caicos Islands,4
Tuvalu,16
Uganda,47
Ukraine,61
United Arab Emirates,43
United Kingdom,77
United States,77
Uruguay,55
Uzbekistan,41
Vanuatu,35
Venezuela,54
Vietnam,44
Virgin Islands,2
Wallis and Futuna,2
Western Sahara,1
Yemen,47
Zambia,47
Zimbabwe,45
