Country,"exports( migrant(s)/1,000 population)"
Afghanistan,471.0
Albania,792.9
Algeria,53790.0
American Samoa,445.6
Andorra,148.7
Angola,31340.0
Anguilla,14.56
Antigua and Barbuda,46.81
Argentina,46460.0
Armenia,1018.9999999999999
Aruba,80.0
Australia,124800.0
Austria,134300.0
Azerbaijan,13010.0
"Bahamas, The",451.0
Bahrain,11700.0
Bangladesh,11160.0
Barbados,209.0
Belarus,19840.0
Belgium,283800.0
Belize,427.0
Benin,605.0
Bermuda,1469.0
Bhutan,186.0
Bolivia,3696.0
Bosnia and Herzegovina,3382.0
Botswana,4587.0
Brazil,137800.0
British Virgin Islands,25.3
Brunei,6247.0
Bulgaria,15060.0
Burkina Faso,606.0
Burma,5321.0
Burundi,61.0
Cambodia,3693.0
Cameroon,3490.0
Canada,401700.0
Cape Verde,88.0
Cayman Islands,2.52
Central African Republic,131.0
Chad,3749.0
Chile,58120.0
China,969700.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,25180.0
Comoros,34.0
"Congo, Democratic Republic of the",1108.0
"Congo, Republic of the",5854.0
Cook Islands,5.222
Costa Rica,8238.0
Cote d'Ivoire,8191.000000000001
Croatia,10610.0
Cuba,2980.0
Cyprus,1340.0
Czech Republic,95120.0
Denmark,90900.0
Djibouti,250.0
Dominica,74.0
Dominican Republic,6440.0
Ecuador,13050.0
Egypt,20550.0
El Salvador,3567.0
Equatorial Guinea,7836.0
Eritrea,16.0
Estonia,9654.0
Ethiopia,1025.0
European Union,1330000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,598.0
Fiji,719.6
Finland,77520.0
France,483100.0
French Polynesia,211.0
Gabon,6053.0
"Gambia, The",135.0
Gaza Strip,301.0
Georgia,1667.0
Germany,1131000.0
Ghana,3763.0
Gibraltar,271.0
Greece,20280.0
Greenland,404.0
Grenada,40.0
Guam,45.0
Guatemala,6025.0
Guernsey,NA
Guinea,956.0
Guinea-Bissau,116.0
Guyana,482.0
Haiti,494.0
Honduras,1981.0
Hong Kong,317600.0
Hungary,73510.0
Iceland,3477.0
India,123200.0
Indonesia,102700.0
Iran,66670.0
Iraq,28410.0
Ireland,104700.0
Isle of Man,NA
Israel,43730.0
Italy,417100.0
Jamaica,2117.0
Japan,615800.0
Jersey,NA
Jordan,5204.0
Kazakhstan,38760.0
Kenya,3438.0
Kiribati,17.0
"Korea, North",1340.0
"Korea, South",331800.0
Kuwait,58640.0
Kyrgyzstan,810.8
Laos,655.0
Latvia,6051.0
Lebanon,2792.0
Lesotho,752.0
Liberia,910.0
Libya,33660.0
Liechtenstein,2470.0
Lithuania,14120.0
Luxembourg,16570.0
Macau,3156.0
Macedonia,2396.0
Madagascar,898.0
Malawi,560.3
Malaysia,160800.0
Maldives,214.0
Mali,323.0
Malta,2908.0
Marshall Islands,9.1
Mauritania,784.0
Mauritius,2339.0
Mayotte,6.5
Mexico,250000.0
"Micronesia, Federated States of",14.0
Moldova,1054.0
Monaco,716.3
Mongolia,1064.0
Montenegro,171.3
Montserrat,700.0
Morocco,11390.0
Mozambique,2381.0
Namibia,2655.0
Nauru,64.0
Nepal,822.0
Netherlands,391100.0
Netherlands Antilles,2076.0
New Caledonia,1085.0
New Zealand,22490.0
Nicaragua,1978.0
Niger,222.0
Nigeria,57460.0
Niue,201.0
Norfolk Island,1.5
Northern Mariana Islands,NA
Norway,122700.0
Oman,21200.0
Pakistan,17000.0
Palau,5.882
Panama,8509.0
Papua New Guinea,4128.0
Paraguay,4838.0
Peru,23750.0
Philippines,46160.0
Pitcairn Islands,NA
Poland,117300.0
Portugal,43580.0
Puerto Rico,46900.0
Qatar,30370.0
Romania,32340.000000000004
Russia,303900.0
Rwanda,146.0
Saint Helena,19.0
Saint Kitts and Nevis,70.0
Saint Lucia,82.0
Saint Pierre and Miquelon,5.5
Saint Vincent and the Grenadines,37.0
Samoa,94.0
San Marino,1291.0
Sao Tome and Principe,3.0
Saudi Arabia,207800.0
Senegal,1408.0
Serbia,4553.0
Seychelles,423.0
Sierra Leone,185.0
Singapore,289400.0
Slovakia,41860.0
Slovenia,21390.0
Solomon Islands,171.0
Somalia,241.0
South Africa,63770.0
Spain,216500.0
Sri Lanka,7172.0
Sudan,5657.0
Suriname,881.0
Svalbard,197.6
Swaziland,2088.0
Sweden,153700.0
Switzerland,167000.0
Syria,9713.0
Taiwan,223800.0
Tajikistan,1512.0
Tanzania,1798.0
Thailand,128199.99999999999
Timor-Leste,10.0
Togo,612.0
Tokelau,0.0
Tonga,34.0
Trinidad and Tobago,12100.0
Tunisia,11510.0
Turkey,91890.0
Turkmenistan,5818.0
Turks and Caicos Islands,169.2
Tuvalu,1.0
Uganda,1004.0
Ukraine,38950.0
United Arab Emirates,142500.0
United Kingdom,450300.0
United States,1022999.9999999999
Uruguay,4387.0
Uzbekistan,5690.0
Vanuatu,34.11
Venezuela,65209.99999999999
Vietnam,39940.0
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,301.0
Western Sahara,NA
World,12030000.0
Yemen,7285.0
Zambia,3804.0
Zimbabwe,1649.0
