Country,"exports( migrant(s)/1,000 population)"
Afghanistan,376.0
Albania,2121.0
Algeria,76840.0
American Samoa,445.6
Andorra,70.0
Angola,71950.0
Anguilla,12.65
Antigua and Barbuda,37.9
Argentina,85360.0
Armenia,1495.0
Aruba,2758.0
Australia,263900.0
Austria,164100.0
Azerbaijan,30580.0
"Bahamas, The",790.0
Bahrain,20950.0
Bangladesh,25790.0
Barbados,491.1
Belarus,46600.0
Belgium,314600.0
Belize,555.8
Benin,1578.0
Bermuda,15.0
Bhutan,725.2
Bolivia,10970.0
Bosnia and Herzegovina,5427.0
Botswana,5887.0
Brazil,256000.0
British Virgin Islands,38.5
Brunei,10670.0
Bulgaria,27670.0
Burkina Faso,2734.0
Burma,8529.0
Burundi,107.4
Cambodia,6148.0
Cameroon,6538.0
Canada,481700.0
Cape Verde,205.1
Cayman Islands,42.6
Central African Republic,198.5
Chad,4951.0
Chile,83660.0
China,2021000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,59960.0
Comoros,27.5
"Congo, Democratic Republic of the",11280.0
"Congo, Republic of the",12350.0
Cook Islands,5.222
Costa Rica,11470.0
Cote d'Ivoire,10990.0
Croatia,13040.0
Cuba,6350.0
Curacao,1500.0
Cyprus,1889.0
Czech Republic,134100.0
Denmark,110800.0
Djibouti,101.7
Dominica,41.0
Dominican Republic,9467.0
Ecuador,23770.0
Egypt,28370.0
El Salvador,5804.0
Equatorial Guinea,18310.0
Eritrea,304.5
Estonia,17380.0
Ethiopia,3163.0
European Union,2170000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,824.0
Fiji,991.6
Finland,72700.0
France,567500.0
French Polynesia,211.0
Gabon,10820.0
"Gambia, The",103.3
Gaza Strip,NA
Georgia,3324.0
Germany,1492000.0
Ghana,13580.0
Gibraltar,271.0
Greece,26670.0
Greenland,384.3
Grenada,36.36
Guam,45.0
Guatemala,9864.0
Guernsey,NA
Guinea,1785.0
Guinea-Bissau,125.0
Guyana,1229.0
Haiti,801.7
Honduras,6946.0
Hong Kong,439000.0
Hungary,105100.0
Iceland,5100.0
India,309100.0
Indonesia,199100.0
Iran,66370.0
Iraq,88270.0
Ireland,113600.0
Isle of Man,NA
Israel,64739.99999999999
Italy,483300.0
Jamaica,1718.0
Japan,792900.0
Jersey,NA
Jordan,8218.0
Kazakhstan,88610.0
Kenya,5942.0
Kiribati,7.066
"Korea, North",4707.0
"Korea, South",548200.0
Kosovo,419.0
Kuwait,109400.0
Kyrgyzstan,2294.0
Laos,2280.0
Latvia,12490.0
Lebanon,5655.0
Lesotho,1039.0
Liberia,506.5
Libya,51480.0
Liechtenstein,3325.0
Lithuania,29010.0
Luxembourg,15500.0
Macau,1119.0
Macedonia,4338.0
Madagascar,1533.0
Malawi,860.0
Malaysia,239800.0
Maldives,346.4
Mali,2557.0
Malta,3670.0
Marshall Islands,19.4
Mauritania,2878.0
Mauritius,2631.0
Mexico,377400.0
"Micronesia, Federated States of",24.9
Moldova,2560.0
Monaco,711.0
Mongolia,4780.0
Montenegro,640.0
Montserrat,3.6
Morocco,22230.0
Mozambique,3516.0
Namibia,4657.0
Nauru,64.0
Nepal,1000.0
Netherlands,556500.0
New Caledonia,969.4
New Zealand,37730.0
Nicaragua,4160.0
Niger,1654.0
Nigeria,97460.0
Niue,201.0
Norfolk Island,NA
Northern Mariana Islands,98.2
Norway,162700.0
Oman,48430.0
Pakistan,24660.0
Palau,12.3
Panama,17970.0
Papua New Guinea,7362.0
Paraguay,4700.0
Peru,47380.0
Philippines,52170.0
Pitcairn Islands,NA
Poland,192300.0
Portugal,57800.0
Puerto Rico,58910.0
Qatar,117700.0
Romania,67720.0
Russia,542500.0
Rwanda,358.1
"Saint Helena, Ascension, and Tristan da Cunha",19.0
Saint Kitts and Nevis,58.6
Saint Lucia,209.6
Saint Pierre and Miquelon,5.5
Saint Vincent and the Grenadines,68.3
Samoa,27.38
San Marino,2576.0
Sao Tome and Principe,11.9
Saudi Arabia,381500.0
Senegal,2458.0
Serbia,12250.0
Seychelles,501.8
Sierra Leone,1168.0
Singapore,430600.0
Slovakia,77820.0
Slovenia,28420.0
Solomon Islands,226.5
Somalia,515.8
South Africa,101200.0
Spain,303800.0
Sri Lanka,10510.0
Sudan,4548.0
Suriname,2927.0
Svalbard,NA
Swaziland,1985.0
Sweden,177600.0
Switzerland,298300.0
Syria,4981.0
Taiwan,288200.0
Tajikistan,1746.0
Tanzania,5031.0
Thailand,218100.0
Timor-Leste,18.0
Togo,893.8
Tokelau,0.0
Tonga,11.4
Trinidad and Tobago,12720.0
Tunisia,17870.0
Turkey,154200.0
Turkmenistan,16160.0
Turks and Caicos Islands,169.2
Tuvalu,600.0
Uganda,2735.0
Ukraine,71530.0
United Arab Emirates,300600.0
United Kingdom,481000.0
United States,1612000.0
Uruguay,9812.0
Uzbekistan,12580.0
Vanuatu,67.4
Venezuela,96900.0
Vietnam,109400.0
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,666.1
Western Sahara,NA
World,18350000.0
Yemen,7958.0
Zambia,8346.0
Zimbabwe,3314.0
