Country,"exports( migrant(s)/1,000 population)"
Afghanistan,376.0
Albania,2323.0
Algeria,68250.0
American Samoa,445.6
Andorra,70.0
Angola,70840.0
Anguilla,12.2
Antigua and Barbuda,55.0
Argentina,85080.0
Armenia,1653.0
Aruba,2222.0
Australia,251700.0
Austria,165600.0
Azerbaijan,34460.0
"Bahamas, The",960.0
Bahrain,20690.0
Bangladesh,26910.0
Barbados,1051.0
Belarus,42060.0
Belgium,295300.0
Belize,633.0
Benin,1108.0
Bermuda,13.0
Bhutan,721.8
Bolivia,12160.0
Bosnia and Herzegovina,5687.0
Botswana,7569.0
Brazil,244800.0
British Virgin Islands,26.0
Brunei,12750.0
Bulgaria,27900.0
Burkina Faso,2844.0
Burma,9043.0
Burundi,122.8
Cabo Verde,159.9
Cambodia,6781.0
Cameroon,6002.0
Canada,458700.0
Cayman Islands,13.9
Central African Republic,138.9
Chad,3865.0
Chile,77940.0
China,2210000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,58700.0
Comoros,19.7
"Congo, Democratic Republic of the",9936.0
"Congo, Republic of the",9912.0
Cook Islands,5.222
Costa Rica,11660.0
Cote d'Ivoire,12960.0
Croatia,12360.0
Cuba,6252.0
Curacao,1607.0
Cyprus,2420.0
Czech Republic,161400.0
Denmark,106000.0
Djibouti,90.8
Dominica,40.4
Dominican Republic,9825.0
Ecuador,25480.0
Egypt,24810.0
El Salvador,5112.0
Equatorial Guinea,15440.0
Eritrea,496.2
Estonia,15110.0
Ethiopia,3214.0
European Union,2173000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,824.0
Fiji,1026.0
Finland,75700.0
France,578600.0
French Polynesia,200.0
Gabon,9777.0
"Gambia, The",113.2
Gaza Strip,NA
Georgia,2618.0
Germany,1493000.0
Ghana,13370.0
Gibraltar,271.0
Greece,30390.0
Greenland,384.3
Grenada,40.5
Guam,44.0
Guatemala,10290.0
Guernsey,NA
Guinea,1310.0
Guinea-Bissau,147.6
Guyana,1337.0
Haiti,876.8
Honduras,7881.0
Hong Kong,456400.0
Hungary,92980.0
Iceland,5200.0
India,313200.0
Indonesia,178900.0
Iran,61220.0
Iraq,91990.0
Ireland,113600.0
Isle of Man,NA
Israel,60670.0
Italy,474000.0
Jamaica,1775.0
Japan,697000.0
Jersey,NA
Jordan,7914.0
Kazakhstan,87230.0
Kenya,6580.0
Kiribati,7.066
"Korea, North",3954.0
"Korea, South",557300.0
Kosovo,408.0
Kuwait,112000.0
Kyrgyzstan,1881.0
Laos,2313.0
Latvia,12670.0
Lebanon,5826.0
Lesotho,941.2
Liberia,929.8
Libya,38450.0
Liechtenstein,3801.0
Lithuania,30400.0
Luxembourg,15800.0
Macau,1137.0
Macedonia,4267.0
Madagascar,644.4
Malawi,1427.0
Malaysia,230700.0
Maldives,283.0
Mali,2577.0
Malta,5105.0
Marshall Islands,50.14
Mauritania,2728.0
Mauritius,2788.0
Mexico,370900.0
"Micronesia, Federated States of",24.9
Moldova,2399.0
Monaco,1115.0
Mongolia,4294.0
Montenegro,489.2
Montserrat,3.6
Morocco,16780.0
Mozambique,3920.0
Namibia,5124.0
Nauru,64.0
Nepal,1060.0
Netherlands,576900.0
New Caledonia,1321.0
New Zealand,37840.0
Nicaragua,2401.0
Niger,1539.0
Nigeria,93550.0
Niue,201.0
Norfolk Island,NA
Northern Mariana Islands,98.2
Norway,154200.0
Oman,56220.0
Pakistan,25050.0
Palau,12.3
Panama,18870.0
Papua New Guinea,5392.0
Paraguay,14700.0
Peru,41480.0
Philippines,47450.0
Pitcairn Islands,NA
Poland,202300.0
Portugal,61000.0
Puerto Rico,69750.0
Qatar,12700.0
Romania,65840.0
Russia,515000.0
Rwanda,538.3
"Saint Helena, Ascension, and Tristan da Cunha",19.0
Saint Kitts and Nevis,57.3
Saint Lucia,206.8
Saint Pierre and Miquelon,6.641
Saint Vincent and the Grenadines,45.7
Samoa,11.4
San Marino,3827.0
Sao Tome and Principe,12.1
Saudi Arabia,376300.0
Senegal,2691.0
Serbia,14610.0
Seychelles,516.7
Sierra Leone,1563.0
Singapore,410300.0
Slovakia,82700.0
Slovenia,28730.0
Solomon Islands,493.1
Somalia,515.8
South Africa,91050.0
Spain,458000.0
Sri Lanka,10390.0
Sudan,4145.0
Suriname,2512.0
Svalbard,NA
Swaziland,1603.0
Sweden,181500.0
Switzerland,229200.0
Syria,2675.0
Taiwan,305800.0
Tajikistan,1163.0
Tanzania,5920.0
Thailand,225400.0
Timor-Leste,34.1
Togo,982.2
Tokelau,0.0
Tonga,9.1
Trinidad and Tobago,12860.0
Tunisia,17460.0
Turkey,167600.0
Turkmenistan,17130.0
Turks and Caicos Islands,24.77
Tuvalu,600.0
Uganda,3156.0
Ukraine,71140.0
United Arab Emirates,368900.0
United Kingdom,813200.0
United States,1575000.0
Uruguay,10500.0
Uzbekistan,14910.0
Vanuatu,43.1
Venezuela,91780.0
Vietnam,128900.0
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,666.1
Western Sahara,NA
World,18710000.0
Yemen,6694.0
Zambia,8547.0
Zimbabwe,3144.0
