Country,"exports( migrant(s)/1,000 population)"
Afghanistan,98.0
Albania,425.0
Algeria,24960.0
American Samoa,30.0
Andorra,58.0
Angola,9669.0
Anguilla,2.6
Antigua and Barbuda,689.0
Argentina,29570.0
Armenia,735.0
Aruba,128.0
Australia,68670.0
Austria,83450.0
Azerbaijan,2605.0
"Bahamas, The",617.0
Bahrain,6492.0
Bangladesh,6713.0
Barbados,206.0
Belarus,9413.0
Belgium,182900.0
Belize,207.8
Benin,485.0
Bermuda,879.0
Bhutan,154.0
Bolivia,1495.0
Bosnia and Herzegovina,1280.0
Botswana,2544.0
Brazil,73280.0
British Virgin Islands,25.3
Brunei,3439.0
Bulgaria,7337.0
Burkina Faso,293.0
Burma,2434.0
Burundi,40.0
Cambodia,1616.0
Cameroon,1873.0
Canada,279300.0
Cape Verde,50.68
Cayman Islands,1.2
Central African Republic,172.0
Chad,365.0
Chile,20440.0
China,436100.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,12960.0
Comoros,28.0
"Congo, Democratic Republic of the",1417.0
"Congo, Republic of the",2293.0
Cook Islands,9.1
Costa Rica,6176.0
Cote d'Ivoire,5299.0
Croatia,6355.0
Cuba,1467.0
Cyprus,1054.0
Czech Republic,46770.0
Denmark,64160.0
Djibouti,155.0
Dominica,39.0
Dominican Republic,5524.0
East Timor,8.0
Ecuador,6073.0
Egypt,8759.0
El Salvador,3162.0
Equatorial Guinea,2100.0
Eritrea,56.0
Estonia,4075.0
Ethiopia,537.0
European Union,850300.0
Falkland Islands (Islas Malvinas),82.0
Faroe Islands,408.0
Fiji,609.0
Finland,54280.0
France,346500.0
French Guiana,155.0
French Polynesia,244.0
Gabon,2891.0
"Gambia, The",156.0
Gaza Strip,603.0
Georgia,615.0
Germany,696900.0
Ghana,2642.0
Gibraltar,136.0
Greece,5899.0
Greenland,388.0
Grenada,46.0
Guadeloupe,140.0
Guam,38.0
Guatemala,2763.0
Guernsey,NA
Guinea,726.0
Guinea-Bissau,54.0
Guyana,512.0
Haiti,321.0
Honduras,1370.0
Hong Kong,225900.0
Hungary,42030.0
Iceland,2379.0
India,57240.0
Indonesia,63890.0
Iran,29880.0
Iraq,7542.0
Ireland,98310.0
Israel,29320.0
Italy,278100.0
Jamaica,1355.0
Japan,447100.0
Jersey,NA
Jordan,2908.0
Kazakhstan,12720.0
Kenya,2514.0
Kiribati,35.0
"Korea, North",1044.0
"Korea, South",201300.0
Kuwait,22290.0
Kyrgyzstan,548.0
Laos,332.0
Latvia,3000.0
Lebanon,1359.0
Lesotho,450.0
Liberia,1079.0
Libya,14320.0
Liechtenstein,2470.0
Lithuania,7890.0
Luxembourg,8571.0
Macau,2356.0
Macedonia,1346.0
Madagascar,700.0
Malawi,455.0
Malaysia,98400.0
Maldives,90.0
Mali,915.0
Malta,2175.0
"Man, Isle of",NA
Marshall Islands,9.0
Martinique,250.0
Mauritania,541.0
Mauritius,1965.0
Mayotte,3.44
Mexico,164800.0
"Micronesia, Federated States of",22.0
Moldova,790.0
Monaco,NA
Mongolia,524.0
Montserrat,700.0
Morocco,8466.0
Mozambique,795.0
Namibia,1090.0
Nauru,18.0
Nepal,568.0
Netherlands,253200.0
Netherlands Antilles,1579.0
New Caledonia,448.0
New Zealand,15860.0
Nicaragua,632.0
Niger,280.0
Nigeria,21800.0
Niue,137.0
Norfolk Island,1.5
Northern Mariana Islands,NA
Norway,67270.0
Oman,11700.0
Pakistan,11700.0
Palau,18.0
Panama,5237.0
Papua New Guinea,1938.0
Paraguay,2727.0
Peru,8954.0
Philippines,34560.0
Pitcairn Islands,NA
Poland,57600.0
Portugal,31130.0
Puerto Rico,46900.0
Qatar,12360.0
Reunion,214.0
Romania,17630.0
Russia,134400.0
Rwanda,73.33
Saint Helena,17.0
Saint Kitts and Nevis,70.0
Saint Lucia,66.0
Saint Pierre and Miquelon,10.0
Saint Vincent and the Grenadines,38.0
Samoa,14.0
San Marino,NA
Sao Tome and Principe,6.479
Saudi Arabia,86530.0
Senegal,1230.0
Serbia and Montenegro,2667.0
Seychelles,250.0
Sierra Leone,49.0
Singapore,142400.0
Slovakia,21250.0
Slovenia,11980.0
Solomon Islands,90.0
Somalia,79.0
South Africa,36770.0
Spain,159400.0
Sri Lanka,5269.0
Sudan,2450.0
Suriname,495.0
Svalbard,NA
Swaziland,905.6
Sweden,102800.0
Switzerland,110000.0
Syria,5143.0
Taiwan,143000.0
Tajikistan,750.0
Tanzania,978.0
Thailand,75990.0
Togo,398.1
Tokelau,98.0
Tonga,27.0
Trinidad and Tobago,4900.0
Tunisia,8035.0
Turkey,49120.0
Turkmenistan,3355.0
Turks and Caicos Islands,169.2
Tuvalu,1.0
Uganda,495.0
Ukraine,23630.0
United Arab Emirates,56730.0
United Kingdom,304500.0
United States,714500.0
Uruguay,2164.0
Uzbekistan,2830.0
Vanuatu,79.0
Venezuela,25860.0
Vietnam,19880.0
Virgin Islands,NA
Wallis and Futuna,250.0
West Bank,603.0
Western Sahara,NA
World,6421000.0
Yemen,3920.0
Zambia,1039.0
Zimbabwe,1261.0
