Country,"exports( migrant(s)/1,000 population)"
Afghanistan,274.0
Albania,1076.0
Algeria,60510.0
American Samoa,445.6
Andorra,148.7
Angola,45030.0
Anguilla,13.0
Antigua and Barbuda,84.3
Argentina,55780.0
Armenia,1200.0
Aruba,124.0
Australia,142100.0
Austria,162100.0
Azerbaijan,21270.0
"Bahamas, The",674.0
Bahrain,13790.0
Bangladesh,12450.0
Barbados,385.0
Belarus,24470.0
Belgium,322200.0
Belize,429.0
Benin,586.0
Bermuda,763.0
Bhutan,350.0
Bolivia,4490.0
Bosnia and Herzegovina,4243.0
Botswana,5025.0
Brazil,160600.0
British Virgin Islands,25.3
Brunei,6767.0
Bulgaria,18440.0
Burkina Faso,617.0
Burma,6122.0
Burundi,44.0
Cambodia,4089.0000000000005
Cameroon,3827.0
Canada,431100.0
Cape Verde,76.5
Cayman Islands,2.52
Central African Republic,146.7
Chad,4201.0
Chile,67640.0
China,1220000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,30580.0
Comoros,32.0
"Congo, Democratic Republic of the",1587.0
"Congo, Republic of the",5800.0
Cook Islands,5.222
Costa Rica,9268.0
Cote d'Ivoire,8476.0
Croatia,12620.0
Cuba,3734.0
Cyprus,1495.0
Czech Republic,122300.0
Denmark,101200.0
Djibouti,340.0
Dominica,94.0
Dominican Republic,7237.0
Ecuador,14370.0
Egypt,24450.0
El Salvador,4035.0
Equatorial Guinea,9904.0
Eritrea,12.0
Estonia,11080.0
Ethiopia,1288.0
European Union,1330000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,634.0
Fiji,1202.0
Finland,89910.0
France,546000.0
French Polynesia,211.0
Gabon,6956.0
"Gambia, The",88.0
Gaza Strip,301.0
Georgia,2104.0
Germany,1354000.0
Ghana,4162.0
Gibraltar,271.0
Greece,23910.0
Greenland,480.0
Grenada,38.0
Guam,45.0
Guatemala,6940.0
Guernsey,NA
Guinea,1128.0
Guinea-Bissau,133.0
Guyana,683.0
Haiti,522.0
Honduras,5594.0
Hong Kong,345900.0
Hungary,87770.0
Iceland,4793.0
India,151300.0
Indonesia,118000.0
Iran,88260.0
Iraq,38140.0
Ireland,115500.0
Isle of Man,NA
Israel,50370.0
Italy,502400.0
Jamaica,2331.0
Japan,678100.0
Jersey,NA
Jordan,5700.0
Kazakhstan,48350.0
Kenya,4127.0
Kiribati,17.0
"Korea, North",1466.0
"Korea, South",379000.0
Kosovo,148.4
Kuwait,63720.0
Kyrgyzstan,1337.0
Laos,970.0
Latvia,8143.000000000001
Lebanon,4077.0
Lesotho,853.0
Liberia,1197.0
Libya,42970.0
Liechtenstein,2470.0
Lithuania,17180.0
Luxembourg,18420.0
Macau,2557.0
Macedonia,3350.0
Madagascar,986.0
Malawi,604.0
Malaysia,176400.0
Maldives,167.0
Mali,294.0
Malta,3238.0
Marshall Islands,9.1
Mauritania,1395.0
Mauritius,2231.0
Mayotte,6.5
Mexico,271900.0
"Micronesia, Federated States of",14.0
Moldova,1361.0
Monaco,716.3
Mongolia,1889.0
Montenegro,171.3
Montserrat,700.0
Morocco,12750.0
Mozambique,2412.0
Namibia,2919.0
Nauru,64.0
Nepal,830.0
Netherlands,456800.0
Netherlands Antilles,3710.0
New Caledonia,1341.0
New Zealand,27350.0
Nicaragua,2313.0
Niger,428.0
Nigeria,61790.0
Niue,201.0
Norfolk Island,1.5
Northern Mariana Islands,NA
Norway,140300.0
Oman,23100.0
Pakistan,18120.0
Palau,5.882
Panama,9312.0
Papua New Guinea,4686.0
Paraguay,5463.0
Peru,27960.0
Philippines,49320.0
Pitcairn Islands,NA
Poland,144600.0
Portugal,51500.0
Puerto Rico,46900.0
Qatar,42020.0
Romania,40320.0
Russia,355500.0
Rwanda,184.0
Saint Helena,19.0
Saint Kitts and Nevis,84.0
Saint Lucia,288.0
Saint Pierre and Miquelon,5.5
Saint Vincent and the Grenadines,193.0
Samoa,131.0
San Marino,1291.0
Sao Tome and Principe,9.0
Saudi Arabia,226700.0
Senegal,1650.0
Serbia,8824.0
Seychelles,395.0
Sierra Leone,216.0
Singapore,302700.0
Slovakia,57530.0
Slovenia,27060.0
Solomon Islands,237.0
Somalia,300.0
South Africa,76190.0
Spain,256700.0
Sri Lanka,8135.0
Sudan,8879.0
Suriname,1391.0
Svalbard,197.6
Swaziland,1926.0
Sweden,170100.0
Switzerland,200100.0
Syria,11140.0
Taiwan,246500.0
Tajikistan,1606.0
Tanzania,2227.0
Thailand,151100.0
Timor-Leste,10.0
Togo,702.0
Tokelau,0.0
Tonga,22.0
Trinidad and Tobago,13390.0
Tunisia,15150.0
Turkey,115300.0
Turkmenistan,7567.0
Turks and Caicos Islands,169.2
Tuvalu,1.0
Uganda,1686.0
Ukraine,49840.0
United Arab Emirates,178900.0
United Kingdom,442200.0
United States,1148000.0
Uruguay,5063.0
Uzbekistan,8050.000000000001
Vanuatu,40.0
Venezuela,69170.0
Vietnam,48560.0
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,301.0
Western Sahara,NA
World,13890000.0
Yemen,7311.0
Zambia,4594.0
Zimbabwe,1520.0
