Country,"exports( migrant(s)/1,000 population)"
Afghanistan,471.0
Albania,650.1
Algeria,49590.0
American Samoa,445.6
Andorra,145.0
Angola,26800.0
Anguilla,14.56
Antigua and Barbuda,46.81
Argentina,40000.0
Armenia,800.0
Aruba,80.0
Australia,103000.0
Austria,122500.0
Azerbaijan,6117.0
"Bahamas, The",469.3
Bahrain,11170.0
Bangladesh,9372.0
Barbados,209.0
Belarus,16140.0
Belgium,269600.0
Belize,349.9
Benin,826.9
Bermuda,1469.0
Bhutan,154.0
Bolivia,2371.0
Bosnia and Herzegovina,2700.0
Botswana,3680.0
Brazil,115100.0
British Virgin Islands,25.3
Brunei,4514.0
Bulgaria,11670.0
Burkina Faso,395.0
Burma,3111.0
Burundi,52.0
Cambodia,2663.0
Cameroon,3236.0
Canada,364800.0
Cape Verde,73.35
Cayman Islands,2.52
Central African Republic,131.0
Chad,3016.0
Chile,38030.0
China,752200.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,19300.0
Comoros,34.0
"Congo, Democratic Republic of the",1108.0
"Congo, Republic of the",2209.0
Cook Islands,5.222
Costa Rica,7005.0
Cote d'Ivoire,6490.0
Croatia,10300.0
Cuba,2388.0
Cyprus,1237.0
Czech Republic,78370.0
Denmark,84950.0
Djibouti,250.0
Dominica,74.0
Dominican Republic,5818.0
East Timor,10.0
Ecuador,9224.0
Egypt,14330.0
El Salvador,3586.0
Equatorial Guinea,6727.0
Eritrea,33.58
Estonia,7439.0
Ethiopia,612.0
European Union,1318000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,533.0
Fiji,719.6
Finland,67880.0
France,443400.0
French Guiana,137.5
French Polynesia,211.0
Gabon,5813.0
"Gambia, The",140.3
Gaza Strip,270.0
Georgia,1400.0
Germany,1016000.0
Ghana,2911.0
Gibraltar,271.0
Greece,18540.0
Greenland,480.0
Grenada,40.0
Guadeloupe,147.8
Guam,45.0
Guatemala,3940.0
Guernsey,NA
Guinea,612.1
Guinea-Bissau,116.0
Guyana,587.2
Haiti,390.7
Honduras,1726.0
Hong Kong,286300.0
Hungary,61750.0
Iceland,3215.0
India,76230.0
Indonesia,83640.0
Iran,55420.0
Iraq,17780.0
Ireland,102000.0
Isle of Man,NA
Israel,40140.0
Italy,371900.0
Jamaica,1608.0
Japan,550500.0
Jersey,NA
Jordan,4226.0
Kazakhstan,30090.0
Kenya,3173.0
Kiribati,17.0
"Korea, North",1275.0
"Korea, South",288200.0
Kuwait,44430.0
Kyrgyzstan,759.0
Laos,379.0
Latvia,4860.0
Lebanon,1782.0
Lesotho,602.8
Liberia,910.0
Libya,30790.0
Liechtenstein,2470.0
Lithuania,11800.0
Luxembourg,13390.0
Macau,3465.0
Macedonia,2047.0000000000002
Madagascar,951.0
Malawi,364.0
Malaysia,147100.0
Maldives,123.0
Mali,323.0
Malta,2744.0
Marshall Islands,9.1
Martinique,404.2
Mauritania,784.0
Mauritius,1949.0
Mayotte,4.85
Mexico,213700.0
"Micronesia, Federated States of",14.0
Moldova,1040.0
Monaco,656.5
Mongolia,852.0
Montenegro,171.3
Montserrat,700.0
Morocco,9472.0
Mozambique,1690.0
Namibia,2040.0
Nauru,64.0
Nepal,822.0
Netherlands,365100.0
Netherlands Antilles,2076.0
New Caledonia,999.0
New Zealand,22210.0
Nicaragua,1550.0
Niger,222.0
Nigeria,52160.0
Niue,201.0
Norfolk Island,1.5
Northern Mariana Islands,NA
Norway,111200.0
Oman,19010.0
Pakistan,14850.0
Palau,5.882
Panama,7481.0
Papua New Guinea,2833.0
Paraguay,3130.0
Peru,15950.0
Philippines,41250.0
Pitcairn Islands,NA
Poland,92720.0
Portugal,38800.0
Puerto Rico,46900.0
Qatar,24900.0
Reunion,248.5
Romania,31200.0
Russia,245000.0
Rwanda,98.0
Saint Helena,19.0
Saint Kitts and Nevis,70.0
Saint Lucia,82.0
Saint Pierre and Miquelon,7.0
Saint Vincent and the Grenadines,37.0
Samoa,94.0
San Marino,NA
Sao Tome and Principe,8.0
Saudi Arabia,165000.0
Senegal,1526.0
Serbia,4553.0
Seychelles,312.1
Sierra Leone,185.0
Singapore,204800.0
Slovakia,30700.0
Slovenia,18530.0
Solomon Islands,171.0
Somalia,241.0
South Africa,50910.0
Spain,194300.0
Sri Lanka,6442.0
Sudan,6989.0
Suriname,881.0
Svalbard,NA
Swaziland,1991.0
Sweden,126600.0
Switzerland,148600.0
Syria,6344.0
Taiwan,189400.0
Tajikistan,950.0
Tanzania,1581.0
Thailand,105800.0
Togo,768.0
Tokelau,0.0
Tonga,34.0
Trinidad and Tobago,9161.0
Tunisia,10300.0
Turkey,72490.0
Turkmenistan,4700.0
Turks and Caicos Islands,169.2
Tuvalu,1.0
Uganda,768.0
Ukraine,38220.0
United Arab Emirates,103100.0
United Kingdom,372700.0
United States,927500.0
Uruguay,3550.0
Uzbekistan,5000.0
Vanuatu,34.11
Venezuela,52730.0
Vietnam,32229.999999999996
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,270.0
Western Sahara,NA
World,10330000.0
Yemen,6387.0
Zambia,1947.0
Zimbabwe,1644.0
