Country,"exports( migrant(s)/1,000 population)"
Afghanistan,376.0
Albania,1123.0
Algeria,71740.0
American Samoa,445.6
Andorra,70.0
Angola,71090.0
Anguilla,7.3
Antigua and Barbuda,56.7
Argentina,80910.0
Armenia,1588.0
Aruba,1389.0
Australia,257899.99999999997
Austria,70.0
Azerbaijan,32630.000000000004
"Bahamas, The",984.0
Bahrain,20390.0
Bangladesh,24920.0
Barbados,1039.0
Belarus,45570.0
Belgium,302400.0
Belize,628.3
Benin,1071.0
Bermuda,12.0
Bhutan,721.8
Bolivia,11110.0
Bosnia and Herzegovina,3306.0
Botswana,6011.0
Brazil,242600.0
British Virgin Islands,26.0
Brunei,12750.0
Bulgaria,26700.0
Burkina Faso,2746.0
Burma,7820.0
Burundi,134.7
Cabo Verde,173.1
Cambodia,6016.0
Cameroon,6015.0
Canada,462900.0
Cayman Islands,15.0
Central African Republic,207.7
Chad,4126.0
Chile,78280.0
China,1971000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,59850.0
Comoros,19.6
"Congo, Democratic Republic of the",8872.0
"Congo, Republic of the",10530.0
Cook Islands,5.222
Costa Rica,11440.0
Cote d'Ivoire,12530.0
Croatia,12600.0
Cuba,5972.0
Curacao,1500.0
Cyprus,2602.0
Czech Republic,131700.0
Denmark,104900.0
Djibouti,87.9
Dominica,40.6
Dominican Republic,9079.0
Ecuador,24650.0
Egypt,24930.0
El Salvador,5447.0
Equatorial Guinea,14860.0
Eritrea,454.9
Estonia,14460.0
Ethiopia,3039.0
European Union,2170000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,824.0
Fiji,932.4
Finland,76460.0
France,567400.0
French Polynesia,200.0
Gabon,10200.0
"Gambia, The",111.8
Gaza Strip,NA
Georgia,3458.0
Germany,1460000.0
Ghana,13540.0
Gibraltar,271.0
Greece,28310.0
Greenland,384.3
Grenada,40.5
Guam,44.0
Guatemala,10110.0
Guernsey,NA
Guinea,1348.0
Guinea-Bissau,127.9
Guyana,1396.0
Haiti,785.0
Honduras,7931.0
Hong Kong,466000.0
Hungary,90230.0
Iceland,5060.0
India,301900.0
Indonesia,187300.0
Iran,67040.0
Iraq,94210.0
Ireland,119300.0
Isle of Man,NA
Israel,62320.0
Italy,478900.0
Jamaica,1747.0
Japan,776600.0
Jersey,NA
Jordan,7898.0
Kazakhstan,86930.0
Kenya,6228.0
Kiribati,7.066
"Korea, North",4707.0
"Korea, South",552700.0
Kosovo,419.0
Kuwait,121000.0
Kyrgyzstan,1921.0
Laos,1984.0
Latvia,12230.0
Lebanon,5615.0
Lesotho,972.4
Liberia,774.8
Libya,52020.0
Liechtenstein,3760.0
Lithuania,28760.0
Luxembourg,15930.0
Macau,1020.0
Macedonia,3975.0
Madagascar,592.1
Malawi,1224.0
Malaysia,227700.0
Maldives,283.0
Mali,2756.0
Malta,4232.0
Marshall Islands,50.14
Mauritania,2642.0
Mauritius,2673.0
Mexico,371400.0
"Micronesia, Federated States of",24.9
Moldova,2228.0
Monaco,864.6
Mongolia,4382.0
Montenegro,489.2
Montserrat,2.3
Morocco,16990.0
Mozambique,3470.0
Namibia,4883.0
Nauru,64.0
Nepal,1004.0
Netherlands,540300.0
New Caledonia,1321.0
New Zealand,37870.0
Nicaragua,4157.0
Niger,1458.0
Nigeria,95680.0
Niue,201.0
Norfolk Island,NA
Northern Mariana Islands,98.2
Norway,166000.0
Oman,52140.0
Pakistan,24710.0
Palau,12.3
Panama,18880.0
Papua New Guinea,5602.0
Paraguay,11900.0
Peru,45640.0
Philippines,46280.0
Pitcairn Islands,NA
Poland,191000.0
Portugal,58240.0
Puerto Rico,67300.0
Qatar,133000.0
Romania,51290.0
Russia,528000.0
Rwanda,512.0
"Saint Helena, Ascension, and Tristan da Cunha",19.0
Saint Kitts and Nevis,68.6
Saint Lucia,190.1
Saint Pierre and Miquelon,6.641
Saint Vincent and the Grenadines,48.7
Samoa,11.4
San Marino,3827.0
Sao Tome and Principe,12.2
Saudi Arabia,388400.0
Senegal,2382.0
Serbia,11330.0
Seychelles,493.3
Sierra Leone,953.4
Singapore,435800.0
Slovakia,80670.0
Slovenia,27810.0
Solomon Islands,415.2
Somalia,515.8
South Africa,93480.0
Spain,291600.0
Sri Lanka,9774.0
Sudan,3368.0
Suriname,2564.0
Svalbard,NA
Swaziland,1681.0
Sweden,184800.0
Switzerland,332100.0
Syria,3876.0
Taiwan,299800.0
Tajikistan,826.6
Tanzania,5912.0
Thailand,226100.0
Timor-Leste,34.1
Togo,960.5
Tokelau,0.0
Tonga,8.4
Trinidad and Tobago,12980.0
Tunisia,17070.0
Turkey,163300.0
Turkmenistan,15480.0
Turks and Caicos Islands,24.77
Tuvalu,600.0
Uganda,2811.0
Ukraine,70240.0
United Arab Emirates,350100.0
United Kingdom,473000.0
United States,1561000.0
Uruguay,9890.0
Uzbekistan,14380.0
Vanuatu,57.5
Venezuela,97340.0
Vietnam,114600.0
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,666.1
Western Sahara,NA
World,18260000.0
Yemen,7570.0
Zambia,9414.0
Zimbabwe,3314.0
