Country,"exports( migrant(s)/1,000 population)"
Afghanistan,327.0
Albania,1345.0
Algeria,78230.0
American Samoa,445.6
Andorra,117.1
Angola,66300.0
Anguilla,13.0
Antigua and Barbuda,84.3
Argentina,70020.0
Armenia,1124.0
Aruba,124.0
Australia,189900.0
Austria,179100.0
Azerbaijan,30590.0
"Bahamas, The",674.0
Bahrain,17490.0
Bangladesh,15440.0
Barbados,385.0
Belarus,33040.0
Belgium,371500.0
Belize,464.7
Benin,1127.0
Bermuda,763.0
Bhutan,350.0
Bolivia,6448.0
Bosnia and Herzegovina,5194.0
Botswana,4707.0
Brazil,197900.0
British Virgin Islands,25.3
Brunei,8250.0
Bulgaria,22710.0
Burkina Faso,544.0
Burma,6677.0
Burundi,79.0
Cambodia,4708.0
Cameroon,4707.0
Canada,459100.0
Cape Verde,105.0
Cayman Islands,2.52
Central African Republic,146.7
Chad,4342.0
Chile,66460.0
China,1435000.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,38530.0
Comoros,32.0
"Congo, Democratic Republic of the",6100.0
"Congo, Republic of the",10850.0
Cook Islands,5.222
Costa Rica,9738.0
Cote d'Ivoire,10090.0
Croatia,14360.0
Cuba,3680.0
Cyprus,1906.0
Czech Republic,145700.0
Denmark,114900.0
Djibouti,340.0
Dominica,94.0
Dominican Republic,6950.0
Ecuador,19150.0
Egypt,29850.0
El Salvador,4611.0
Equatorial Guinea,13030.0
Eritrea,13.0
Estonia,12630.0
Ethiopia,1555.0
European Union,1952000.0
Falkland Islands (Islas Malvinas),125.0
Faroe Islands,634.0
Fiji,1202.0
Finland,96620.0
France,601900.0
French Polynesia,211.0
Gabon,9333.0
"Gambia, The",85.0
Gaza Strip,339.0
Georgia,2428.0
Germany,1498000.0
Ghana,5275.0
Gibraltar,271.0
Greece,29140.0
Greenland,480.0
Grenada,38.0
Guam,45.0
Guatemala,7848.0
Guernsey,NA
Guinea,1392.0
Guinea-Bissau,133.0
Guyana,797.0
Haiti,490.0
Honduras,6046.0
Hong Kong,365200.0
Hungary,106600.0
Iceland,5399.0
India,187900.0
Indonesia,139300.0
Iran,98420.0
Iraq,58810.0
Ireland,119800.0
Isle of Man,NA
Israel,57160.0
Italy,546900.0
Jamaica,2602.0
Japan,746500.0
Jersey,NA
Jordan,7782.0
Kazakhstan,71970.0
Kenya,5040.0
Kiribati,17.0
"Korea, North",1684.0
"Korea, South",433500.0
Kosovo,527.0
Kuwait,86940.0
Kyrgyzstan,1847.0
Laos,1163.0
Latvia,9634.0
Lebanon,5023.0
Lesotho,956.0
Liberia,1197.0
Libya,64500.0
Liechtenstein,2470.0
Lithuania,23740.0
Luxembourg,21430.0
Macau,2000.0
Macedonia,3971.0
Madagascar,1254.0
Malawi,830.0
Malaysia,198700.0
Maldives,113.0
Mali,294.0
Malta,3060.0
Marshall Islands,19.4
Mauritania,1395.0
Mauritius,2400.0
Mayotte,6.5
Mexico,291300.0
"Micronesia, Federated States of",14.0
Moldova,1641.0
Monaco,716.3
Mongolia,2539.0
Montenegro,171.3
Montserrat,700.0
Morocco,20170.0
Mozambique,2653.0
Namibia,3167.0
Nauru,64.0
Nepal,868.0
Netherlands,531700.0
Netherlands Antilles,3710.0
New Caledonia,1341.0
New Zealand,31190.0
Nicaragua,2675.0
Niger,428.0
Nigeria,76030.0
Niue,201.0
Norfolk Island,1.5
Northern Mariana Islands,98.2
Norway,173600.0
Oman,37720.0
Pakistan,21090.0
Palau,5.882
Panama,10290.0
Papua New Guinea,5719.0
Paraguay,7769.0
Peru,31530.0
Philippines,48200.0
Pitcairn Islands,NA
Poland,178400.0
Portugal,56420.0
Puerto Rico,46900.0
Qatar,55730.0
Romania,49410.0
Russia,471600.0
Rwanda,210.0
Saint Helena,19.0
Saint Kitts and Nevis,84.0
Saint Lucia,288.0
Saint Pierre and Miquelon,5.5
Saint Vincent and the Grenadines,193.0
Samoa,131.0
San Marino,4628.0
Sao Tome and Principe,8.0
Saudi Arabia,313400.0
Senegal,2053.0
Serbia,8824.0
Seychelles,495.0
Sierra Leone,216.0
Singapore,342700.0
Slovakia,72570.0
Slovenia,29610.0
Solomon Islands,237.0
Somalia,300.0
South Africa,86120.0
Spain,285900.0
Sri Lanka,8137.0
Sudan,11670.0
Suriname,1391.0
Svalbard,197.6
Swaziland,1756.0
Sweden,185900.0
Switzerland,241300.0
Syria,13970.0
Taiwan,254900.0
Tajikistan,1575.0
Tanzania,2413.0
Thailand,175300.0
Timor-Leste,10.0
Togo,777.0
Tokelau,0.0
Tonga,22.0
Trinidad and Tobago,15850.0
Tunisia,19220.0
Turkey,140700.0
Turkmenistan,11920.0
Turks and Caicos Islands,169.2
Tuvalu,1.0
Uganda,2688.0
Ukraine,67720.0
United Arab Emirates,239200.0
United Kingdom,466300.0
United States,1277000.0
Uruguay,7084.0
Uzbekistan,10370.0
Vanuatu,40.0
Venezuela,93540.0
Vietnam,62690.0
Virgin Islands,4234.0
Wallis and Futuna,47.0
West Bank,339.0
Western Sahara,NA
World,16040000.0
Yemen,8977.0
Zambia,4818.0
Zimbabwe,1396.0
