Country,"exports( migrant(s)/1,000 population)"
Afghanistan,446.0
Albania,552.4
Algeria,32159.999999999996
American Samoa,30.0
Andorra,58.0
Angola,12760.0
Anguilla,2.6
Antigua and Barbuda,689.0
Argentina,33780.0
Armenia,850.0
Aruba,128.0
Australia,86890.0
Austria,102700.0
Azerbaijan,3168.0
"Bahamas, The",636.0
Bahrain,8205.0
Bangladesh,7478.0
Barbados,206.0
Belarus,11470.0
Belgium,255700.0
Belize,401.4
Benin,720.9
Bermuda,879.0
Bhutan,154.0
Bolivia,1986.0
Bosnia and Herzegovina,1700.0
Botswana,2940.0
Brazil,95000.0
British Virgin Islands,25.3
Brunei,7700.0
Bulgaria,9134.0
Burkina Faso,418.6
Burma,2137.0
Burundi,31.84
Cambodia,2311.0
Cameroon,2445.0
Canada,315600.0
Cape Verde,61.11
Cayman Islands,1.2
Central African Republic,172.0
Chad,365.0
Chile,29200.0
China,583100.0
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,15500.0
Comoros,28.0
"Congo, Democratic Republic of the",1417.0
"Congo, Republic of the",2224.0
Cook Islands,9.1
Costa Rica,6184.0
Cote d'Ivoire,5124.0
Croatia,7845.0
Cuba,2104.0
Cyprus,1094.0
Czech Republic,66510.0
Denmark,73060.0
Djibouti,155.0
Dominica,39.0
Dominican Republic,5446.0
East Timor,8.0
Ecuador,7560.0
Egypt,11000.0
El Salvador,3249.0
Equatorial Guinea,2771.0
Eritrea,64.44
Estonia,5701.0
Ethiopia,562.8
European Union,1109000.0
Falkland Islands (Islas Malvinas),82.0
Faroe Islands,408.0
Fiji,609.0
Finland,61040.0
France,419000.0
French Guiana,155.0
French Polynesia,244.0
Gabon,3710.0
"Gambia, The",114.4
Gaza Strip,205.0
Georgia,909.4
Germany,893300.0
Ghana,3010.0
Gibraltar,136.0
Greece,15500.0
Greenland,388.0
Grenada,46.0
Guadeloupe,140.0
Guam,38.0
Guatemala,2911.0
Guernsey,NA
Guinea,709.2
Guinea-Bissau,54.0
Guyana,570.2
Haiti,338.1
Honduras,1457.0
Hong Kong,268100.0
Hungary,54620.0
Iceland,2902.0
India,69180.0
Indonesia,69860.0
Iran,38790.0
Iraq,10100.0
Ireland,103800.0
Israel,34410.0
Italy,336400.0
Jamaica,1679.0
Japan,538800.0
Jersey,NA
Jordan,3200.0
Kazakhstan,18470.0
Kenya,2589.0
Kiribati,35.0
"Korea, North",1200.0
"Korea, South",250600.0
Kuwait,27420.0
Kyrgyzstan,646.7
Laos,365.5
Latvia,3569.0
Lebanon,1783.0
Lesotho,484.5
Liberia,1079.0
Libya,18650.0
Liechtenstein,2470.0
Lithuania,8880.0
Luxembourg,13400.0
Macau,2580.0
Macedonia,1629.0
Madagascar,868.2
Malawi,503.4
Malaysia,123500.0
Maldives,90.0
Mali,915.0
Malta,2625.0
"Man, Isle of",NA
Marshall Islands,9.0
Martinique,250.0
Mauritania,541.0
Mauritius,2012.0
Mayotte,3.44
Mexico,182400.0
"Micronesia, Federated States of",22.0
Moldova,1030.0
Monaco,NA
Mongolia,853.0
Montserrat,700.0
Morocco,9754.0
Mozambique,689.4
Namibia,1356.0
Nauru,640.0
Nepal,568.0
Netherlands,293100.0
Netherlands Antilles,1579.0
New Caledonia,448.0
New Zealand,19850.0
Nicaragua,750.0
Niger,280.0
Nigeria,33990.0
Niue,137.0
Norfolk Island,1.5
Northern Mariana Islands,NA
Norway,76640.0
Oman,13140.0
Pakistan,15070.0
Palau,18.0
Panama,5699.0
Papua New Guinea,2437.0
Paraguay,2936.0
Peru,12300.0
Philippines,38630.0
Pitcairn Islands,NA
Poland,75980.0
Portugal,37680.0
Puerto Rico,46900.0
Qatar,15000.0
Reunion,214.0
Romania,23540.0
Russia,162500.0
Rwanda,69.78
Saint Helena,17.0
Saint Kitts and Nevis,70.0
Saint Lucia,66.0
Saint Pierre and Miquelon,10.0
Saint Vincent and the Grenadines,38.0
Samoa,14.0
San Marino,NA
Sao Tome and Principe,6.7
Saudi Arabia,113000.0
Senegal,1374.0
Serbia and Montenegro,3245.0
Seychelles,256.2
Sierra Leone,49.0
Singapore,174000.0
Slovakia,29240.0
Slovenia,14970.0
Solomon Islands,74.0
Somalia,79.0
South Africa,41970.0
Spain,172500.0
Sri Lanka,5306.0
Sudan,3395.0
Suriname,495.0
Svalbard,NA
Swaziland,900.1
Sweden,121700.0
Switzerland,130699.99999999999
Syria,6086.0
Taiwan,170500.0
Tajikistan,1130.0
Tanzania,1248.0
Thailand,87910.0
Togo,663.1
Tokelau,98.0
Tonga,27.0
Trinidad and Tobago,6671.0
Tunisia,9926.0
Turkey,69460.0
Turkmenistan,4000.0
Turks and Caicos Islands,169.2
Tuvalu,1.0
Uganda,621.7
Ukraine,32910.0
United Arab Emirates,69480.0
United Kingdom,347200.0
United States,795000.0
Uruguay,2200.0
Uzbekistan,3700.0
Vanuatu,26.6
Venezuela,35840.0
Vietnam,23720.0
Virgin Islands,NA
Wallis and Futuna,250.0
West Bank,205.0
Western Sahara,NA
World,8819000.0
Yemen,4468.0
Zambia,1548.0
Zimbabwe,1409.0
