961958220137811969,Fri Feb 09 13:41:26 +0000 2018,56888119,たなば,ja,ja
961958220154597377,Fri Feb 09 13:41:26 +0000 2018,585569864,しゃこ＊全空東5め13b,ja,ja
961958220146208770,Fri Feb 09 13:41:26 +0000 2018,941604477378818049,TEAM민환🌻👑,th,th
961958220171378689,Fri Feb 09 13:41:26 +0000 2018,2345336598,★君はなぜNo.1になりたいのか★,ja,ja
961958220167135234,Fri Feb 09 13:41:26 +0000 2018,1041551532,ゆ～たろ,ja,ja
961958220167180288,Fri Feb 09 13:41:26 +0000 2018,872600735833128961,py_•💙•,en,th
961958220154597378,Fri Feb 09 13:41:26 +0000 2018,1459558309,宮一,ja,ja
961958220154642433,Fri Feb 09 13:41:26 +0000 2018,871723460938022912,★☆相互フォロー☆★,ja,ja
961958220150448129,Fri Feb 09 13:41:26 +0000 2018,3188379234,🥀,en,tl
961958220163031040,Fri Feb 09 13:41:26 +0000 2018,871362431339053057,나나코🐶공찬,ja,ja
961958220158783488,Fri Feb 09 13:41:26 +0000 2018,2350234249,⚡쳰찡찡'w'⚡,ko,ko
961958220137775104,Fri Feb 09 13:41:26 +0000 2018,735426318343409664,かものはし🐲🔥,ja,ja
961958220142034945,Fri Feb 09 13:41:26 +0000 2018,1566987236,TMPSTくんbot,ja,ja
961958220171390976,Fri Feb 09 13:41:26 +0000 2018,265285225,たまっく@祝TB新シリーズ,ja,ja
961958220137889792,Fri Feb 09 13:41:26 +0000 2018,1493996820,Adrian,es,es
961958220146208769,Fri Feb 09 13:41:26 +0000 2018,81337023,香月ネオン,ja,ja
961958220171329538,Fri Feb 09 13:41:26 +0000 2018,876466602014670848,おててふかふかにゃんにゃんモカシロップ,ja,ja
961958220167131141,Fri Feb 09 13:41:26 +0000 2018,949925004702986240,🍬서하칭 채고🍬🍭리마🍭,ko,ko
961958220158783489,Fri Feb 09 13:41:26 +0000 2018,1915995499,✨💘백지💘✨,ko,ko
961958220175519746,Fri Feb 09 13:41:26 +0000 2018,1630349612,𝓏𝒶𝓇𝒶,en,und
961958220141965313,Fri Feb 09 13:41:26 +0000 2018,783098807932248064,♤せるか。,ja,ja
961958220175589376,Fri Feb 09 13:41:26 +0000 2018,141105039,nettetomacruz🙏,en,tl
961958220167172096,Fri Feb 09 13:41:26 +0000 2018,918800874645856256,隆一,ja,ja
