language,total number of speakers(million),
Mandarin,1036,
English,618,
Hindi,487,
Spanish,376,
Arabic,285,
Russian,278,
Indonesian,234,
French,213,
Bengali,207,
Portuguese,203,
Japanese,127,
German,91,
