Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,44.64
Albania,77.96
Algeria,74.02
American Samoa,73.72
Andorra,82.51
Angola,38.2
Anguilla,80.65
Antigua and Barbuda,74.76
Argentina,76.56
Armenia,72.68
Aruba,75.28
Australia,81.63
Austria,79.5
Azerbaijan,66.66
"Bahamas, The",65.78
Bahrain,75.16
Bangladesh,60.25
Barbados,73.94
Belarus,70.63
Belgium,79.22
Belize,68.2
Benin,59.0
Bermuda,80.43
Bhutan,66.13
Bolivia,66.89
Bosnia and Herzegovina,78.5
Botswana,61.85
Brazil,71.99
British Virgin Islands,77.26
Brunei,75.74
Bulgaria,73.09
Burkina Faso,52.95
Burma,63.39
Burundi,52.09
Cambodia,62.1
Cameroon,53.69
Canada,81.23
Cape Verde,71.61
Cayman Islands,80.44
Central African Republic,44.47
Chad,47.7
Chile,77.34
China,73.47
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,72.81
Comoros,63.47
"Congo, Democratic Republic of the",54.36
"Congo, Republic of the",54.15
Cook Islands,74.22
Costa Rica,77.58
Cote d'Ivoire,55.45
Croatia,75.35
Cuba,77.45
Cyprus,78.33
Czech Republic,76.81
Denmark,78.3
Djibouti,43.37
Dominica,75.55
Dominican Republic,73.7
Ecuador,75.3
Egypt,72.12
El Salvador,72.33
Equatorial Guinea,61.61
Eritrea,61.78
Estonia,72.82
Ethiopia,55.41
European Union,78.67
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.44
Fiji,70.73
Finland,78.97
France,80.98
French Polynesia,76.71
Gabon,53.11
"Gambia, The",55.35
Gaza Strip,73.42
Georgia,76.72
Germany,79.26
Ghana,59.85
Gibraltar,80.19
Greece,79.66
Greenland,70.07
Grenada,65.95
Guam,78.01
Guatemala,70.29
Guernsey,80.77
Guinea,57.09
Guinea-Bissau,47.9
Guyana,66.68
Haiti,60.78
Honduras,69.4
Hong Kong,81.86
Hungary,73.44
Iceland,80.67
India,69.89
Indonesia,70.76
Iran,71.14
Iraq,69.94
Ireland,78.24
Isle of Man,78.82
Israel,80.73
Italy,80.2
Jamaica,73.53
Japan,82.12
Jersey,79.75
Jordan,78.87
Kazakhstan,67.87
Kenya,57.86
Kiribati,63.22
"Korea, North",63.81
"Korea, South",78.72
Kuwait,77.71
Kyrgyzstan,69.43
Laos,56.68
Latvia,72.15
Lebanon,73.66
Lesotho,40.38
Liberia,41.84
Libya,77.26
Liechtenstein,80.06
Lithuania,74.9
Luxembourg,79.33
Macau,84.36
Macedonia,74.68
Madagascar,62.89
Malawi,43.82
Malaysia,73.29
Maldives,73.97
Mali,50.35
Malta,79.44
Marshall Islands,71.19
Mauritania,60.37
Mauritius,74.0
Mayotte,62.91
Mexico,76.06
"Micronesia, Federated States of",70.94
Moldova,70.8
Monaco,80.09
Mongolia,67.65
Montserrat,72.76
Morocco,71.8
Mozambique,41.18
Namibia,51.24
Nauru,64.2
Nepal,65.46
Netherlands,79.4
Netherlands Antilles,76.65
New Caledonia,74.98
New Zealand,80.36
Nicaragua,71.5
Niger,52.6
Nigeria,46.94
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,76.7
Norway,79.95
Oman,74.16
Pakistan,64.49
Palau,71.22
Panama,77.25
Papua New Guinea,66.34
Paraguay,75.77
Peru,70.74
Philippines,71.09
Pitcairn Islands,NA
Poland,75.63
Portugal,78.21
Puerto Rico,78.53
Qatar,75.35
Romania,72.45
Russia,66.03
Rwanda,50.52
Saint Helena,78.44
Saint Kitts and Nevis,73.2
Saint Lucia,76.45
Saint Pierre and Miquelon,79.07
Saint Vincent and the Grenadines,73.65
Samoa,71.86
San Marino,81.97
Sao Tome and Principe,68.32
Saudi Arabia,76.3
Senegal,59.0
Serbia,73.9
Seychelles,73.02
Sierra Leone,41.24
Singapore,81.98
Slovakia,75.4
Slovenia,76.92
Solomon Islands,73.69
Somalia,49.63
South Africa,48.98
Spain,80.05
Sri Lanka,75.14
Sudan,51.42
Suriname,73.73
Svalbard,NA
Swaziland,31.99
Sweden,80.86
Switzerland,80.85
Syria,71.19
Taiwan,77.96
Tajikistan,65.33
Tanzania,52.01
Thailand,73.1
Timor-Leste,67.27
Togo,58.69
Tokelau,NA
Tonga,70.73
Trinidad and Tobago,70.86
Tunisia,75.78
Turkey,71.96
Turkmenistan,67.87
Turks and Caicos Islands,75.42
Tuvalu,69.29
Uganda,52.72
Ukraine,68.25
United Arab Emirates,76.11
United Kingdom,79.01
United States,78.11
Uruguay,76.35
Uzbekistan,71.96
Vanuatu,63.98
Venezuela,73.61
Vietnam,71.58
Virgin Islands,79.05
Wallis and Futuna,78.2
West Bank,74.54
Western Sahara,54.32
World,66.57
Yemen,63.27
Zambia,38.63
Zimbabwe,45.77
