Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,44.65
Albania,77.22
Algeria,74.26
American Samoa,73.97
Andorra,82.36
Angola,38.48
Anguilla,80.77
Antigua and Barbuda,75.26
Argentina,76.76
Armenia,72.96
Aruba,75.51
Australia,81.72
Austria,79.65
Azerbaijan,67.01
"Bahamas, The",70.84
Bahrain,75.4
Bangladesh,69.44
Barbados,74.14
Belarus,70.92
Belgium,79.37
Belize,68.23
Benin,59.42
Bermuda,80.6
Bhutan,66.71
Bolivia,67.23
Bosnia and Herzegovina,78.66
Botswana,60.93
Brazil,72.26
British Virgin Islands,77.45
Brunei,75.96
Bulgaria,73.35
Burkina Faso,53.32
Burma,64.52
Burundi,58.29
Cambodia,62.28
Cameroon,54.04
Canada,81.29
Cape Verde,70.41
Cayman Islands,80.57
Central African Republic,49.68
Chad,47.99
Chile,77.53
China,74.51
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,74.31
Comoros,63.83
"Congo, Democratic Republic of the",54.73
"Congo, Republic of the",54.54
Cook Islands,74.47
Costa Rica,77.54
Cote d'Ivoire,56.19
Croatia,75.58
Cuba,77.64
Curacao,NA
Cyprus,77.66
Czech Republic,77.01
Denmark,78.47
Djibouti,60.73
Dominica,75.77
Dominican Republic,77.15
Ecuador,75.52
Egypt,72.4
El Salvador,73.18
Equatorial Guinea,61.98
Eritrea,62.15
Estonia,73.08
Ethiopia,55.8
European Union,78.82
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.58
Fiji,71.03
Finland,79.13
France,81.09
French Polynesia,76.91
Gabon,52.75
"Gambia, The",54.07
Gaza Strip,73.68
Georgia,76.93
Germany,79.41
Ghana,60.55
Gibraltar,78.53
Greece,79.8
Greenland,70.67
Grenada,72.79
Guam,78.18
Guatemala,70.59
Guernsey,82.08
Guinea,57.6
Guinea-Bissau,48.3
Guyana,66.74
Haiti,62.17
Honduras,70.51
Hong Kong,81.96
Hungary,74.57
Iceland,80.79
India,66.46
Indonesia,71.05
Iran,69.77
Iraq,70.25
Ireland,80.07
Isle of Man,80.53
Israel,80.86
Italy,80.33
Jamaica,73.48
Japan,82.17
Jersey,81.28
Jordan,79.92
Kazakhstan,68.19
Kenya,58.82
Kiribati,64.03
"Korea, North",64.13
"Korea, South",78.81
Kuwait,77.89
Kyrgyzstan,69.74
Laos,62.0
Latvia,72.42
Lebanon,74.79
Lesotho,50.67
Liberia,56.58
Libya,77.47
Liechtenstein,80.19
Lithuania,75.12
Luxembourg,79.48
Macau,84.38
Macedonia,74.92
Madagascar,63.26
Malawi,50.92
Malaysia,73.55
Maldives,74.21
Mali,52.17
Malta,79.59
Marshall Islands,71.48
Mauritania,60.75
Mauritius,74.25
Mayotte,63.28
Mexico,76.26
"Micronesia, Federated States of",71.23
Moldova,71.09
Monaco,89.78
Mongolia,67.98
Montserrat,72.91
Morocco,75.69
Mozambique,41.37
Namibia,51.95
Nauru,64.99
Nepal,65.81
Netherlands,79.55
New Caledonia,76.56
New Zealand,80.48
Nicaragua,71.78
Niger,52.99
Nigeria,47.24
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,76.9
Norway,80.08
Oman,73.97
Pakistan,65.63
Palau,71.51
Panama,77.61
Papua New Guinea,65.99
Paraguay,75.99
Peru,71.03
Philippines,71.38
Pitcairn Islands,NA
Poland,75.85
Portugal,78.38
Puerto Rico,78.77
Qatar,75.51
Romania,73.74
Russia,66.16
Rwanda,57.46
"Saint Helena, Ascension, and Tristan da Cunha",78.6
Saint Kitts and Nevis,74.37
Saint Lucia,76.65
Saint Pierre and Miquelon,79.74
Saint Vincent and the Grenadines,73.9
Samoa,72.13
San Marino,82.95
Sao Tome and Principe,62.73
Saudi Arabia,73.87
Senegal,59.38
Serbia,74.09
Seychelles,73.28
Sierra Leone,55.69
Singapore,82.06
Sint Maarten,NA
Slovakia,75.62
Slovenia,77.12
Solomon Islands,73.94
Somalia,50.0
South Africa,49.2
Spain,81.07
Sri Lanka,75.3
Sudan,54.21
Suriname,73.98
Svalbard,NA
Swaziland,47.97
Sweden,80.97
Switzerland,80.97
Syria,74.46
Taiwan,78.15
Tajikistan,65.68
Tanzania,52.49
Thailand,75.02
Timor-Leste,67.61
Togo,62.25
Tokelau,NA
Tonga,71.03
Trinidad and Tobago,71.09
Tunisia,75.99
Turkey,72.23
Turkmenistan,68.2
Turks and Caicos Islands,75.64
Tuvalu,64.39
Uganda,52.98
Ukraine,68.46
United Arab Emirates,76.32
United Kingdom,79.92
United States,78.24
Uruguay,76.55
Uzbekistan,72.24
Vanuatu,64.33
Venezuela,73.77
Vietnam,71.94
Virgin Islands,79.19
Wallis and Futuna,78.83
West Bank,74.78
Western Sahara,60.74
World,66.12
Yemen,63.36
Zambia,52.03
Zimbabwe,47.55
