Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,42.46
Albania,77.06
Algeria,72.74
American Samoa,75.62
Andorra,83.5
Angola,36.79
Anguilla,76.9
Antigua and Barbuda,71.6
Argentina,75.7
Armenia,71.23
Aruba,78.98
Australia,80.26
Austria,78.87
Azerbaijan,63.25
"Bahamas, The",65.63
Bahrain,73.98
Bangladesh,61.71
Barbados,71.64
Belarus,68.57
Belgium,78.44
Belize,67.43
Benin,50.81
Bermuda,77.6
Bhutan,53.99
Bolivia,65.14
Bosnia and Herzegovina,72.57
Botswana,30.76
Brazil,71.41
British Virgin Islands,76.27
Brunei,74.54
Bulgaria,71.75
Burkina Faso,44.2
Burma,56.01
Burundi,43.36
Cambodia,58.41
Cameroon,47.95
Canada,79.96
Cape Verde,70.14
Cayman Islands,79.81
Central African Republic,41.36
Chad,48.24
Chile,76.38
China,71.96
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,71.43
Comoros,61.57
"Congo, Democratic Republic of the",49.14
"Congo, Republic of the",49.51
Cook Islands,NA
Costa Rica,76.63
Cote d'Ivoire,42.48
Croatia,74.14
Cuba,77.04
Cyprus,77.46
Czech Republic,75.78
Denmark,77.44
Djibouti,43.12
Dominica,74.38
Dominican Republic,67.63
East Timor,65.56
Ecuador,76.01
Egypt,70.71
El Salvador,70.92
Equatorial Guinea,55.15
Eritrea,52.7
Estonia,71.38
Ethiopia,40.88
European Union,78.1
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.05
Fiji,69.2
Finland,78.24
France,79.44
French Guiana,76.89
French Polynesia,75.67
Gabon,56.46
"Gambia, The",54.79
Gaza Strip,71.59
Georgia,75.62
Germany,78.54
Ghana,56.27
Gibraltar,79.52
Greece,78.94
Greenland,69.32
Grenada,64.52
Guadeloupe,77.71
Guam,78.12
Guatemala,65.19
Guernsey,80.17
Guinea,49.7
Guinea-Bissau,46.98
Guyana,62.43
Haiti,51.78
Honduras,66.15
Hong Kong,81.39
Hungary,72.25
Iceland,80.18
India,63.99
Indonesia,69.26
Iran,69.66
Iraq,68.26
Ireland,77.36
Israel,79.17
Italy,79.54
Jamaica,76.07
Japan,81.04
Jersey,79.09
Jordan,78.06
Kazakhstan,66.07
Kenya,44.94
Kiribati,61.32
"Korea, North",71.08
"Korea, South",75.58
Kuwait,76.84
Kyrgyzstan,67.84
Laos,54.69
Latvia,70.86
Lebanon,72.35
Lesotho,36.81
Liberia,47.93
Libya,76.28
Liechtenstein,79.4
Lithuania,73.46
Luxembourg,78.58
Macau,82.03
Macedonia,74.73
Madagascar,56.54
Malawi,37.48
Malaysia,71.95
Maldives,63.68
Mali,45.28
Malta,78.68
"Man, Isle of",78.16
Marshall Islands,69.7
Martinique,78.88
Mauritania,52.32
Mauritius,72.09
Mayotte,60.99
Mexico,74.94
"Micronesia, Federated States of",69.44
Moldova,65.03
Monaco,79.42
Mongolia,64.17
Montserrat,78.53
Morocco,70.35
Mozambique,37.1
Namibia,40.53
Nauru,62.33
Nepal,59.4
Netherlands,78.68
Netherlands Antilles,75.6
New Caledonia,73.78
New Zealand,78.49
Nicaragua,70.02
Niger,42.18
Nigeria,50.49
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,75.67
Norway,79.25
Oman,72.85
Pakistan,62.61
Palau,69.82
Panama,72.14
Papua New Guinea,64.56
Paraguay,74.64
Peru,69.22
Philippines,69.6
Pitcairn Islands,NA
Poland,74.16
Portugal,77.35
Puerto Rico,77.49
Qatar,73.4
Reunion,73.69
Romania,71.12
Russia,66.39
Rwanda,39.18
Saint Helena,77.57
Saint Kitts and Nevis,71.86
Saint Lucia,73.34
Saint Pierre and Miquelon,78.28
Saint Vincent and the Grenadines,73.35
Samoa,70.41
San Marino,81.53
Sao Tome and Principe,66.63
Saudi Arabia,75.23
Senegal,56.56
Serbia and Montenegro,74.4
Seychelles,71.53
Sierra Leone,42.69
Singapore,81.53
Slovakia,74.19
Slovenia,75.93
Solomon Islands,72.38
Somalia,47.71
South Africa,44.19
Spain,79.37
Sri Lanka,72.89
Sudan,58.13
Suriname,69.1
Svalbard,NA
Swaziland,37.54
Sweden,80.3
Switzerland,80.31
Syria,69.71
Taiwan,77.06
Tajikistan,64.47
Tanzania,44.39
Thailand,71.41
Togo,53.05
Tokelau,NA
Tonga,69.2
Trinidad and Tobago,69.28
Tunisia,74.66
Turkey,72.08
Turkmenistan,61.29
Turks and Caicos Islands,74.25
Tuvalu,67.66
Uganda,45.28
Ukraine,66.68
United Arab Emirates,74.99
United Kingdom,78.27
United States,77.43
Uruguay,75.92
Uzbekistan,64.09
Vanuatu,62.1
Venezuela,74.06
Vietnam,70.35
Virgin Islands,78.75
Wallis and Futuna,NA
West Bank,72.88
Western Sahara,NA
World,64.05
Yemen,61.36
Zambia,35.18
Zimbabwe,37.82
