Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,50.11
Albania,77.77
Algeria,76.18
American Samoa,74.68
Andorra,82.58
Angola,54.95
Anguilla,81.09
Antigua and Barbuda,75.91
Argentina,77.32
Armenia,73.75
Aruba,76.14
Australia,81.98
Austria,80.04
Azerbaijan,71.61
"Bahamas, The",71.69
Bahrain,78.43
Bangladesh,70.36
Barbados,74.75
Belarus,71.81
Belgium,79.78
Belize,68.4
Benin,60.67
Bermuda,80.93
Bhutan,68.44
Bolivia,68.22
Bosnia and Herzegovina,76.12
Botswana,54.47
Brazil,73.02
British Virgin Islands,78.12
Brunei,76.57
Bulgaria,74.08
Burkina Faso,54.43
Burma,65.6
Burundi,59.69
Cabo Verde,71.28
Cambodia,63.41
Cameroon,55.02
Canada,81.57
Cayman Islands,80.91
Central African Republic,50.9
Chad,49.07
Chile,78.27
China,74.99
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,75.02
Comoros,63.12
"Congo, Democratic Republic of the",56.14
"Congo, Republic of the",55.6
Cook Islands,75.15
Costa Rica,78.06
Cote d'Ivoire,57.66
Croatia,76.2
Cuba,78.05
Curacao,NA
Cyprus,78.17
Czech Republic,77.56
Denmark,78.94
Djibouti,61.99
Dominica,76.39
Dominican Republic,77.62
Ecuador,76.15
Egypt,73.19
El Salvador,73.93
Equatorial Guinea,63.12
Eritrea,63.19
Estonia,73.82
Ethiopia,60.0
European Union,79.86
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.98
Fiji,71.87
Finland,79.55
France,81.56
French Polynesia,76.59
Gabon,52.15
"Gambia, The",64.09
Gaza Strip,74.4
Georgia,77.51
Germany,80.32
Ghana,65.32
Gibraltar,78.98
Greece,80.18
Greenland,71.54
Grenada,73.55
Guam,78.66
Guatemala,71.46
Guernsey,82.32
Guinea,59.11
Guinea-Bissau,49.5
Guyana,67.68
Haiti,62.85
Honduras,70.81
Hong Kong,82.2
Hungary,75.24
Iceland,81.11
India,67.48
Indonesia,71.9
Iran,70.62
Iraq,71.14
Ireland,80.44
Isle of Man,80.87
Israel,81.17
Italy,81.95
Jamaica,73.44
Japan,84.19
Jersey,81.57
Jordan,80.3
Kazakhstan,69.94
Kenya,63.29
Kiribati,65.11
"Korea, North",69.51
"Korea, South",79.55
Kuwait,77.46
Kyrgyzstan,69.75
Laos,63.14
Latvia,73.19
Lebanon,75.46
Lesotho,52.3
Liberia,57.81
Libya,75.83
Liechtenstein,81.59
Lithuania,75.77
Luxembourg,79.88
Macau,84.46
Macedonia,75.58
Madagascar,64.85
Malawi,52.78
Malaysia,74.28
Maldives,74.92
Mali,54.55
Malta,79.98
Marshall Islands,72.31
Mauritania,61.91
Mauritius,74.94
Mexico,76.86
"Micronesia, Federated States of",72.07
Moldova,69.82
Monaco,89.63
Mongolia,68.95
Montserrat,73.65
Morocco,76.31
Mozambique,52.29
Namibia,52.03
Nauru,66.05
Nepal,66.86
Netherlands,81.01
New Caledonia,77.13
New Zealand,80.82
Nicaragua,72.45
Niger,54.34
Nigeria,52.46
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,77.45
Norway,80.44
Oman,74.72
Pakistan,66.71
Palau,72.33
Panama,78.13
Papua New Guinea,66.66
Paraguay,76.6
Peru,72.98
Philippines,72.21
Pitcairn Islands,NA
Poland,76.45
Portugal,78.85
Puerto Rico,79.07
Qatar,78.24
Romania,74.45
Russia,69.85
Rwanda,58.85
"Saint Helena, Ascension, and Tristan da Cunha",79.06
Saint Kitts and Nevis,75.07
Saint Lucia,77.22
Saint Pierre and Miquelon,80.13
Saint Vincent and the Grenadines,74.62
Samoa,72.94
San Marino,83.12
Sao Tome and Principe,63.86
Saudi Arabia,74.58
Senegal,60.57
Serbia,74.79
Seychelles,74.01
Sierra Leone,56.98
Singapore,84.07
Sint Maarten,77.61
Slovakia,76.24
Slovenia,77.66
Solomon Islands,74.66
Somalia,51.19
South Africa,49.48
Spain,81.37
Sri Lanka,76.15
Sudan,62.95
Suriname,71.41
Svalbard,NA
Swaziland,50.01
Sweden,81.28
Switzerland,82.28
Syria,75.14
Taiwan,79.71
Tajikistan,66.72
Tanzania,60.76
Thailand,74.05
Timor-Leste,67.06
Togo,63.62
Tokelau,NA
Tonga,75.6
Trinidad and Tobago,71.96
Tunisia,75.46
Turkey,73.03
Turkmenistan,69.16
Turks and Caicos Islands,79.4
Tuvalu,65.47
Uganda,53.98
Ukraine,68.93
United Arab Emirates,76.91
United Kingdom,80.29
United States,78.62
Uruguay,76.61
Uzbekistan,73.03
Vanuatu,72.38
Venezuela,74.23
Vietnam,72.65
Virgin Islands,79.61
Wallis and Futuna,79.27
West Bank,75.46
Western Sahara,61.9
World,68.09
Yemen,64.47
Zambia,51.51
Zimbabwe,53.86
