Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,46.97
Albania,72.37
Algeria,70.54
American Samoa,75.75
Andorra,83.49
Angola,36.96
Anguilla,76.7
Antigua and Barbuda,71.31
Argentina,75.48
Armenia,66.68
Aruba,78.83
Australia,80.13
Austria,78.17
Azerbaijan,63.16
"Bahamas, The",65.71
Bahrain,73.72
Bangladesh,61.33
Barbados,71.84
Belarus,68.43
Belgium,78.29
Belize,67.36
Benin,51.08
Bermuda,77.41
Bhutan,53.58
Bolivia,64.78
Bosnia and Herzegovina,72.29
Botswana,32.26
Brazil,71.13
British Virgin Islands,76.06
Brunei,74.3
Bulgaria,71.8
Burkina Faso,44.46
Burma,55.79
Burundi,43.2
Cambodia,57.92
Cameroon,48.05
Canada,79.83
Cape Verde,69.83
Cayman Islands,79.67
Central African Republic,41.71
Chad,48.51
Chile,76.35
China,72.22
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,71.14
Comoros,61.18
"Congo, Democratic Republic of the",48.93
"Congo, Republic of the",50.02
Cook Islands,NA
Costa Rica,76.43
Cote d'Ivoire,42.65
Croatia,74.37
Cuba,76.8
Cyprus,77.27
Czech Republic,75.18
Denmark,77.1
Djibouti,43.13
Dominica,74.12
Dominican Republic,67.96
East Timor,65.2
Ecuador,71.89
Egypt,70.41
El Salvador,70.62
Equatorial Guinea,54.75
Eritrea,53.18
Estonia,70.31
Ethiopia,41.24
Falkland Islands (Islas Malvinas),NA
Faroe Islands,78.9
Fiji,68.88
Finland,77.92
France,79.28
French Guiana,76.69
French Polynesia,75.45
Gabon,57.12
"Gambia, The",54.38
Gaza Strip,71.4
Georgia,64.76
Germany,78.42
Ghana,56.53
Gibraltar,79.38
Greece,78.89
Greenland,69.0
Grenada,64.52
Guadeloupe,77.53
Guam,78.27
Guatemala,65.23
Guernsey,80.04
Guinea,49.54
Guinea-Bissau,46.97
Guyana,63.09
Haiti,51.61
Honduras,66.65
Hong Kong,79.93
Hungary,72.17
Iceland,79.8
India,63.62
Indonesia,68.94
Iran,69.35
Iraq,67.81
Ireland,77.35
Israel,79.02
Italy,79.4
Jamaica,75.85
Japan,80.93
Jersey,78.93
Jordan,77.88
Kazakhstan,63.48
Kenya,45.22
Kiribati,60.93
"Korea, North",70.79
"Korea, South",75.36
Kuwait,76.65
Kyrgyzstan,63.66
Laos,54.3
Latvia,69.31
Lebanon,72.07
Lesotho,36.94
Liberia,48.15
Libya,76.07
Liechtenstein,79.25
Lithuania,69.6
Luxembourg,77.66
Macau,81.87
"Macedonia, The Former Yugoslav Republic of",74.49
Madagascar,56.14
Malawi,37.98
Malaysia,71.67
Maldives,63.3
Mali,45.43
Malta,78.43
"Man, Isle of",77.98
Marshall Islands,69.39
Martinique,78.72
Mauritania,51.93
Mauritius,71.8
Mayotte,60.6
Mexico,72.3
"Micronesia, Federated States of",69.13
Moldova,64.88
Monaco,79.27
Mongolia,63.81
Montserrat,78.36
Morocco,70.04
Mozambique,31.3
Namibia,42.77
Nauru,61.95
Nepal,59.0
Netherlands,78.74
Netherlands Antilles,75.38
New Caledonia,73.52
New Zealand,78.32
Nicaragua,69.68
Niger,42.21
Nigeria,51.01
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,76.16
Norway,79.09
Oman,72.58
Pakistan,62.2
Palau,69.5
Panama,72.32
Papua New Guinea,64.19
Paraguay,74.4
Peru,70.88
Philippines,69.29
Pitcairn Islands,NA
Poland,73.91
Portugal,76.35
Puerto Rico,77.26
Qatar,73.14
Reunion,73.43
Romania,70.62
Russia,67.66
Rwanda,39.33
Saint Helena,77.38
Saint Kitts and Nevis,71.57
Saint Lucia,73.08
Saint Pierre and Miquelon,78.11
Saint Vincent and the Grenadines,73.08
Samoa,70.11
San Marino,81.43
Sao Tome and Principe,66.28
Saudi Arabia,68.73
Senegal,56.37
Serbia and Montenegro,73.97
Seychelles,71.25
Sierra Leone,42.84
Singapore,80.42
Slovakia,74.43
Slovenia,75.51
Solomon Islands,72.1
Somalia,47.34
South Africa,46.56
Spain,79.23
Sri Lanka,72.62
Sudan,57.73
Suriname,69.23
Svalbard,NA
Swaziland,39.47
Sweden,79.97
Switzerland,79.99
Syria,69.39
Taiwan,76.87
Tajikistan,64.37
Tanzania,44.56
Thailand,71.24
Togo,53.43
Tokelau,NA
Tonga,68.88
Trinidad and Tobago,69.59
Tunisia,74.4
Turkey,71.8
Turkmenistan,61.19
Turks and Caicos Islands,74.0
Tuvalu,67.32
Uganda,44.88
Ukraine,66.5
United Arab Emirates,74.75
United Kingdom,78.16
United States,77.14
Uruguay,75.87
Uzbekistan,64.0
Vanuatu,61.71
Venezuela,73.81
Vietnam,70.05
Virgin Islands,78.59
Wallis and Futuna,NA
West Bank,72.68
Western Sahara,NA
World,63.95
Yemen,60.97
Zambia,35.25
Zimbabwe,39.01
