Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,50.49
Albania,77.96
Algeria,76.39
American Samoa,74.91
Andorra,82.65
Angola,55.29
Anguilla,81.2
Antigua and Barbuda,76.12
Argentina,77.51
Armenia,74.12
Aruba,76.35
Australia,82.07
Austria,80.17
Azerbaijan,71.91
"Bahamas, The",71.93
Bahrain,78.58
Bangladesh,70.65
Barbados,74.99
Belarus,72.15
Belgium,79.92
Belize,68.49
Benin,61.07
Bermuda,81.04
Bhutan,68.98
Bolivia,68.55
Bosnia and Herzegovina,76.33
Botswana,54.06
Brazil,73.28
British Virgin Islands,78.29
Brunei,76.77
Bulgaria,74.33
Burkina Faso,54.78
Burma,65.94
Burundi,59.55
Cabo Verde,71.57
Cambodia,63.78
Cameroon,57.35
Canada,81.67
Cayman Islands,81.02
Central African Republic,51.35
Chad,49.44
Chile,78.44
China,75.15
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,75.25
Comoros,63.48
"Congo, Democratic Republic of the",56.54
"Congo, Republic of the",58.52
Cook Islands,75.38
Costa Rica,78.23
Cote d'Ivoire,58.01
Croatia,76.41
Cuba,78.22
Curacao,NA
Cyprus,78.34
Czech Republic,78.31
Denmark,79.09
Djibouti,62.4
Dominica,76.59
Dominican Republic,77.8
Ecuador,76.36
Egypt,73.45
El Salvador,74.18
Equatorial Guinea,63.49
Eritrea,63.51
Estonia,74.07
Ethiopia,60.75
European Union,80.02
Falkland Islands (Islas Malvinas),NA
Faroe Islands,80.11
Fiji,72.15
Finland,79.69
France,81.66
French Polynesia,76.79
Gabon,52.06
"Gambia, The",64.36
Gaza Strip,74.64
Georgia,75.72
Germany,80.44
Ghana,65.75
Gibraltar,79.13
Greece,80.3
Greenland,71.82
Grenada,73.8
Guam,78.82
Guatemala,71.74
Guernsey,82.39
Guinea,59.6
Guinea-Bissau,49.87
Guyana,67.81
Haiti,63.18
Honduras,70.91
Hong Kong,82.78
Hungary,75.46
Iceland,81.22
India,67.8
Indonesia,72.17
Iran,70.89
Iraq,71.42
Ireland,80.56
Isle of Man,80.98
Israel,81.28
Italy,82.03
Jamaica,73.48
Japan,84.46
Jersey,81.66
Jordan,74.1
Kazakhstan,70.24
Kenya,63.52
Kiribati,65.47
"Korea, North",69.81
"Korea, South",79.8
Kuwait,77.64
Kyrgyzstan,70.06
Laos,63.51
Latvia,73.44
Lebanon,77.22
Lesotho,52.65
Liberia,58.21
Libya,76.04
Liechtenstein,81.68
Lithuania,75.98
Luxembourg,80.01
Macau,84.48
Macedonia,75.8
Madagascar,65.2
Malawi,59.99
Malaysia,74.52
Maldives,75.15
Mali,54.95
Malta,80.11
Marshall Islands,72.58
Mauritania,62.28
Mauritius,75.17
Mexico,75.43
"Micronesia, Federated States of",72.35
Moldova,70.12
Monaco,89.57
Mongolia,68.98
Montserrat,73.9
Morocco,76.51
Mozambique,52.6
Namibia,51.85
Nauru,66.4
Nepal,67.19
Netherlands,81.12
New Caledonia,77.31
New Zealand,80.93
Nicaragua,72.72
Niger,54.74
Nigeria,52.62
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,77.64
Norway,81.6
Oman,74.97
Pakistan,67.05
Palau,72.6
Panama,78.3
Papua New Guinea,66.85
Paraguay,76.8
Peru,73.23
Philippines,72.48
Pitcairn Islands,NA
Poland,76.65
Portugal,79.01
Puerto Rico,79.09
Qatar,78.38
Romania,74.69
Russia,70.16
Rwanda,59.26
"Saint Helena, Ascension, and Tristan da Cunha",79.21
Saint Kitts and Nevis,75.29
Saint Lucia,77.41
Saint Pierre and Miquelon,80.26
Saint Vincent and the Grenadines,74.86
Samoa,73.21
San Marino,83.18
Sao Tome and Principe,64.22
Saudi Arabia,74.82
Senegal,60.95
Serbia,75.02
Seychelles,74.25
Sierra Leone,57.39
Singapore,84.38
Sint Maarten,77.61
Slovakia,76.69
Slovenia,77.83
Solomon Islands,74.89
Somalia,51.58
South Africa,49.56
Spain,81.47
Sri Lanka,76.35
Sudan,63.32
Suriname,71.69
Svalbard,NA
Swaziland,50.54
Sweden,81.89
Switzerland,82.39
Syria,68.41
Taiwan,79.84
Tajikistan,67.06
Tanzania,61.24
Thailand,74.18
Timor-Leste,67.39
Togo,64.06
Tokelau,NA
Tonga,75.82
Trinidad and Tobago,72.29
Tunisia,75.68
Turkey,73.29
Turkmenistan,69.47
Turks and Caicos Islands,79.55
Tuvalu,65.81
Uganda,54.46
Ukraine,69.14
United Arab Emirates,77.09
United Kingdom,80.42
United States,79.56
Uruguay,76.81
Uzbekistan,73.29
Vanuatu,72.72
Venezuela,74.39
Vietnam,72.91
Virgin Islands,79.75
Wallis and Futuna,79.42
West Bank,75.69
Western Sahara,62.27
World,68.35
Yemen,64.83
Zambia,51.83
Zimbabwe,55.68
