Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,42.9
Albania,77.24
Algeria,73.0
American Samoa,75.84
Andorra,83.51
Angola,38.43
Anguilla,77.11
Antigua and Barbuda,71.9
Argentina,75.91
Armenia,71.55
Aruba,79.14
Australia,80.39
Austria,78.92
Azerbaijan,63.35
"Bahamas, The",65.54
Bahrain,74.23
Bangladesh,62.08
Barbados,72.59
Belarus,68.72
Belgium,78.62
Belize,68.44
Benin,52.66
Bermuda,77.79
Bhutan,54.39
Bolivia,65.5
Bosnia and Herzegovina,77.83
Botswana,33.87
Brazil,71.69
British Virgin Islands,76.49
Brunei,74.8
Bulgaria,72.03
Burkina Faso,48.45
Burma,60.7
Burundi,50.29
Cambodia,58.92
Cameroon,50.89
Canada,80.1
Cape Verde,70.45
Cayman Islands,79.95
Central African Republic,43.39
Chad,47.18
Chile,76.58
China,72.27
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,71.72
Comoros,61.96
"Congo, Democratic Republic of the",51.1
"Congo, Republic of the",52.26
Cook Islands,NA
Costa Rica,76.84
Cote d'Ivoire,48.62
Croatia,74.45
Cuba,77.23
Cyprus,77.65
Czech Republic,76.02
Denmark,77.62
Djibouti,43.1
Dominica,74.65
Dominican Republic,71.44
East Timor,65.9
Ecuador,76.21
Egypt,71.0
El Salvador,71.22
Equatorial Guinea,49.7
Eritrea,58.47
Estonia,71.77
Ethiopia,48.83
European Union,78.3
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.21
Fiji,69.53
Finland,78.35
France,79.6
French Guiana,77.09
French Polynesia,75.9
Gabon,55.02
"Gambia, The",53.75
Gaza Strip,71.79
Georgia,75.88
Germany,78.65
Ghana,58.47
Gibraltar,79.67
Greece,79.09
Greenland,69.65
Grenada,64.53
Guadeloupe,77.9
Guam,78.4
Guatemala,69.06
Guernsey,80.3
Guinea,49.36
Guinea-Bissau,46.61
Guyana,65.5
Haiti,52.92
Honduras,69.3
Hong Kong,81.5
Hungary,72.4
Iceland,80.19
India,64.35
Indonesia,69.57
Iran,69.96
Iraq,68.7
Ireland,77.56
Israel,79.32
Italy,79.68
Jamaica,73.33
Japan,81.15
Jersey,79.24
Jordan,78.24
Kazakhstan,66.55
Kenya,47.99
Kiribati,61.71
"Korea, North",71.37
"Korea, South",76.85
Kuwait,77.03
Kyrgyzstan,68.16
Laos,55.08
Latvia,71.05
Lebanon,72.63
Lesotho,34.47
Liberia,38.89
Libya,76.5
Liechtenstein,79.55
Lithuania,73.97
Luxembourg,78.74
Macau,82.12
Macedonia,73.73
Madagascar,56.95
Malawi,41.43
Malaysia,72.24
Maldives,64.06
Mali,48.64
Malta,78.86
"Man, Isle of",78.34
Marshall Islands,70.01
Martinique,79.04
Mauritania,52.73
Mauritius,72.38
Mayotte,61.39
Mexico,75.19
"Micronesia, Federated States of",69.75
Moldova,65.18
Monaco,79.57
Mongolia,64.52
Montserrat,78.71
Morocco,70.66
Mozambique,40.32
Namibia,43.93
Nauru,62.73
Nepal,59.8
Netherlands,78.81
Netherlands Antilles,75.83
New Caledonia,74.04
New Zealand,78.66
Nicaragua,70.33
Niger,43.5
Nigeria,46.74
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,75.88
Norway,79.4
Oman,73.13
Pakistan,63.0
Palau,70.14
Panama,75.25
Papua New Guinea,64.93
Paraguay,74.89
Peru,69.53
Philippines,69.91
Pitcairn Islands,NA
Poland,74.74
Portugal,77.53
Puerto Rico,78.29
Qatar,73.67
Reunion,73.95
Romania,71.35
Russia,67.1
Rwanda,46.96
Saint Helena,77.76
Saint Kitts and Nevis,72.15
Saint Lucia,73.61
Saint Pierre and Miquelon,78.46
Saint Vincent and the Grenadines,73.62
Samoa,70.72
San Marino,81.62
Sao Tome and Principe,66.99
Saudi Arabia,75.46
Senegal,58.9
Serbia and Montenegro,74.73
Seychelles,71.82
Sierra Leone,39.87
Singapore,81.62
Slovakia,74.5
Slovenia,76.14
Solomon Islands,72.66
Somalia,48.09
South Africa,43.27
Spain,79.52
Sri Lanka,73.17
Sudan,58.54
Suriname,68.96
Svalbard,NA
Swaziland,33.22
Sweden,80.4
Switzerland,80.39
Syria,70.03
Taiwan,77.26
Tajikistan,64.56
Tanzania,45.24
Thailand,71.95
Togo,57.01
Tokelau,NA
Tonga,69.53
Trinidad and Tobago,66.73
Tunisia,74.89
Turkey,72.36
Turkmenistan,61.39
Turks and Caicos Islands,74.51
Tuvalu,68.01
Uganda,51.59
Ukraine,69.68
United Arab Emirates,75.24
United Kingdom,78.38
United States,77.71
Uruguay,76.13
Uzbekistan,64.19
Vanuatu,62.49
Venezuela,74.31
Vietnam,70.61
Virgin Islands,78.91
Wallis and Futuna,NA
West Bank,73.08
Western Sahara,NA
World,64.33
Yemen,61.75
Zambia,39.7
Zimbabwe,39.13
