Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,43.34
Albania,77.43
Algeria,73.26
American Samoa,76.05
Andorra,83.51
Angola,38.62
Anguilla,77.28
Antigua and Barbuda,72.16
Argentina,76.12
Armenia,71.84
Aruba,79.28
Australia,80.5
Austria,79.07
Azerbaijan,63.85
"Bahamas, The",65.6
Bahrain,74.45
Bangladesh,62.46
Barbados,72.79
Belarus,69.08
Belgium,78.77
Belize,68.3
Benin,53.04
Bermuda,77.96
Bhutan,54.78
Bolivia,65.84
Bosnia and Herzegovina,78.0
Botswana,33.74
Brazil,71.97
British Virgin Islands,76.68
Brunei,75.01
Bulgaria,72.3
Burkina Faso,48.85
Burma,60.97
Burundi,50.81
Cambodia,59.29
Cameroon,51.16
Canada,80.22
Cape Verde,70.73
Cayman Islands,80.07
Central African Republic,43.54
Chad,47.52
Chile,76.77
China,72.58
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,71.99
Comoros,62.33
"Congo, Democratic Republic of the",51.46
"Congo, Republic of the",52.8
Cook Islands,NA
Costa Rica,77.02
Cote d'Ivoire,48.82
Croatia,74.68
Cuba,77.41
Cyprus,77.82
Czech Republic,76.22
Denmark,77.79
Djibouti,43.17
Dominica,74.87
Dominican Republic,71.73
East Timor,66.26
Ecuador,76.42
Egypt,71.29
El Salvador,71.49
Equatorial Guinea,49.54
Eritrea,59.03
Estonia,72.04
Ethiopia,49.03
European Union,78.3
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.35
Fiji,69.82
Finland,78.5
France,79.73
French Guiana,77.27
French Polynesia,76.1
Gabon,54.49
"Gambia, The",54.14
Gaza Strip,71.97
Georgia,76.09
Germany,78.8
Ghana,58.87
Gibraltar,79.8
Greece,79.24
Greenland,69.94
Grenada,64.87
Guadeloupe,78.06
Guam,78.58
Guatemala,69.38
Guernsey,80.42
Guinea,49.5
Guinea-Bissau,46.87
Guyana,65.86
Haiti,53.23
Honduras,69.33
Hong Kong,81.59
Hungary,72.66
Iceland,80.31
India,64.71
Indonesia,69.87
Iran,70.26
Iraq,69.01
Ireland,77.73
Isle of Man,78.49
Israel,79.46
Italy,79.81
Jamaica,73.24
Japan,81.25
Jersey,79.38
Jordan,78.4
Kazakhstan,66.89
Kenya,48.93
Kiribati,62.08
"Korea, North",71.65
"Korea, South",77.04
Kuwait,77.2
Kyrgyzstan,68.49
Laos,55.49
Latvia,71.33
Lebanon,72.88
Lesotho,34.4
Liberia,39.65
Libya,76.69
Liechtenstein,79.68
Lithuania,74.2
Luxembourg,78.89
Macau,82.19
Macedonia,73.97
Madagascar,57.34
Malawi,41.7
Malaysia,72.5
Maldives,64.41
Mali,49.0
Malta,79.01
Marshall Islands,70.31
Martinique,79.18
Mauritania,53.12
Mauritius,72.63
Mayotte,61.76
Mexico,75.41
"Micronesia, Federated States of",70.05
Moldova,65.65
Monaco,79.69
Mongolia,64.89
Montserrat,78.85
Morocco,70.94
Mozambique,39.82
Namibia,43.39
Nauru,63.08
Nepal,60.18
Netherlands,78.96
Netherlands Antilles,76.03
New Caledonia,74.27
New Zealand,78.81
Nicaragua,70.63
Niger,43.76
Nigeria,47.08
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,76.09
Norway,79.54
Oman,73.37
Pakistan,63.39
Palau,70.42
Panama,75.22
Papua New Guinea,65.28
Paraguay,75.1
Peru,69.84
Philippines,70.21
Pitcairn Islands,NA
Poland,74.97
Portugal,77.7
Puerto Rico,78.4
Qatar,73.9
Reunion,74.18
Romania,71.63
Russia,67.08
Rwanda,47.3
Saint Helena,77.93
Saint Kitts and Nevis,72.4
Saint Lucia,73.84
Saint Pierre and Miquelon,78.61
Saint Vincent and the Grenadines,73.85
Samoa,71.0
San Marino,81.71
Sao Tome and Principe,67.31
Saudi Arabia,75.67
Senegal,59.25
Serbia,74.0
Seychelles,72.08
Sierra Leone,40.22
Singapore,81.71
Slovakia,74.73
Slovenia,76.33
Solomon Islands,72.91
Somalia,48.47
South Africa,42.73
Spain,79.65
Sri Lanka,73.41
Sudan,58.92
Suriname,69.01
Svalbard,NA
Swaziland,32.62
Sweden,80.51
Switzerland,80.51
Syria,70.32
Taiwan,77.43
Tajikistan,64.94
Tanzania,45.64
Thailand,72.25
Togo,57.42
Tokelau,NA
Tonga,69.82
Trinidad and Tobago,66.76
Tunisia,75.12
Turkey,72.62
Turkmenistan,61.83
Turks and Caicos Islands,74.73
Tuvalu,68.32
Uganda,52.67
Ukraine,69.98
United Arab Emirates,75.44
United Kingdom,78.54
United States,77.85
Uruguay,76.33
Uzbekistan,64.58
Vanuatu,62.85
Venezuela,74.54
Vietnam,70.85
Virgin Islands,79.05
Wallis and Futuna,NA
West Bank,73.27
Western Sahara,NA
World,64.77
Yemen,62.12
Zambia,40.03
Zimbabwe,39.29
