Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,44.21
Albania,77.78
Algeria,73.77
American Samoa,73.47
Andorra,82.67
Angola,37.92
Anguilla,80.53
Antigua and Barbuda,74.25
Argentina,76.36
Armenia,72.4
Aruba,75.06
Australia,81.53
Austria,79.36
Azerbaijan,66.31
"Bahamas, The",65.72
Bahrain,74.92
Bangladesh,63.21
Barbados,73.21
Belarus,70.34
Belgium,79.07
Belize,68.19
Benin,58.56
Bermuda,78.3
Bhutan,65.53
Bolivia,66.53
Bosnia and Herzegovina,78.33
Botswana,50.16
Brazil,71.71
British Virgin Islands,77.07
Brunei,75.52
Bulgaria,72.83
Burkina Faso,52.55
Burma,62.94
Burundi,51.71
Cambodia,61.69
Cameroon,53.3
Canada,81.16
Cape Verde,71.33
Cayman Islands,80.32
Central African Republic,44.22
Chad,47.43
Chile,77.15
China,73.18
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,72.54
Comoros,63.1
"Congo, Democratic Republic of the",53.98
"Congo, Republic of the",53.74
Cook Islands,NA
Costa Rica,77.4
Cote d'Ivoire,54.64
Croatia,75.13
Cuba,77.27
Cyprus,78.15
Czech Republic,76.62
Denmark,78.13
Djibouti,43.31
Dominica,75.33
Dominican Republic,73.39
Ecuador,76.81
Egypt,71.85
El Salvador,72.06
Equatorial Guinea,61.23
Eritrea,61.38
Estonia,72.56
Ethiopia,54.99
European Union,77.32
Falkland Islands (Islas Malvinas),NA
Faroe Islands,79.29
Fiji,70.44
Finland,78.82
France,80.87
French Polynesia,76.51
Gabon,53.52
"Gambia, The",54.95
Gaza Strip,73.16
Georgia,76.51
Germany,79.1
Ghana,59.49
Gibraltar,80.06
Greece,79.52
Greenland,69.46
Grenada,65.6
Guam,78.93
Guatemala,69.99
Guernsey,80.65
Guinea,56.58
Guinea-Bissau,47.52
Guyana,66.43
Haiti,57.56
Honduras,69.37
Hong Kong,81.77
Hungary,73.18
Iceland,80.55
India,69.25
Indonesia,70.46
Iran,70.86
Iraq,69.62
Ireland,78.07
Isle of Man,78.8
Israel,80.61
Italy,80.07
Jamaica,73.59
Japan,82.07
Jersey,79.65
Jordan,78.71
Kazakhstan,67.55
Kenya,56.64
Kiribati,62.85
"Korea, North",72.2
"Korea, South",78.64
Kuwait,77.53
Kyrgyzstan,69.12
Laos,56.29
Latvia,71.88
Lebanon,73.41
Lesotho,40.17
Liberia,41.13
Libya,77.07
Liechtenstein,79.95
Lithuania,74.67
Luxembourg,79.18
Macau,84.33
Macedonia,74.45
Madagascar,62.52
Malawi,43.45
Malaysia,73.03
Maldives,73.72
Mali,49.94
Malta,79.3
Marshall Islands,70.9
Mauritania,53.91
Mauritius,73.75
Mayotte,62.54
Mexico,75.84
"Micronesia, Federated States of",70.65
Moldova,70.5
Monaco,79.96
Mongolia,67.32
Montserrat,72.6
Morocco,71.52
Mozambique,41.04
Namibia,49.89
Nauru,63.81
Nepal,60.94
Netherlands,79.25
Netherlands Antilles,76.45
New Caledonia,74.75
New Zealand,80.24
Nicaragua,71.21
Niger,44.28
Nigeria,46.53
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,76.5
Norway,79.81
Oman,73.91
Pakistan,64.13
Palau,71.0
Panama,76.88
Papua New Guinea,66.0
Paraguay,75.56
Peru,70.44
Philippines,70.8
Pitcairn Islands,NA
Poland,75.41
Portugal,78.04
Puerto Rico,78.58
Qatar,75.19
Romania,72.18
Russia,65.94
Rwanda,49.76
Saint Helena,78.27
Saint Kitts and Nevis,72.94
Saint Lucia,76.25
Saint Pierre and Miquelon,78.91
Saint Vincent and the Grenadines,74.34
Samoa,71.58
San Marino,81.88
Sao Tome and Principe,68.0
Saudi Arabia,76.09
Senegal,57.08
Serbia,75.29
Seychelles,72.6
Sierra Leone,40.93
Singapore,81.89
Slovakia,75.17
Slovenia,76.73
Solomon Islands,73.44
Somalia,49.25
South Africa,48.89
Spain,79.92
Sri Lanka,74.97
Sudan,50.28
Suriname,73.48
Svalbard,NA
Swaziland,31.99
Sweden,80.74
Switzerland,80.74
Syria,70.9
Taiwan,77.76
Tajikistan,64.97
Tanzania,51.45
Thailand,72.83
Timor-Leste,66.94
Togo,58.28
Tokelau,NA
Tonga,70.44
Trinidad and Tobago,67.0
Tunisia,75.56
Turkey,73.14
Turkmenistan,68.6
Turks and Caicos Islands,75.19
Tuvalu,68.97
Uganda,52.34
Ukraine,68.06
United Arab Emirates,75.89
United Kingdom,78.85
United States,78.14
Uruguay,76.14
Uzbekistan,71.69
Vanuatu,63.61
Venezuela,73.45
Vietnam,71.33
Virgin Islands,78.92
Wallis and Futuna,NA
West Bank,74.29
Western Sahara,53.92
World,66.26
Yemen,62.9
Zambia,38.59
Zimbabwe,44.28
