Country,"life_expectancy_at_birth( migrant(s)/1,000 population)"
Afghanistan,46.6
Albania,72.1
Algeria,70.24
American Samoa,75.53
Andorra,83.48
Angola,38.87
Anguilla,76.5
Antigua and Barbuda,71.02
Argentina,75.48
Armenia,66.59
Aruba,78.67
Australia,80.0
Austria,78.0
Azerbaijan,63.06
"Bahamas, The",69.87
Bahrain,73.47
Bangladesh,60.92
Barbados,73.49
Belarus,68.28
Belgium,78.13
Belize,71.46
Benin,49.69
Bermuda,77.3
Bhutan,53.19
Bolivia,64.42
Bosnia and Herzegovina,72.02
Botswana,35.29
Brazil,63.55
British Virgin Islands,75.85
Brunei,74.06
Bulgaria,71.5
Burkina Faso,46.11
Burma,55.41
Burundi,45.94
Cambodia,57.1
Cameroon,54.36
Canada,79.69
Cape Verde,69.52
Cayman Islands,79.18
Central African Republic,43.58
Chad,51.27
Chile,76.14
China,71.86
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,70.85
Comoros,60.79
"Congo, Democratic Republic of the",49.13
"Congo, Republic of the",47.71
Cook Islands,NA
Costa Rica,76.22
Cote d'Ivoire,44.72
Croatia,74.13
Cuba,76.6
Cyprus,77.08
Czech Republic,74.95
Denmark,76.91
Djibouti,51.6
Dominica,73.86
Dominican Republic,73.68
East Timor,64.85
Ecuador,71.61
Egypt,64.05
El Salvador,70.32
Equatorial Guinea,54.35
Eritrea,56.57
Estonia,70.02
Ethiopia,44.21
Falkland Islands (Islas Malvinas),NA
Faroe Islands,78.74
Fiji,68.56
Finland,77.75
France,79.05
French Guiana,76.49
French Polynesia,75.23
Gabon,49.11
"Gambia, The",53.98
Gaza Strip,71.2
Georgia,64.67
Germany,77.78
Ghana,57.06
Gibraltar,79.23
Greece,78.74
Greenland,68.69
Grenada,64.52
Guadeloupe,77.35
Guam,78.11
Guatemala,66.85
Guernsey,79.9
Guinea,46.28
Guinea-Bissau,49.8
Guyana,62.59
Haiti,49.55
Honduras,68.77
Hong Kong,79.8
Hungary,71.9
Iceland,79.66
India,63.23
Indonesia,68.63
Iran,70.25
Iraq,67.38
Ireland,77.17
Israel,78.86
Italy,79.25
Jamaica,75.64
Japan,80.91
Jersey,78.78
Jordan,77.71
Kazakhstan,63.38
Kenya,47.02
Kiribati,60.54
"Korea, North",71.3
"Korea, South",74.88
Kuwait,76.46
Kyrgyzstan,63.56
Laos,53.88
Latvia,69.0
Lebanon,71.79
Lesotho,47.0
Liberia,51.8
Libya,75.86
Liechtenstein,79.1
Lithuania,69.42
Luxembourg,77.48
Macau,81.78
"Macedonia, The Former Yugoslav Republic of",74.26
Madagascar,55.74
Malawi,36.59
Malaysia,71.39
Maldives,62.93
Mali,47.39
Malta,78.26
"Man, Isle of",77.81
Marshall Islands,66.18
Martinique,78.56
Mauritania,51.53
Mauritius,71.53
Mayotte,60.21
Mexico,72.03
"Micronesia, Federated States of",NA
Moldova,64.74
Monaco,79.12
Mongolia,64.62
Montserrat,78.2
Morocco,69.73
Mozambique,35.46
Namibia,38.97
Nauru,61.57
Nepal,58.61
Netherlands,78.58
Netherlands Antilles,75.15
New Caledonia,73.27
New Zealand,78.15
Nicaragua,69.37
Niger,41.91
Nigeria,50.59
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,75.95
Norway,78.94
Oman,72.31
Pakistan,61.82
Palau,69.19
Panama,75.89
Papua New Guinea,63.83
Paraguay,74.16
Peru,70.59
Philippines,68.12
Pitcairn Islands,NA
Poland,73.66
Portugal,76.14
Puerto Rico,75.96
Qatar,72.88
Reunion,73.18
Romania,70.39
Russia,67.5
Rwanda,38.66
Saint Helena,77.2
Saint Kitts and Nevis,71.29
Saint Lucia,72.82
Saint Pierre and Miquelon,77.93
Saint Vincent and the Grenadines,72.82
Samoa,69.8
San Marino,81.33
Sao Tome and Principe,65.93
Saudi Arabia,68.4
Senegal,62.93
Serbia and Montenegro,73.72
Seychelles,70.97
Sierra Leone,45.96
Singapore,80.29
Slovakia,74.2
Slovenia,75.29
Solomon Islands,71.82
Somalia,46.96
South Africa,45.43
Spain,79.08
Sri Lanka,72.35
Sudan,57.33
Suriname,71.9
Svalbard,NA
Swaziland,37.0
Sweden,79.84
Switzerland,79.86
Syria,69.08
Taiwan,76.74
Tajikistan,64.28
Tanzania,51.7
Thailand,69.18
Togo,54.02
Tokelau,NA
Tonga,68.56
Trinidad and Tobago,68.59
Tunisia,74.16
Turkey,71.52
Turkmenistan,61.1
Turks and Caicos Islands,73.76
Tuvalu,66.98
Uganda,43.81
Ukraine,66.33
United Arab Emirates,74.52
United Kingdom,77.99
United States,77.4
Uruguay,75.66
Uzbekistan,63.9
Vanuatu,61.33
Venezuela,73.56
Vietnam,69.86
Virgin Islands,78.43
Wallis and Futuna,NA
West Bank,72.47
Western Sahara,NA
World,63.94
Yemen,60.59
Zambia,37.35
Zimbabwe,36.5
